null_raster,layer_R
1,5.94253680567693
1,5.75195372470817
1,5.7871584469141
1,5.82839172936137
1,5.97894580250307
1,5.7413659059147
1,5.83348771899227
1,6.05313258732545
1,5.46381306648254
1,6.22139277840637
1,5.82496529675181
1,5.87512658032948
1,5.56656606408923
1,5.97426447282472
1,5.65742070683033
1,5.67457977712971
1,5.65068044922864
1,6.08102795817339
1,5.69258428108163
1,5.9311515214907
1,5.75976943481497
1,5.94250037116809
1,5.79162592122986
1,5.98981044276176
1,6.03320241259227
1,5.87172041731338
1,5.75760634034974
1,5.92857285693237
1,5.83385646790775
1,5.75194679226078
1,5.65997422799316
1,5.82959561705996
1,5.85746511013435
1,5.8742928167252
1,5.61896662337788
1,5.90517851639119
1,5.67332237979251
1,5.60434670212326
1,5.91161766719493
1,5.73896145495132
1,5.84684937276938
1,5.63517286965292
1,5.88522080634641
1,5.78294553447502
1,5.75043144046444
1,5.7437728358617
1,5.93098607771226
1,5.61252196998531
1,6.12792955364383
1,5.79355930061471
1,5.7137437330578
1,5.89824395106263
1,5.64070561802835
1,5.64700935025738
1,5.81439302276833
1,5.89120127031827
1,5.74404006788175
1,5.94528213214549
1,5.58575456134288
1,5.69613302730456
1,6.14054016529903
1,5.76671165695776
1,5.84316801089069
1,5.89647119403292
1,5.81630454942228
1,5.9434777750497
1,5.71876139689631
1,5.97379372917345
1,5.92032262448972
1,5.90657150541266
1,5.63110942157055
1,5.86206741015659
1,6.00683588013307
1,5.73109951605162
1,5.82025628751271
1,5.53722399350715
1,5.77176257937435
1,5.87142647411229
1,5.61643956627048
1,6.11579152097474
1,5.47222127168859
1,5.73599717885561
1,5.82972537169278
1,5.60182637769614
1,5.62581008123456
1,5.84495919597027
1,5.69046934065965
1,5.80115627469463
1,5.62637391472839
1,5.90983043270306
1,5.83507832976331
1,5.75223976190586
1,5.72215360708204
1,5.53107082030065
1,5.87248705027453
1,5.72559135765753
1,5.4323779735142
1,5.94357158747142
1,5.50513321507099
1,5.89069246187959
