LR1_coefficients_null_raster	LR1_coefficients_layer_R	LR1_R2_null_raster	LR1_R2_layer_R	LR1_Q_layer_R	LR2_coefficients_null_raster	LR2_coefficients_layer_R	LR2_R2_null_raster	LR2_R2_layer_R	LR2_Q_layer_R
0.00900567904249643	0.000489210128856154	0.0852539411500502	0.105782673899412	0.0205287327493614	0.000249312213201075	9.61540476425182e-07	0.0318336213661083	0.0650714629532563	0.033237841587148
0.00709261107629482	0.000414259202979822	0.0449666710408697	0.0670746349727527	0.022107963931883	0.000224017770843076	8.0381050475886e-07	0.0165605544880432	0.0311256115760711	0.0145650570880279
0.00769847013371499	0.000463756710601261	0.0335535666281145	0.0568552045112311	0.0233016378831166	0.000196993991523941	8.5083997155007e-07	0.00738478822588077	0.0239104534180775	0.0165256651921967
0.0079298758932325	0.000458639737578711	0.055084576564951	0.079214995838929	0.024130419273978	0.000188869855617948	9.43689290052121e-07	0.012215939462694	0.042127221274666	0.029911281811972
0.0101198371814072	0.000577844326272383	0.06595186519419	0.102759204554112	0.0368073393599217	0.000253950686140568	1.09876313838803e-06	0.0153472086003539	0.0495383017425541	0.0341910931422003
0.0103815247285852	0.000474013418511142	0.102746853337434	0.100528072750398	-0.00221878058703555	0.000359120810372496	8.69840535115932e-07	0.0473112432349294	0.049815683395687	0.00250444016075759
0.00913742416651822	0.000467155931311266	0.0841101821855359	0.103433027928629	0.0193228457430927	0.000246866085276892	8.20909712404973e-07	0.0239262214007748	0.0488516183995505	0.0249253969987756
0.00542119302342565	0.000295488034850193	0.0269398561823459	0.0346289047837157	0.00768904860136977	0.00017305460116603	5.7770478407576e-07	0.0112881689540197	0.0167724764317333	0.00548430747771366
0.01539722801696	0.000675413913921684	0.165467990766538	0.174032353786128	0.0085643630195899	0.000652824867390547	1.62860355672968e-06	0.0927988747130182	0.139399390105728	0.0466005153927098
0.010737504343198	0.000485352331870488	0.0585023553875123	0.0604769077165763	0.00197455232906401	0.000323571059226193	9.39834263540145e-07	0.0190144301448975	0.0346455294221836	0.0156310992772861
0.00549878992216957	0.000379026427483811	0.0245849513592039	0.044731551774131	0.0201466004149272	9.87359729298432e-05	7.71309379177813e-07	0.00381890307275877	0.0236083461426123	0.0197894430698535
0.0115261337160456	0.000538850118862562	0.122926690580589	0.123467128853575	0.000540438272985846	0.000367525632975245	1.1378037454533e-06	0.055723259915491	0.0871869067870268	0.0314636468715358
0.0127863386901262	0.000615099311738687	0.0995359562127789	0.117691490880237	0.0181555346674584	0.000457433698441386	1.40088611161022e-06	0.0457991643310933	0.078361129073224	0.0325619647421308
0.0100008336131982	0.000496924419908916	0.0844613490272275	0.0959812943506965	0.011519945323469	0.000288374849994646	1.03761717348386e-06	0.0317780312418189	0.0701825743409915	0.0384045430991726
0.0111541222942896	0.000546614541813223	0.0743417296413102	0.0830732396201647	0.00873150997885447	0.000322477723366209	1.08269905017668e-06	0.0241370622302761	0.0419030477054683	0.0177659854751922
0.000783351558969244	6.91651172533311e-05	0.00116282351688106	0.00246584096027253	0.00130301744339146	2.18234724131565e-05	4.00719521956742e-08	0.000695173986111855	0.000224434900845306	-0.000470739085266549
0.00877267361114184	0.000543139269137065	0.0556724246546388	0.108170964937548	0.0524985402829096	0.00025601475533184	1.15809691048908e-06	0.0159534394381643	0.0606843942903427	0.0447309548521784
0.0115574832127823	0.000610332941403055	0.0953785462426279	0.121459477983087	0.0260809317404594	0.00039216720633382	1.54818762798137e-06	0.0410470455932175	0.0990398587705397	0.0579928131773222
0.00874457227931466	0.000484161300666116	0.0616370359087082	0.0782152383339235	0.0165782024252153	0.000220282374965409	8.69387204945139e-07	0.0155137885765447	0.0312129991640996	0.015699210587555
