null_raster,layer_C
1,50.4253678354387
1,48.5195369834379
1,48.8715842429281
1,49.2839170787928
1,50.7894578110236
1,48.413658830493
1,49.3348769637098
1,51.5313256852863
1,45.6381303702605
1,53.2139275456451
1,49.2496527893145
1,49.7512655307002
1,46.6656604122383
1,50.7426444841326
1,47.5742068388356
1,47.7457975459425
1,47.5068042481719
1,51.8102793498251
1,47.9258424869576
1,50.3115149699787
1,48.5976941430935
1,50.4250034602429
1,48.9162589584194
1,50.8981041647875
1,51.3320239314447
1,49.7172039094037
1,48.5760632049508
1,50.2857283130034
1,49.3385644821584
1,48.5194676369937
1,47.5997420854536
1,49.2959558711524
1,49.5746508116608
1,49.7429279288334
1,47.189666041742
1,50.0517849303756
1,47.7332234594195
1,47.0434668365192
1,50.1161764099329
1,48.3896143525941
1,49.4684934876478
1,47.3517284556611
1,49.852207755066
1,48.8294550843613
1,48.5043141123367
1,48.4377280876498
1,50.3098605224297
1,47.1252194008057
1,52.2792953435878
1,48.9355928124828
1,48.1374371857366
1,49.9824393089503
1,47.4070559198946
1,47.4700932290456
1,49.1439300543619
1,49.9120124257059
1,48.4404003995739
1,50.4528211212809
1,46.8575453172365
1,47.9613300020784
1,52.4054013372688
1,48.6671163018653
1,49.4316799307032
1,49.9647116872638
1,49.1630452435985
1,50.4347774795298
1,48.1876138403961
1,50.7379370468061
1,50.2032259202248
1,50.0657148328546
1,47.3110940155316
1,49.620673846873
1,51.0683585401281
1,48.3109949489502
1,49.2025627877614
1,46.3722396893044
1,48.7176256440199
1,49.7142644612049
1,47.1643952770038
1,52.157914950986
1,45.7222124145613
1,48.3599715346769
1,49.297253493156
1,47.0182635857384
1,47.2581006219363
1,49.4495916773435
1,47.9046931885208
1,49.0115625313118
1,47.2637389121202
1,50.0983040552497
1,49.3507830502637
1,48.5223973928458
1,48.2215358193824
1,46.310707915765
1,49.7248703009439
1,48.2559132722458
1,45.3237794788217
1,50.4357155777082
1,46.051331896017
1,49.9069243730538
