"from","to","n_transitions","mean_time","sd_time","min_time","max_time","bayes_factor","posterior_probability","bf_category","supported","avg_jumps","origin_reward","reward_percent"
"asa","cayma",75,6.50968405360158,1.77444680727107,2.46897979359955,10.2331983453594,0.423624994647047,0.0308854571714254,"Negative",FALSE,0.00833333333333333,14.136,7.057237712
"asa","ccolorado",479,5.55573972922021,2.91979380944831,1.2660606908354,13.4596042382689,0.783468343199916,0.0556604821686479,"Negative",FALSE,0.0532222222222222,14.136,7.057237712
"asa","characato",6041,3.30287447040119,0.983004638083271,0.759477264519773,13.2947246568584,6.33759602874026,0.322853016331519,"Substantial",TRUE,0.671222222222222,14.136,7.057237712
"asa","elpedregal",533,3.15704245944611,0.804695820043097,1.95905137201117,9.59508999114672,1.12611967792328,0.078102433062993,"Weak",FALSE,0.0592222222222222,14.136,7.057237712
"asa","hunter",25154,4.95933954995648,2.50588777332282,0.518276278764727,12.8155737752821,112.384814200459,0.894233974002889,"Decisive",TRUE,2.79488888888889,14.136,7.057237712
"asa","jlbyr",42228,6.50866031327415,2.50125265800931,0.422041766633424,11.8006971477453,1036.22241326383,0.98733474058438,"Decisive",TRUE,4.692,14.136,7.057237712
"asa","miraflores",3479,5.67009431495991,2.3793483260999,0.00535325072784865,11.180743172478,3.12654512358009,0.190423286301522,"Substantial",TRUE,0.386555555555556,14.136,7.057237712
"asa","mmelgar",34106,5.22968939608837,2.80118468717003,0.122504936741453,14.1405761833104,53.1031202001299,0.799800022219753,"Very strong",TRUE,3.78955555555556,14.136,7.057237712
"asa","mollebaya",4941,3.14419479133388,0.847379707550704,1.79051439274171,10.0151160804237,5.70789068206508,0.300411065437174,"Substantial",TRUE,0.549,14.136,7.057237712
"asa","paucarpata",12657,4.44703231606103,2.29376520620425,0.466044518608975,12.0213148237734,11.2601954827053,0.458615709365626,"Strong",TRUE,1.40633333333333,14.136,7.057237712
"asa","sachaca",720,8.71067328671632,1.10905389565769,2.00757331320298,10.3693176700939,1.54083468510075,0.103877346961449,"Weak",FALSE,0.08,14.136,7.057237712
"asa","socabaya",6467,4.64013490846639,2.61199335944701,1.04790211460306,12.5896444129792,5.1173299668804,0.277969114542829,"Substantial",TRUE,0.718555555555556,14.136,7.057237712
"asa","uchumayo",596,8.58385120148934,1.08527399990802,1.57189287431282,10.1773518238192,1.27889147404556,0.0877680257749139,"Weak",FALSE,0.0662222222222222,14.136,7.057237712
"asa","yura",3257,5.21278172139939,2.01561865492326,0.565202600003087,11.4453483032378,2.6432497310596,0.165870458837907,"Weak",FALSE,0.361888888888889,14.136,7.057237712
"cayma","asa",111,6.21778449825753,2.50817648670572,2.22103799847902,10.5486897635821,0.850020803830829,0.0601044328407955,"Negative",FALSE,0.0123333333333333,7.308,3.648436135
"cayma","ccolorado",1580,6.47990701473294,1.51500414676514,0.910318166631016,11.3255247337041,1.62405305306487,0.108876791467615,"Weak",FALSE,0.175555555555556,7.308,3.648436135
"cayma","characato",97,4.11402669163746,1.83390389625721,2.56731606648582,9.84808139564988,0.800047666431292,0.0567714698366848,"Negative",FALSE,0.0107777777777778,7.308,3.648436135
"cayma","elpedregal",10,5.23522095291454,2.80957060162487,2.54727995341542,9.60124211857114,0.593960675010639,0.0427730252194201,"Negative",FALSE,0.00111111111111111,7.308,3.648436135
"cayma","hunter",272,3.69938317184748,1.39540133530588,2.69254628163991,9.901155494851,0.990144836823275,0.0693256304855016,"Negative",FALSE,0.0302222222222222,7.308,3.648436135
"cayma","jlbyr",659,7.56483154510326,0.648394721688668,1.67784428697381,9.99876030311196,1.42949890096322,0.0971003221864237,"Weak",FALSE,0.0732222222222222,7.308,3.648436135
"cayma","miraflores",309,6.02613604816707,0.928801853787282,0.298743361185619,9.61886257038946,0.94425858125918,0.066325963781802,"Negative",FALSE,0.0343333333333333,7.308,3.648436135
"cayma","mmelgar",64,5.86952502922695,2.85289091310636,1.7970944831978,12.4432429527503,0.725746657222139,0.0517720253305188,"Negative",FALSE,0.00711111111111111,7.308,3.648436135
"cayma","mollebaya",82,3.80612035502317,1.60172687050072,1.86460666414009,9.75997883874594,0.673385275221587,0.0482168647928008,"Negative",FALSE,0.00911111111111111,7.308,3.648436135
"cayma","paucarpata",157,5.51645013613692,1.27106425877343,1.26434327052956,9.4010453487251,0.896983225646997,0.0632151983112988,"Negative",FALSE,0.0174444444444444,7.308,3.648436135
"cayma","sachaca",2371,8.86043812871465,0.557001176073682,2.59224010447528,10.6882953866921,5.26869739993924,0.283857349183424,"Substantial",TRUE,0.263444444444444,7.308,3.648436135
"cayma","socabaya",429,6.48898880435317,2.774180421416,1.79534473646869,9.87268532568828,1.09491081048137,0.0761026552605266,"Weak",FALSE,0.0476666666666667,7.308,3.648436135
"cayma","uchumayo",2313,8.73147086387749,0.530779255241032,2.65069368933906,10.5390053813216,4.80544262921934,0.265526052660815,"Substantial",TRUE,0.257,7.308,3.648436135
"cayma","yura",1390,5.87109790953625,1.38609475409575,1.54971776454317,12.5759964686761,2.18959575868829,0.141428730141095,"Weak",FALSE,0.154444444444444,7.308,3.648436135
"ccolorado","asa",63233,6.92209966522978,2.41574620334559,0.572304970483223,14.393983002178,142.69808719515,0.914787245861571,"Decisive",TRUE,7.02588888888889,103.445,51.64374329
"ccolorado","cayma",83159,6.65323225869257,1.73302958778192,1.31418069008803,12.8701188292282,1581.97010424274,0.991667592489723,"Decisive",TRUE,9.23988888888889,103.445,51.64374329
"ccolorado","characato",352,5.38860258474865,2.28941683992992,1.31856161595097,11.5479684548862,0.415767523247594,0.030329963337407,"Negative",FALSE,0.0391111111111111,103.445,51.64374329
"ccolorado","elpedregal",32,4.97046793038109,2.38962203357902,2.65833358398593,10.0284965471744,0.153867705019614,0.0114431729807799,"Negative",FALSE,0.00355555555555556,103.445,51.64374329
"ccolorado","hunter",2136,4.30403803568726,2.10508461875403,2.21916565843381,11.2766753985496,1.55740399202492,0.104877235862682,"Weak",FALSE,0.237333333333333,103.445,51.64374329
"ccolorado","jlbyr",4086,7.55797988427857,1.40681158177247,1.54195382617845,10.7160717674315,3.45051210241277,0.206088212420842,"Substantial",TRUE,0.454,103.445,51.64374329
"ccolorado","miraflores",540,6.32926473088608,1.48746226688326,0.107764057191366,10.414752357605,0.790095389067825,0.0561048772358627,"Negative",FALSE,0.06,103.445,51.64374329
"ccolorado","mmelgar",234,5.93808093726029,3.01167960870655,1.63574036012773,11.93926524835,0.308246552730314,0.0226641484279524,"Negative",FALSE,0.026,103.445,51.64374329
"ccolorado","mollebaya",107,4.74465453228093,2.02901202949816,1.96857934633098,10.2931189486441,0.260487226425146,0.0192200866570381,"Negative",FALSE,0.0118888888888889,103.445,51.64374329
