null_raster,SES_deprivation_C
1,7.62576674098618
1,7.64634132385254
1,7.53292167333909
1,7.75189378993078
1,7.72727258566654
1,7.32947964475334
1,7.39846731191394
1,7.62835235705321
1,7.49895164951588
1,7.64658619840461
1,7.55753954251607
1,7.58536572281907
1,7.24203809811052
1,7.59909896109555
1,7.54008425489257
1,7.68604637578476
1,7.65644158322387
1,7.50505037307739
1,7.54618460586272
1,7.53594757840524
1,7.67664656382121
1,7.55945406183165
1,7.5503874656766
1,7.4257026838969
1,7.67695459024406
1,7.6568626053193
1,7.4166665405035
1,7.4922479391098
1,7.49572637142279
1,7.48734163785283
1,7.63599168449823
1,7.543967149009
1,7.58174083339181
1,7.58634524603924
1,7.52525238846288
1,7.65618435541789
1,7.31021182247669
1,7.56862732787537
1,7.67647044378169
1,7.52317867847468
1,7.45582317156964
1,7.21118001315905
1,7.76891601158797
1,7.76190461839948
1,7.62878773835572
1,7.39957253138224
1,7.5428570161547
1,7.54605249825277
1,7.66666652390986
1,7.51329229799516
1,7.66666651942247
1,7.59595946109656
1,7.51416108499165
1,7.57349883547481
1,7.66666652628048
1,7.69607828224406
1,7.67741921332575
1,7.51072111324957
1,7.46586332838219
1,7.52263361289177
1,7.4558231629521
1,7.50602396281369
1,7.61735686324757
1,7.60569092558651
1,7.48702582056651
1,7.47509565161563
1,7.41260150293025
1,7.57464198832132
1,7.62473780554046
1,7.53535341205019
1,7.52083321362734
1,7.59763298655403
1,7.6457021686266
1,7.31856528414956
1,7.61646572222193
1,7.52083320915699
1,7.48734164690669
1,7.55136254748458
1,7.51138702090483
1,7.37896813807033
1,7.68776356872124
1,7.55622476985656
1,7.61616147937197
1,7.6867468529437
1,7.51785701087543
1,7.55753954535439
1,7.63398679253323
1,7.68776357928409
1,7.55349780600748
1,7.46341450039933
1,7.51329229945785
1,7.45454532594392
1,7.60886306018499
1,7.39751540503887
1,7.38888877346402
1,7.41821933088836
1,7.46090522224521
1,7.53455271517358
1,7.6244724460795
1,7.59803907590754
