LR1_coefficients_null_raster	LR1_coefficients_SES_deprivation_R	LR1_R2_null_raster	LR1_R2_SES_deprivation_R	LR1_Q_SES_deprivation_R	LR2_coefficients_null_raster	LR2_coefficients_SES_deprivation_R	LR2_R2_null_raster	LR2_R2_SES_deprivation_R	LR2_Q_SES_deprivation_R
0.0051558864384021	0.000768617563596215	0.04849073608163	0.0424853252342166	-0.00600541084741337	0.000169700186984084	3.57033165559158e-06	0.0322709126953177	0.0229759570652353	-0.00929495563008239
0.00413505003969747	0.000687190238716943	0.0358432668669227	0.0409870347070078	0.00514376784008511	0.00014553960025195	4.38397853401249e-06	0.0201623103622211	0.0260465161157046	0.00588420575348352
0.00458595065211012	0.000954112702288928	0.0319195396424104	0.0466617153784942	0.0147421757360838	0.0001086198540589	5.69723400289113e-06	0.00830693781726387	0.0233477189968624	0.0150407811795986
0.0154680570404742	0.00298223111349293	0.13565921441336	0.202587856105194	0.0669286416918342	0.000733814924840671	3.25909267142379e-05	0.0584117744420475	0.143835752012112	0.0854239775700646
0.0113555668013313	0.00180226889345925	0.0844124305056045	0.0991634641916578	0.0147510336860533	0.000177349161578829	5.28583780272637e-06	0.00931996494188284	0.0159200313168626	0.00660006637497972
0.0076487552557048	0.00144925099822347	0.120360722487833	0.141600883717251	0.0212401612294182	0.000198255899740517	8.07582853126799e-06	0.0360548191157569	0.0577751300161472	0.0217203109003903
0.00382896958392575	0.000637046350726471	0.0477366784295935	0.0510366699710917	0.00329999154149819	6.65956151782154e-05	1.85716883665294e-06	0.00798961752856393	0.0088260911350516	0.000836473606487673
0.00288183107499193	0.0004808804302591	0.00916089311653867	0.0117847022419076	0.00262380912536891	9.36918997048084e-05	1.87584036577215e-06	0.00403202813594716	0.00343929434060435	-0.000592733795342809
0.00853588527459424	0.00127882395296267	0.119245291886279	0.122693385165259	0.00344809327897995	0.000369507292701265	1.22343145042171e-05	0.0795923102168081	0.120073650457683	0.0404813402408746
0.00287870581709669	0.000428195601765362	0.00508689017407037	0.00439815949115207	-0.000688730682918297	6.5200352555519e-05	2.28813025201213e-06	0.000779003072207199	0.00115882668656984	0.00037982361436264
0.00549769314583212	0.00133879764790034	0.0140121552218264	0.030774420002054	0.0167622647802276	6.99647457647007e-05	4.28237216110966e-06	0.0011989701056691	0.00530589554101736	0.00410692543534825
0.00471930663429093	0.000867303974138318	0.0286166917016912	0.0376852222280861	0.00906853052639492	4.21768506557291e-05	2.77219008011198e-06	0.000934225944702255	0.00413529700725839	0.00320107106255613
0.0170866088233274	0.00246329813149079	0.136109947643521	0.172262616464824	0.0361526688213034	0.00102470045022148	1.97404655929666e-05	0.0751991666425676	0.114192198670755	0.0389930320281875
0.0117537704043814	0.00192076537340422	0.146909441226174	0.181834644810002	0.0349252035838272	0.000383298356036875	1.06629034554653e-05	0.0645047012872479	0.0989583389514353	0.0344536376641875
0.0109721888216614	0.00199005862122559	0.0915570662360138	0.117642337075549	0.0260852708395356	0.000294705608379982	9.70773231610208e-06	0.0416755366530223	0.0600100816575017	0.0183345450044794
