null_raster,SES_deprivation_C
1,67.257668255297
1,67.4634143550221
1,66.3292178165765
1,68.5189392241565
1,68.2727270415335
1,64.2947972027553
1,64.9846740481497
1,67.2835245680535
1,65.9895172479018
1,67.4658632967845
1,66.5753964923677
1,66.8536582109405
1,63.4203817282513
1,66.9909906516204
1,66.4008436203003
1,67.8604647614235
1,67.5644168736744
1,66.0505046728886
1,66.4618469835764
1,66.3594767751257
1,67.7664667232308
1,66.5945415162204
1,66.5038755549941
1,65.2570275456072
1,67.7695470503819
1,67.5686271106495
1,65.1666664123535
1,65.9224802061569
1,65.9572645578629
1,65.8734173231487
1,67.3599179741795
1,66.4396725403019
1,66.8174091873655
1,66.8634534514094
1,66.2525249596798
1,67.5618444238819
1,64.1021189276194
1,66.6862741981456
1,67.7647056018605
1,66.2317876752639
1,65.5582324568047
1,63.111800827595
1,68.68916123045
1,68.6190473066058
1,67.2878783507781
1,64.9957260229649
1,66.4285708509173
1,66.4605256005337
1,67.6666663487752
1,66.1329240623427
1,67.666666346825
1,66.959595489502
1,66.141611809824
1,66.7349894031975
1,67.6666663735213
1,67.9607841155108
1,67.7741932038338
1,66.1072121001126
1,65.6586341398308
1,66.2263371149699
1,65.5582324108446
1,66.0602406766041
1,67.1735696397589
1,67.0569101542961
1,65.8702591079438
1,65.7509575876696
1,65.1260159655315
1,66.7464208544398
1,67.2473791350359
1,66.3535348372026
1,66.208332836628
1,66.9763310675085
1,67.4570227449045
1,64.1856535658052
1,67.1646582247263
1,66.2083328723907
1,65.8734172748614
1,66.5136264585099
1,66.1138712841532
1,64.7896821725936
1,67.8776368370539
1,66.5622486551124
1,67.1616157762932
1,67.8674695118364
1,66.1785712355659
1,66.5753964696612
1,67.3398690192528
1,67.8776368732694
1,66.5349789607672
1,65.6341459227771
1,66.1329238166107
1,65.5454541639848
1,67.0886317016072
1,64.9751549596372
1,64.8888883590698
1,65.1821942892134
1,65.6090530583888
1,66.3455280327215
1,67.2447253118587
1,66.9803918165319
