null_raster,SES_deprivation_R
1,663.57669076744
1,665.634148574457
1,654.292183393314
1,676.189395297657
1,673.727274576823
1,633.947980759461
1,640.846745545837
1,663.835251731434
1,650.895182771503
1,665.658635794398
1,656.753970918201
1,659.536587971013
1,625.203825154882
1,660.909912624875
1,655.008440911015
1,669.604654001635
1,666.644174213058
1,651.505053525982
1,655.618477143437
1,654.594774034288
1,668.664673399783
1,656.945422256202
1,656.038763001908
1,643.570285659239
1,668.695475448797
1,666.686277232451
1,642.666668701172
1,650.224809513536
1,650.572652767866
1,649.734180402152
1,664.599183813926
1,655.396730107032
1,659.174102297254
1,659.634541063424
1,653.525254868016
1,666.618452156115
1,632.021198868062
1,657.862747591305
1,668.647061067469
1,653.317884028353
1,646.582333116646
1,622.118015739488
1,677.89161813186
1,677.190478690011
1,663.878791375594
1,640.957268739358
1,655.285718906948
1,655.605268879941
1,667.666669209798
1,652.329245538068
1,667.6666692254
1,660.595963356712
1,652.416125129251
1,658.349898439016
1,667.66666901183
1,670.607844722972
1,668.741938240297
1,652.072127760502
1,647.5863485681
1,653.263377154315
1,646.582333484328
1,651.602411936565
1,662.735703236958
1,661.569109009533
1,649.702597795132
1,648.509580677953
1,642.260164958675
1,658.464215986568
1,663.473797108392
1,654.535357666016
1,653.083337306976
1,660.763315956974
1,665.570233135103
1,632.856543625457
1,662.646589623876
1,653.083337020874
1,649.734180788451
1,656.136271350789
1,652.138719167769
1,638.896828333537
1,669.776373657999
1,656.622492686812
1,662.616164698745
1,669.674701736634
1,652.785715829758
1,656.753971099854
1,664.398694904801
1,669.776373368275
1,656.349797943492
1,647.341466764124
1,652.329247503924
1,646.454548506303
1,661.886322109686
1,640.751555353958
1,639.888893127441
1,642.821948791883
1,647.090538495853
1,654.45528793335
1,663.447260796269
1,660.803924291274
