null_raster,SES_affluence_R
1,725.118318160646
1,722.274177733542
1,731.944257300055
1,695.53925237558
1,716.017067658616
1,725.687147016818
1,719.998864339887
1,706.346988092103
1,738.770195241674
1,718.86120881481
1,720.56769293567
1,725.687146600196
1,755.835042074679
1,751.85324440393
1,738.201367479135
1,705.337902487141
1,723.411833727319
1,728.531287704312
1,724.54949081473
1,746.733791051871
1,715.448239219067
1,715.448239687767
1,714.310582392045
1,731.375429381283
1,723.980662687646
1,710.474887900157
1,741.614337231112
1,717.723551883632
1,743.8896493749
1,741.045508427018
1,724.549490918885
1,729.668943958478
1,737.632539039586
1,722.274177525231
1,727.393632179234
1,730.237772502183
1,726.824803947996
1,745.027306358155
1,710.328785606619
1,750.715587993531
1,729.668943854322
1,750.429225346813
1,717.154723496161
1,696.676908265202
1,701.913245161919
1,749.009103508126
1,709.759957167069
1,746.131731852633
1,724.549490866807
1,731.375429172972
1,722.843006121014
1,722.461189426788
1,747.871447201882
1,730.45205777312
1,716.017067658616
1,709.191128883752
1,735.01826717429
1,718.292380427338
1,729.100115675161
1,732.513085635449
1,729.668944479256
1,726.824803583451
1,715.448238802444
1,724.549490918885
1,726.255975143901
1,715.448239114911
1,735.357226635409
1,727.962460150084
1,731.944257143821
1,725.885846804266
1,735.926054450026
1,716.585895733622
1,730.806600525111
1,750.146759762292
1,719.607308374692
1,735.018267069777
1,741.045508791562
1,735.926054866647
1,734.788397831315
1,730.806600681344
1,728.376864141615
1,723.980662218947
1,722.274177004453
1,716.585895473233
1,722.84300575647
1,720.56769340437
1,741.614337179034
1,730.237772606339
1,730.806601150044
1,732.513085062593
1,731.375428808427
1,731.375428287649
1,709.19112940453
1,741.045508583251
1,730.237772293872
1,739.907852381163
1,735.926054241714
1,728.531287756389
1,733.650741837537
1,714.879410831595
