null_raster,SES_affluence_C
1,8.24118315970125
1,8.21274175090594
1,8.30944254618049
1,7.94539249472244
1,8.15017065009159
1,8.2468714323467
1,8.18998861068752
1,8.05346984830732
1,8.37770192859116
1,8.17861206376919
1,8.19567690204842
1,8.24687143722899
1,8.54835038624526
1,8.50853241995333
1,8.37201364536741
1,8.04337899407295
1,8.22411831165743
1,8.27531285334772
1,8.23549487485007
1,8.45733787663561
1,8.1444823644267
1,8.14448235710326
1,8.13310579553806
1,8.3037542605156
1,8.22980659894976
1,8.09474885627015
1,8.4061433341316
1,8.16723548674339
1,8.42889646458545
1,8.40045505741757
1,8.23549487810493
1,8.28668941491293
1,8.3663253694671
1,8.21274174927851
1,8.26393628852766
1,8.2923776989504
1,8.25824799472561
1,8.44027302940551
1,8.09328783168728
1,8.49715585757441
1,8.28668940840321
1,8.49429222329022
1,8.16154721491166
1,7.95676905872879
1,8.00913241709748
1,8.48009100220716
1,8.08759953788523
1,8.45131729312779
1,8.2354948821735
1,8.30375426539789
1,8.21843003575712
1,8.21461186588627
1,8.4687144430831
1,8.29452054222969
1,8.15017064683673
1,8.08191126442606
1,8.34018264894616
1,8.17292377403572
1,8.28100113006175
1,8.31513082533566
1,8.2866894132855
1,8.25824800367648
1,8.14448236279927
1,8.23549487485007
1,8.25255971801159
1,8.1444823644267
1,8.34357223168982
1,8.26962457012398
1,8.3094425469942
1,8.24885843877923
1,8.34926051247242
1,8.15585893331534
1,8.29806598136043
1,8.49146756377236
1,8.18607305663906
1,8.34018263751513
1,8.40045505497643
1,8.34926051898214
1,8.33788396148551
1,8.29806597240956
1,8.2737686142479
1,8.22980659325375
1,8.21274174927851
1,8.15585892924677
1,8.21843002843369
1,8.1956769012347
1,8.40614334145504
1,8.29237770057783
1,8.298065979733
1,8.31513082289452
1,8.30375426132931
1,8.30375425807445
1,8.08191126117121
1,8.40045505172157
1,8.29237768430352
1,8.38907849259751
1,8.34926051898214
1,8.27531284765172
1,8.32650739259687
1,8.13879408283038
