id,type,length,start_time,end_time,start_name,start_lat,start_lon,end_name,end_lat,end_lon
69,External,1.2780279934136223,2017-11-06 00:28:29,2019-02-15 12:00:00,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
70,Internal,0.8077449872549858,2017-11-06 00:26:31,2018-08-27 20:17:17,urban,-16.372124,-71.536829,periurban,-16.43125,-71.539795
71,External,1.1716528691715116,2018-08-27 20:19:15,2019-10-29 12:00:00,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
72,Internal,2.0464559727129865,2018-08-27 20:17:17,2020-09-13 12:03:44,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
73,Internal,0.3344042545884234,2020-09-13 12:05:42,2021-01-13 20:39:23,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
74,External,0.4483268884451759,2021-01-13 19:39:23,2021-06-26 11:00:00,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
75,External,1.182573463787734,2021-01-13 20:39:23,2022-03-21 12:00:00,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
76,Internal,0.703690145031949,2020-09-13 12:03:44,2021-05-28 15:34:05,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
77,Internal,0.3047461937418552,2021-05-28 14:36:03,2021-09-16 20:10:39,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
78,External,2.573523788465544,2021-09-16 20:08:50,2024-04-13 11:00:00,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
79,Internal,1.102020637822327,2021-09-16 20:10:39,2022-10-24 01:52:41,periurban,-16.43125,-71.539795,urban,-16.372124,-71.536829
80,External,0.5791234815066477,2022-10-24 01:52:41,2023-05-23 11:00:00,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
81,Internal,0.5240130555888272,2022-10-24 01:52:41,2023-05-03 08:13:57,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
82,External,0.4277131656437747,2023-05-03 08:13:57,2023-10-06 11:00:00,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
83,External,0.46058987797251816,2023-05-03 08:13:57,2023-10-18 11:00:00,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
84,Internal,0.33628966514169445,2021-05-28 15:34:05,2021-09-28 09:27:55,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
85,External,0.7180937986135136,2021-09-28 08:29:53,2022-06-17 10:59:59,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
86,Internal,0.37518918377101285,2021-09-28 09:27:55,2022-02-12 08:07:22,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
87,External,1.353863518952076,2022-02-12 07:09:20,2023-06-21 11:00:00,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
88,Internal,0.5937209448258463,2022-02-12 08:07:22,2022-09-17 01:07:05,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
89,External,2.472471341249889,2022-09-17 01:09:03,2025-03-08 12:00:00,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
90,Internal,0.32959227127730806,2022-09-17 01:07:05,2023-01-15 08:20:47,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
91,External,1.2817292833120355,2023-01-15 07:20:57,2024-04-27 11:00:00,periurban,-16.43125,-71.539795,urban,-16.372124,-71.536829
92,External,1.049488846153276,2023-01-15 08:20:47,2024-02-02 12:00:00,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
93,Internal,0.6753932248270207,2013-10-29 14:21:26,2014-07-03 02:48:06,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
94,Internal,0.5356550928010488,2014-07-03 03:48:06,2015-01-14 16:08:25,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
95,Internal,0.4253493237920605,2015-01-14 15:06:37,2015-06-18 21:10:13,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
96,External,0.9811845290406609,2015-06-18 21:10:13,2016-06-11 11:00:00,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
97,Internal,0.32192133426494784,2015-06-18 21:10:13,2015-10-14 09:12:05,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
98,External,0.992596528111287,2015-10-14 09:12:05,2016-10-11 10:59:59,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
99,Internal,0.24619157046863194,2015-10-14 09:12:05,2016-01-12 06:34:43,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
100,External,1.584147303625854,2016-01-12 06:36:32,2017-08-13 10:59:59,urban,-16.372124,-71.536829,periurban,-16.43125,-71.539795
101,External,0.48957435654936,2016-01-12 06:34:43,2016-07-09 11:00:00,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
102,Internal,0.2533949149776209,2015-01-14 16:08:25,2015-04-17 03:52:47,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
103,Internal,0.7516062287850573,2015-04-17 03:50:49,2016-01-16 12:56:12,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
104,External,0.9698686623622237,2016-01-16 12:58:10,2017-01-05 12:00:00,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
105,External,0.835958938578921,2016-01-16 12:56:12,2016-11-17 12:00:00,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
106,Internal,0.5323582647519025,2015-04-17 03:52:47,2015-10-28 11:20:18,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
107,External,1.7836371743398907,2015-10-28 10:20:18,2017-08-10 11:00:00,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
108,Internal,0.6501507704503258,2015-10-28 11:20:18,2016-06-22 06:01:11,urban,-16.372124,-71.536829,periurban,-16.43125,-71.539795
109,External,0.48429110484050497,2016-06-22 05:59:12,2016-12-16 12:00:00,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
110,Internal,0.40813986989707196,2016-06-22 06:01:11,2016-11-18 15:07:13,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
111,External,0.2842506435812897,2016-11-18 15:07:13,2017-03-02 12:00:00,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
112,Internal,0.582011027949279,2016-11-18 15:07:13,2017-06-19 04:22:51,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
113,Internal,0.7953734062010289,2017-06-19 04:22:51,2018-04-05 11:51:07,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
114,External,0.6411127847721021,2018-04-05 11:51:07,2018-11-25 12:00:00,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
115,External,0.9452223738140102,2018-04-05 11:51:07,2019-03-16 12:00:00,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
116,Internal,0.5675397858543221,2017-06-19 04:22:51,2018-01-12 08:01:46,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
117,Internal,0.5680839362816927,2018-01-12 08:01:46,2018-08-07 16:26:41,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
118,External,0.7173008250016117,2018-08-07 15:26:41,2019-04-26 10:59:59,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
119,External,0.46524603048285673,2018-08-07 16:26:41,2019-01-24 11:59:59,periurban,-16.43125,-71.539795,urban,-16.372124,-71.536829
120,Internal,2.1924351767025545,2018-01-12 08:01:46,2020-03-22 19:07:31,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
121,External,0.8847304065000081,2020-03-22 19:07:31,2021-02-09 12:00:00,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
122,Internal,0.4386435777006197,2020-03-22 19:07:31,2020-08-30 08:10:14,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
123,External,2.5337580616754565,2020-08-30 08:10:14,2023-03-13 12:00:00,periurban,-16.43125,-71.539795,urban,-16.372124,-71.536829
124,Internal,0.9376620178201174,2020-08-30 08:10:14,2021-08-07 22:11:55,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
125,External,0.9139042630333991,2021-08-07 21:11:55,2022-07-07 11:00:00,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
126,Internal,0.278463326393942,2021-08-07 22:11:55,2021-11-17 13:32:14,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
127,External,1.7669477859548064,2021-11-17 12:32:14,2023-08-24 10:59:59,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
128,External,1.246399840749405,2021-11-17 13:32:14,2023-02-15 12:00:00,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
129,Internal,0.3748104950380782,2014-07-03 02:48:06,2014-11-16 22:08:30,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
130,Internal,0.634434687840912,2014-11-16 22:08:30,2015-07-06 11:47:22,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
131,External,0.7935995004604717,2015-07-06 11:45:34,2016-04-21 11:00:00,urban,-16.372124,-71.536829,periurban,-16.43125,-71.539795
132,Internal,0.3737012463970668,2015-07-06 11:47:22,2015-11-19 21:24:45,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
133,External,1.1823729901976439,2015-11-19 22:24:45,2017-01-25 11:59:59,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
134,Internal,0.3790965844379617,2015-11-19 21:24:45,2016-04-06 12:37:41,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
135,Internal,0.2661590446775026,2016-04-06 13:37:51,2016-07-12 23:34:19,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
136,External,0.20087213314372931,2016-07-12 22:32:21,2016-09-24 11:00:00,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
137,External,1.685062566560232,2016-07-12 23:34:19,2018-03-20 12:00:00,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
138,Internal,1.302327840757374,2016-04-06 12:37:41,2017-07-26 14:41:26,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
139,Internal,0.5074904121208981,2017-07-26 15:41:26,2018-01-27 21:18:23,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
140,External,0.6948280158932825,2018-01-27 20:18:23,2018-10-08 10:59:59,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
141,External,1.0455129474016678,2018-01-27 21:18:23,2019-02-13 12:00:00,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
142,Internal,0.5038633078782482,2017-07-26 14:41:26,2018-01-26 12:31:59,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
143,External,1.3724277228759822,2018-01-26 12:31:59,2019-06-11 10:59:59,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
144,Internal,0.5969162097609715,2018-01-26 12:31:59,2018-09-01 09:31:08,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
145,External,0.9700320610612714,2018-09-01 09:31:08,2019-08-21 11:00:00,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
146,External,1.1344156227034476,2018-09-01 09:31:08,2019-10-20 10:59:59,urban,-16.372124,-71.536829,periurban,-16.43125,-71.539795
147,Internal,0.2537909161517433,2014-11-16 22:08:30,2015-02-17 13:21:00,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
148,Internal,0.3974470418370313,2015-02-17 13:21:00,2015-07-12 14:59:10,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
149,External,1.2604027876895323,2015-07-12 14:57:22,2016-10-15 11:00:00,urban,-16.372124,-71.536829,periurban,-16.43125,-71.539795
150,Internal,1.7664405199985938,2015-07-12 14:59:10,2017-04-18 09:00:19,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
151,External,0.7700907204207974,2017-04-18 10:00:19,2018-01-24 11:59:59,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
152,External,4.23858387110417,2017-04-18 09:00:19,2021-07-14 10:59:59,urban,-16.372124,-71.536829,periurban,-16.43125,-71.539795
153,Internal,0.46937955515737606,2015-02-17 13:21:00,2015-08-07 21:06:54,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
154,External,1.1666123508709987,2015-08-07 21:05:06,2016-10-07 11:00:00,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
155,Internal,0.8687941715398271,2015-08-07 21:06:54,2016-06-20 10:59:42,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
156,External,4.439894682065183,2016-06-20 11:57:54,2020-11-28 11:59:59,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
157,Internal,0.4499366905920006,2016-06-20 10:59:42,2016-12-02 03:14:20,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
158,External,0.5266897827736061,2016-12-02 03:14:20,2017-06-12 10:59:59,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
159,Internal,0.46683947764103007,2016-12-02 03:14:20,2017-05-21 14:42:40,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
160,External,0.7256037297917031,2017-05-21 15:42:40,2018-02-10 11:59:59,urban,-16.372124,-71.536829,periurban,-16.43125,-71.539795
161,Internal,0.29997268216862594,2017-05-21 14:42:40,2017-09-08 02:28:19,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
162,External,1.4420694037873494,2017-09-08 03:28:19,2019-02-16 11:59:59,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
163,Internal,0.5851697195840728,2017-09-08 02:28:19,2018-04-09 16:33:31,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
164,Internal,0.413704133758074,2018-04-09 17:31:33,2018-09-07 17:34:27,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
165,External,2.3637434956496506,2018-09-07 17:36:25,2021-01-18 12:00:00,urban,-16.372124,-71.536829,periurban,-16.43125,-71.539795
166,Internal,0.5707674815840633,2018-09-07 17:34:27,2019-04-04 01:29:50,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
167,External,0.7846520377200417,2019-04-04 01:29:50,2020-01-15 12:00:00,urban,-16.372124,-71.536829,periurban,-16.43125,-71.539795
168,External,0.8447613273376744,2019-04-04 01:29:50,2020-02-06 11:59:59,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
169,Internal,0.4581593813422229,2018-04-09 16:33:31,2018-09-23 22:02:05,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
170,External,1.3656090804630487,2018-09-23 23:00:07,2020-02-04 12:00:00,urban,-16.372124,-71.536829,periurban,-16.43125,-71.539795
171,Internal,1.60809710092503,2018-09-23 22:02:05,2020-05-03 05:02:41,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
172,External,0.6837938868667557,2020-05-03 06:02:51,2021-01-08 11:59:59,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
173,Internal,0.3954511808854937,2020-05-03 05:02:41,2020-09-24 22:41:17,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
174,Internal,0.8671080336823302,2020-09-24 22:41:17,2021-08-07 16:59:03,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
175,External,1.7883579599706163,2021-08-07 16:59:03,2023-05-22 11:00:00,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
176,Internal,0.21993629878466114,2021-08-07 16:59:03,2021-10-26 23:37:34,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
177,External,0.6177367296787981,2021-10-26 23:37:34,2022-06-09 11:00:00,urban,-16.372124,-71.536829,periurban,-16.43125,-71.539795
178,External,0.7054079625552037,2021-10-26 23:37:34,2022-07-11 11:00:00,urban,-16.372124,-71.536829,urban,-16.372124,-71.536829
179,Internal,0.40819071692138653,2020-09-24 22:41:17,2021-02-21 04:52:06,urban,-16.372124,-71.536829,periurban,-16.43125,-71.539795
180,External,1.493850619197484,2021-02-21 04:52:06,2022-08-20 11:00:00,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
181,Internal,0.13779807289566115,2021-02-21 04:52:06,2021-04-12 11:58:46,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
182,Internal,0.505415612830908,2021-04-12 12:58:46,2021-10-14 00:25:13,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
183,External,1.6095410430597068,2021-10-13 23:25:13,2023-05-24 10:59:59,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
184,External,1.2314588512787088,2021-10-14 00:25:13,2023-01-06 12:00:00,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
185,Internal,0.30288826247237877,2021-04-12 11:58:46,2021-08-01 01:16:51,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
186,Internal,0.3655970338425769,2021-08-01 01:16:51,2021-12-12 11:54:39,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
187,External,0.8355124554656728,2021-12-12 11:54:39,2022-10-13 11:00:00,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
188,Internal,0.19623488628342,2021-12-12 11:54:39,2022-02-22 02:55:42,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
189,External,1.1735241445248137,2022-02-22 02:55:42,2023-04-26 10:59:59,periurban,-16.43125,-71.539795,urban,-16.372124,-71.536829
190,Internal,0.1775566062252505,2022-02-22 02:55:42,2022-04-27 22:19:27,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
191,External,0.9795291821353154,2022-04-27 22:19:27,2023-04-20 10:59:59,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
192,External,0.37678945610774406,2022-04-27 22:19:27,2022-09-12 11:00:00,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
193,Internal,0.06017597003853181,2021-08-01 01:16:51,2021-08-23 00:25:20,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
194,Internal,0.934342914960995,2021-08-23 00:25:20,2022-07-30 01:15:58,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
195,External,0.8120700563639942,2022-07-30 01:15:58,2023-05-22 11:00:00,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
196,External,0.8750837549936776,2022-07-30 01:15:58,2023-06-14 11:00:00,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
197,Internal,0.28311726667126136,2021-08-23 00:25:20,2021-12-04 08:31:46,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
198,External,0.361925841639287,2021-12-04 08:31:46,2022-04-15 10:59:59,periurban,-16.43125,-71.539795,periurban,-16.43125,-71.539795
199,External,0.7509669375302641,2021-12-04 08:31:46,2022-09-04 10:59:59,periurban,-16.43125,-71.539795,external,-16.358678,-72.189723
