null_raster,SES_class_R
1,7.31901840490797
1,7.37195121951219
1,7.45061728395062
1,7.30681818181818
1,7.33333333333333
1,7.64739884393064
1,7.66666666666667
1,7.4367816091954
1,7.35220125786163
1,7.35542168674699
1,7.39880952380952
1,7.46341463414634
1,7.7515923566879
1,7.38513513513513
1,7.51898734177215
1,7.36627906976744
1,7.38036809815951
1,7.42424242424243
1,7.47590361445783
1,7.5359477124183
1,7.31736526946108
1,7.54970760233918
1,7.42441860465116
1,7.50602409638554
1,7.35802469135802
1,7.29411764705882
1,7.71875
1,7.5406976744186
1,7.53846153846154
1,7.45569620253164
1,7.47239263803681
1,7.47239263803681
1,7.21019108280255
1,7.3855421686747
1,7.51515151515152
1,7.35220125786163
1,7.70520231213873
1,7.60130718954249
1,7.29411764705882
1,7.42384105960265
1,7.53614457831325
1,7.77018633540373
1,7.19631901840491
1,7.22857142857143
1,7.36363636363636
1,7.63461538461538
1,7.42857142857143
1,7.2828947368421
1,7.32716049382716
1,7.47239263803681
1,7.28834355828221
1,7.36363636363637
1,7.47058823529412
1,7.58385093167702
1,7.37724550898204
1,7.29411764705882
1,7.29032258064516
1,7.46198830409357
1,7.50602409638554
1,7.51234567901235
1,7.47590361445783
1,7.53614457831325
1,7.33136094674556
1,7.46341463414634
1,7.55688622754491
1,7.49425287356322
1,7.67682926829268
1,7.41104294478528
1,7.35220125786164
1,7.45454545454546
1,7.53125
1,7.301775147929
1,7.35220125786163
1,7.70886075949367
1,7.32530120481928
1,7.53125
1,7.55063291139241
1,7.44654088050314
1,7.30434782608696
1,7.69642857142857
1,7.32911392405063
1,7.47590361445783
1,7.3030303030303
1,7.32530120481928
1,7.54761904761905
1,7.45833333333333
1,7.47058823529412
1,7.39240506329114
1,7.41975308641975
1,7.46341463414634
1,7.38036809815951
1,7.48484848484848
1,7.44508670520231
1,7.67701863354037
1,7.66666666666667
1,7.58385093167702
1,7.45061728395062
1,7.46341463414634
1,7.39240506329114
1,7.35294117647059
