LR1_coefficients_null_raster	LR1_coefficients_SES_class_R	LR1_R2_null_raster	LR1_R2_SES_class_R	LR1_Q_SES_class_R	LR2_coefficients_null_raster	LR2_coefficients_SES_class_R	LR2_R2_null_raster	LR2_R2_SES_class_R	LR2_Q_SES_class_R
0.0051558864384021	6.283023715299e-05	0.04849073608163	0.0461203818292343	-0.00237035425239568	0.000169700186984084	2.92604710753541e-08	0.0322709126953177	0.0367131749513062	0.00444226225598848
0.00413505003969747	4.78114249946673e-05	0.0358432668669227	0.0300050365604496	-0.00583823030647304	0.00014553960025195	2.02434334308535e-08	0.0201623103622211	0.015892018558334	-0.00427029180388714
0.00458595065211012	4.88268715934507e-05	0.0319195396424104	0.0257392977411201	-0.00618024190129028	0.0001086198540589	9.46020491257203e-09	0.00830693781726387	0.00330932469716533	-0.00499761312009853
0.0154680570404742	0.000137086011175688	0.13565921441336	0.0745744181666203	-0.0610847962467395	0.000733814924840671	6.49893050275827e-08	0.0584117744420475	0.0247814101253132	-0.0336303643167343
0.0113555668013313	0.000129871367142962	0.0844124305056045	0.0644839858125503	-0.0199284446930543	0.000177349161578829	2.5517991285897e-08	0.00931996494188284	0.00624650839711895	-0.00307345654476389
0.0076487552557048	8.3626153331047e-05	0.120360722487833	0.103288657086453	-0.0170720654013798	0.000198255899740517	2.66861220422411e-08	0.0360548191157569	0.0323687539004983	-0.00368606521525856
0.00382896958392575	4.34470108919741e-05	0.0477366784295935	0.0408030993561283	-0.0069335790734652	6.65956151782154e-05	1.1402993548547e-08	0.00798961752856393	0.00939278392365019	0.00140316639508626
0.00288183107499193	2.90055631630578e-05	0.00916089311653867	0.00548824051460938	-0.00367265260192928	9.36918997048084e-05	1.30944408764669e-08	0.00403202813594716	0.00315951490759269	-0.000872513228354475
0.00853588527459424	0.00010178697741007	0.119245291886279	0.104070255453702	-0.0151750364325764	0.000369507292701265	4.24854432370738e-08	0.0795923102168081	0.053284062610027	-0.0263082476067811
0.00287870581709669	2.52257140822902e-05	0.00508689017407037	0.00272560157693472	-0.00236128859713564	6.5200352555519e-05	8.7379679168058e-09	0.000779003072207199	0.000674095004742949	-0.00010490806746425
