null_raster,SES_class_C
1,632.901840490798
1,638.19512195122
1,646.061728395062
1,631.681818181818
1,634.333333333333
1,665.739884393064
1,667.666666666667
1,644.67816091954
1,636.220125786164
1,636.542168674699
1,640.880952380953
1,647.341463414634
1,676.15923566879
1,639.513513513514
1,652.898734177215
1,637.627906976744
1,639.036809815951
1,643.424242424242
1,648.590361445783
1,654.59477124183
1,632.736526946108
1,655.970760233918
1,643.441860465116
1,651.602409638554
1,636.802469135803
1,630.411764705882
1,672.875
1,655.06976744186
1,654.846153846154
1,646.569620253165
1,648.239263803681
1,648.239263803681
1,622.019108280255
1,639.55421686747
1,652.515151515151
1,636.220125786164
1,671.520231213873
1,661.130718954248
1,630.411764705882
1,643.384105960265
1,654.614457831325
1,678.018633540373
1,620.631901840491
1,623.857142857143
1,637.363636363636
1,664.461538461538
1,643.857142857143
1,629.28947368421
1,633.716049382716
1,648.239263803681
1,629.834355828221
1,637.363636363636
1,648.058823529412
1,659.385093167702
1,638.724550898204
1,630.411764705882
1,630.032258064516
1,647.198830409357
1,651.602409638554
1,652.234567901235
1,648.590361445783
1,654.614457831325
1,634.136094674556
1,647.341463414634
1,656.688622754491
1,650.425287356322
1,668.682926829268
1,642.104294478528
1,636.220125786164
1,646.454545454545
1,654.125
1,631.1775147929
1,636.220125786164
1,671.886075949367
1,633.530120481928
1,654.125
1,656.063291139241
1,645.654088050315
1,631.434782608696
1,670.642857142857
1,633.911392405063
1,648.590361445783
1,631.30303030303
1,633.530120481928
1,655.761904761905
1,646.833333333333
1,648.058823529412
1,640.240506329114
1,642.975308641975
1,647.341463414634
1,639.036809815951
1,649.484848484849
1,645.508670520231
1,668.701863354037
1,667.666666666667
1,659.385093167702
1,646.061728395062
1,647.341463414634
1,640.240506329114
1,636.294117647059
