null_raster,SES_class_C
1,64.1901840490797
1,64.7195121951219
1,65.5061728395062
1,64.0681818181818
1,64.3333333333333
1,67.4739884393064
1,67.6666666666667
1,65.367816091954
1,64.5220125786164
1,64.5542168674699
1,64.9880952380952
1,65.6341463414634
1,68.515923566879
1,64.8513513513514
1,66.1898734177215
1,64.6627906976744
1,64.8036809815951
1,65.2424242424242
1,65.7590361445783
1,66.359477124183
1,64.1736526946108
1,66.4970760233918
1,65.2441860465116
1,66.0602409638554
1,64.5802469135803
1,63.9411764705882
1,68.1875
1,66.406976744186
1,66.3846153846154
1,65.5569620253165
1,65.7239263803681
1,65.7239263803681
1,63.1019108280255
1,64.855421686747
1,66.1515151515152
1,64.5220125786164
1,68.0520231213873
1,67.0130718954248
1,63.9411764705882
1,65.2384105960265
1,66.3614457831325
1,68.7018633540373
1,62.9631901840491
1,63.2857142857143
1,64.6363636363636
1,67.3461538461539
1,65.2857142857143
1,63.8289473684211
1,64.2716049382716
1,65.7239263803681
1,63.8834355828221
1,64.6363636363636
1,65.7058823529412
1,66.8385093167702
1,64.7724550898204
1,63.9411764705882
1,63.9032258064516
1,65.6198830409357
1,66.0602409638554
1,66.1234567901235
1,65.7590361445783
1,66.3614457831325
1,64.3136094674556
1,65.6341463414634
1,66.5688622754491
1,65.9425287356322
1,67.7682926829268
1,65.1104294478528
1,64.5220125786164
1,65.5454545454546
1,66.3125
1,64.01775147929
1,64.5220125786164
1,68.0886075949367
1,64.2530120481928
1,66.3125
1,66.5063291139241
1,65.4654088050315
1,64.0434782608696
1,67.9642857142857
1,64.2911392405063
1,65.7590361445783
1,64.030303030303
1,64.2530120481928
1,66.4761904761905
1,65.5833333333333
1,65.7058823529412
1,64.9240506329114
1,65.1975308641975
1,65.6341463414634
1,64.8036809815951
1,65.8484848484848
1,65.4508670520231
1,67.7701863354037
1,67.6666666666667
1,66.8385093167702
1,65.5061728395062
1,65.6341463414634
1,64.9240506329114
1,64.5294117647059
