"sample_id","redcap_repeat_instance","ngs_runid","duplicate_id","ngs_rundate","ngs_location","ngs_provider","ngs_submission","ngs_platform","primer_scheme","primer_scheme_version","nanopore_platform","ngs_flowcell","illumina_platform","ngs_prep","ngs_barcode","ngs_library","ngs_analysis_type","ngs_merged_from","total_reads","mapped_reads","mean_depth","stdev_depth","median_depth","minimum_reads","maximum_reads","genomecov_depthx1","genomecov_depthx5","genomecov_depthx20","genomecov_depthx100","negative_control_sample","genbank_accession","consensus_coverage","consensus_fasta","ngs_notes","sample_labid","sample_sequenceid","sample_batchid","apha_sub","apha_rv","sample_tissuetype","sample_buffer","country","hmpcr_n405","rtassay","rtqpcr","lateral_flow_test","fat","drit","diagnostic_result","test_centre","diag_notes"
"159_2017","1","aqp16","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode19",NA,"Single run",NA,"16330","14897","857.6008555","476.2706275","758","0","2910","11885","11878","11877","11877","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"162_2024","1","aqp16","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode08",NA,"Single run",NA,"29159","28520","1190.163717","615.420115","1227","0","2825","11890","11877","11877","11877","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"172_2022","1","aqp14","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2",NA,"Minion","FAS90955","Unknown","Amplicon",NA,NA,NA,NA,"83048","83048","3167","1618","3004","0","9030","11891","11883","11879","11878","No","PP965371.1","11812",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","Positive","NA","Positive","Other",NA
"173_2022","1","aqp14","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2",NA,"Minion","FAS90955","Unknown","Amplicon",NA,NA,NA,NA,"60646","60646","2606","1257","2689","0","6952","11903","11886","11879","11678","No","PP965368.1","11819",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","Positive","NA","Positive","Other",NA
"182_2019","1","April2022_CVR_metagenomics","1","2022-04-12","University of Glasgow","CVR","220412_M02383_0104_000000000-KC4GT_0mm","Illumina","rabvPeru2",NA,"Unknown",NA,"Miseq","Metagenomic",NA,NA,NA,NA,NA,"1044","25","16",NA,NA,NA,NA,NA,NA,NA,"No","PP965362.1","11273",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","Positive","NA","Positive","Other",NA
"183_2023","1","aqp17","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode18",NA,"Single run",NA,"102405","99340","3813.063658","2348.639296","3718","0","11819","11889","11880","11878","11877","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"202_2021","1","aqp12","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2",NA,"Minion",NA,"Unknown","Amplicon",NA,NA,NA,NA,"112087","112087","7031.275015","1899.763072","7182","0","12989","11905","11887","11882","11878","No","PP965344.1","10563",NA,NA,"8",NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","Positive","NA","Positive","Other","labid is epi caseid"
"213_2021","1","aqp16","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode01",NA,"Single run",NA,"19986","19107","665.8556571","458.537034","566","0","2313","11881","11842","11691","11092","No",NA,"11592",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"219_2022","1","aqp14","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2",NA,"Minion","FAS90955","Unknown","Amplicon",NA,NA,NA,NA,"36608","36608","2472","878","2508","0","4893","11907","11880","11878","11877","No","PP965347.1","11822",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","Positive","NA","Positive","Other",NA
"220_2019","1","aqp18","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY28417","Unknown","Amplicon","barcode21",NA,"Single run",NA,"187","177","6.243311247","9.734149251","1","0","37","8321","3574","1489","0","No",NA,"1074",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"225_2017","1","aqp18","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY28417","Unknown","Amplicon","barcode19",NA,"Single run",NA,"114238","109652","4995.683385","2670.543943","4649","0","15466","11896","11883","11878","11877","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"227_2019","1","aqp16","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode24",NA,"Single run",NA,"4140","3927","243.751321","96.64727967","242","0","476","11879","11877","11877","11010","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"231_2021","1","aqp14","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2",NA,"Minion","FAS90955","Unknown","Amplicon",NA,NA,NA,NA,"28192","28192","1405","515","1363","0","2943","11891","11883","11878","11877","No","PP965374.1","11801",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","Positive","NA","Positive","Other",NA
"234_2016","1","aqp18","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY28417","Unknown","Amplicon","barcode12",NA,"Single run",NA,"49601","46268","2305.569488","1207.273528","2059","0","6599","11906","11881","11878","11877","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"236_2019","1","aqp18","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY28417","Unknown","Amplicon","barcode05",NA,"Single run",NA,"37348","34318","1438.065839","1051.891834","1138","0","4952","11886","11881","11878","11877","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"236_2022","1","aqp12","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2",NA,"Minion",NA,"Unknown","Amplicon",NA,NA,NA,NA,"758917","758917","25057.9241","17386.99122","21815","0","76266","11912","11909","11695","11170","No","PP965345.1","9755",NA,NA,"12",NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","Positive","NA","Positive","Other","labid is epi caseid"
"246_2022","1","aqp18","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY28417","Unknown","Amplicon","barcode08",NA,"Single run",NA,"73297","69980","3582.809108","1843.720329","3361","0","10837","11895","11880","11878","11870","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"250_2021","1","aqp12","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2",NA,"Minion",NA,"Unknown","Amplicon",NA,NA,NA,NA,"350173","350173","14068.4238","5934.630135","13114","0","28102","11911","11888","11884","11879","No","PP965363.1","10565",NA,NA,"9",NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","Positive","NA","Positive","Other","labid is epi caseid"
"251_2021","1","aqp12","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2",NA,"Minion",NA,"Unknown","Amplicon",NA,NA,NA,NA,"115094","115094","7739.703011","2039.411882","7802","0","13046","11897","11887","11880","11878","No","PP965354.1","10565",NA,NA,"10",NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","Positive","NA","Positive","Other","labid is epi caseid"
"266_2022","1","aqp18","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY28417","Unknown","Amplicon","barcode09",NA,"Single run",NA,"67487","62829","2593.050491","1841.860463","2125","0","8382","11894","11881","11878","11877","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"270_2023","1","aqp18","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY28417","Unknown","Amplicon","barcode10",NA,"Single run",NA,"26031","25459","1032.544913","566.3625555","983","0","2905","11880","11877","11877","11870","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"272_2017","1","aqp18","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY28417","Unknown","Amplicon","barcode20",NA,"Single run",NA,"25268","23174","882.8111214","799.824554","589","0","4040","11882","11879","11692","11667","No",NA,"11592",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"272_2019","1","aqp18","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY28417","Unknown","Amplicon","barcode06",NA,"Single run",NA,"32942","31950","1327.72834","649.3297819","1268","0","3471","11881","11877","11877","11877","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"273_2023","1","aqp17","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode19",NA,"Single run",NA,"97541","93859","3652.096788","2191.904086","3509","0","10988","11887","11879","11878","11877","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"280_2022","1","aqp16","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode11",NA,"Single run",NA,"24475","22516","1289.679946","677.8216039","1135","0","3943","11896","11878","11878","11877","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"286_2022","1","aqp16","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode12",NA,"Single run",NA,"34324","32778","1338.357209","1134.356529","956","0","5564","11882","11878","11678","10928","No",NA,"11582",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"289_2019","1","aqp18","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY28417","Unknown","Amplicon","barcode07",NA,"Single run",NA,"19446","17211","699.4111381","499.0565254","560","0","2289","11882","11879","11878","11687","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"291_2016","1","aqp16","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode18",NA,"Single run",NA,"20533","18538","809.5574939","669.5261887","657","0","3272","11883","11878","11876","11637","No",NA,"11805",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"297_2023","1","aqp16","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode09",NA,"Single run",NA,"61689","57856","2185.476977","1704.218719","1595","0","9371","11885","11879","11878","11876","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"319_2017","1","aqp17","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode10",NA,"Single run",NA,"14826","12897","472.4557578","411.355064","353","0","2001","11881","11878","11250","9973","No",NA,"11011",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"358_2023","1","aqp18","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY28417","Unknown","Amplicon","barcode11",NA,"Single run",NA,"153333","147444","5869.148453","3582.528661","5427","0","17777","11897","11881","11878","11877","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"367_2015","1","aqp16","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode16",NA,"Single run",NA,"37449","35263","1852.589952","984.0934531","1723","0","5910","11883","11879","11877","11877","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"374_2018","1","aqp18","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY28417","Unknown","Amplicon","barcode02",NA,"Single run",NA,"49786","48191","2467.679527","1040.071956","2312","0","6182","11882","11879","11877","11877","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"375_2017","1","April2022_CVR_metagenomics","1","2022-04-12","University of Glasgow","CVR","220412_M02383_0104_000000000-KC4GT_0mm","Illumina","rabvPeru2",NA,"Unknown",NA,"Miseq","Metagenomic",NA,NA,NA,NA,NA,"3545","88","82",NA,NA,NA,NA,NA,NA,NA,"No","PP965352.1","11893",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","Positive","NA","Positive","Other",NA
"375_2018","1","aqp18","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY28417","Unknown","Amplicon","barcode03",NA,"Single run",NA,"19356","18425","1049.111297","447.6516802","1073","0","2552","11887","11879","11877","11877","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"386_2016","1","aqp18","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY28417","Unknown","Amplicon","barcode13",NA,"Single run",NA,"109858","106814","4355.683217","2585.929751","4062","0","12632","11892","11879","11877","11877","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"402_2017","1","aqp16","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode20",NA,"Single run",NA,"14341","13176","894.0733876","437.420827","865","0","2575","11883","11878","11877","11876","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"462_2016","1","aqp18","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY28417","Unknown","Amplicon","barcode14",NA,"Single run",NA,"31887","28902","1261.757947","815.3602504","1053","0","4044","11886","11880","11878","11877","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"481_2016","1","aqp18","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY28417","Unknown","Amplicon","barcode15",NA,"Single run",NA,"39595","37121","1902.846683","1051.098488","1695","0","5552","11889","11881","11878","11877","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"485_2016","1","aqp18","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY28417","Unknown","Amplicon","barcode16",NA,"Single run",NA,"49058","46423","2435.043529","1218.070848","2256","0","7726","11882","11880","11878","11877","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"560_2015","1","April2022_CVR_metagenomics","1","2022-04-12","University of Glasgow","CVR","220412_M02383_0104_000000000-KC4GT_0mm","Illumina","rabvPeru2",NA,"Unknown",NA,"Miseq","Metagenomic",NA,NA,NA,NA,NA,"2106","52","30",NA,NA,NA,NA,NA,NA,NA,"No","PP965348.1","11884",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","Positive","NA","Positive","Other",NA
"609_2015","1","aqp17","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode01",NA,"Single run",NA,"36369","32485","1345.362241","909.7592498","1111","0","4506","11891","11881","11878","11876","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"653_2015","1","aqp17","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode02",NA,"Single run",NA,"34042","32909","1369.837373","659.203535","1349","0","3481","11884","11878","11877","11877","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"696_2015","1","aqp17","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode03",NA,"Single run",NA,"28514","26881","929.9698063","784.2987268","699","0","4370","11884","11879","11690","11144","No",NA,"11272",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"699_2015","1","aqp17","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode04",NA,"Single run",NA,"31257","28854","995.2118594","796.1060768","909","0","3507","11904","11879","11876","11143","No",NA,"11272",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"704_2015","1","aqp17","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode05",NA,"Single run",NA,"43230","39784","1661.541139","1064.814569","1394","0","5099","11903","11882","11878","11877","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"711_2015","1","aqp17","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode06",NA,"Single run",NA,"107300","104192","3578.403757","2573.406899","3190","0","11733","11883","11881","11878","11691","No",NA,"11827",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA
"3553_2010","1","April2022_CVR_metagenomics","1","2022-04-12","University of Glasgow","CVR","220412_M02383_0104_000000000-KC4GT_0mm","Illumina","rabvPeru2",NA,"Unknown",NA,"Miseq","Metagenomic",NA,NA,NA,NA,NA,"3848","95","52",NA,NA,NA,NA,NA,NA,NA,"No","PP965355.1","11904",NA,NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","Positive","NA","Positive","Other",NA
"1101786","1","dec19_gla_metagenomic","1","2019-11-22","University of Glasgow","CVR","191122_NB551552_0036_AHWVHVAFXY_rabies","Illumina","rabvPeru2",NA,"Unknown",NA,"Unknown","Metagenomic",NA,NA,NA,NA,NA,"173909","2987","741",NA,NA,NA,NA,NA,NA,NA,"No","PP965373.1","11869",NA,"Streicker seq",NA,"1203037_peru",NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","Positive","NA","Positive","Other",NA
"1101787","1","dec19_gla_metagenomic","1","2019-11-22","University of Glasgow","CVR","191122_NB551552_0036_AHWVHVAFXY_rabies","Illumina","rabvPeru2",NA,"Unknown",NA,"Unknown","Metagenomic",NA,NA,NA,NA,NA,"731825","6536","1471",NA,NA,NA,NA,NA,NA,NA,"No","KU938752.2","11874",NA,"Streicker seq, updated accession",NA,"1101786_peru",NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","Positive","NA","Positive","Other",NA
"1203037","1","dec19_gla_metagenomic","1","2019-11-22","University of Glasgow","CVR","191122_NB551552_0036_AHWVHVAFXY_rabies","Illumina","rabvPeru2",NA,"Unknown",NA,"Unknown","Metagenomic",NA,NA,NA,NA,NA,"12966","237","169",NA,NA,NA,NA,NA,NA,NA,"No","KU938829.2","11842",NA,"Streicker seq, updated accession",NA,"1101787_peru",NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","Positive","NA","Positive","Other",NA
