city;type;lat;long;y_proj;x_proj
arequipa;national;-16.41511;-71.45683;-1943980.013;2847124.848
arequipa;national;-16.41521;-71.45671;-1943993.284;2847137.147
arequipa;national;-16.4153;-71.45659;-1944005.38;2847149.577
arequipa;national;-16.41538;-71.45646;-1944016.428;2847163.272
arequipa;national;-16.41546;-71.45634;-1944027.349;2847175.833
arequipa;national;-16.41556;-71.45623;-1944040.493;2847186.997
arequipa;national;-16.41566;-71.45614;-1944053.385;2847195.893
arequipa;national;-16.41578;-71.45607;-1944068.373;2847202.258
arequipa;national;-16.4159;-71.45603;-1944082.981;2847205.22
arequipa;national;-16.41602;-71.45603;-1944097.083;2847203.646
arequipa;national;-16.41613;-71.45607;-1944109.503;2847197.665
arequipa;national;-16.41622;-71.45614;-1944119.193;2847188.545
arequipa;national;-16.41631;-71.45622;-1944128.756;2847178.29
arequipa;national;-16.4164;-71.45631;-1944138.192;2847166.901
arequipa;national;-16.4165;-71.45639;-1944148.93;2847156.515
arequipa;national;-16.41661;-71.45647;-1944160.843;2847145.997
arequipa;national;-16.41671;-71.45654;-1944171.708;2847136.746
arequipa;national;-16.41682;-71.45661;-1944183.748;2847127.363
arequipa;national;-16.41694;-71.45667;-1944197.09;2847118.983
arequipa;national;-16.41705;-71.45672;-1944209.383;2847111.868
arequipa;national;-16.41716;-71.45675;-1944221.93;2847107.022
arequipa;national;-16.41727;-71.45676;-1944234.729;2847104.444
arequipa;national;-16.41738;-71.45675;-1944247.783;2847104.135
arequipa;national;-16.41749;-71.45671;-1944261.216;2847107.228
arequipa;national;-16.41757;-71.45665;-1944271.377;2847112.984
arequipa;national;-16.41762;-71.45656;-1944278.392;2847122.535
arequipa;national;-16.41762;-71.45646;-1944279.659;2847133.877
arequipa;national;-16.41759;-71.45637;-1944277.274;2847144.479
arequipa;national;-16.41752;-71.45629;-1944270.061;2847154.471
arequipa;national;-16.41745;-71.45621;-1944262.848;2847164.464
arequipa;national;-16.41737;-71.45612;-1944254.587;2847175.722
arequipa;national;-16.4173;-71.45602;-1944247.628;2847187.982
arequipa;national;-16.41725;-71.4559;-1944243.272;2847202.249
arequipa;national;-16.41722;-71.45577;-1944241.393;2847217.388
arequipa;national;-16.41719;-71.45563;-1944239.641;2847233.661
arequipa;national;-16.41717;-71.45548;-1944239.191;2847250.936
arequipa;national;-16.41712;-71.45534;-1944235.089;2847267.472
arequipa;national;-16.41706;-71.45521;-1944229.684;2847283.004
arequipa;national;-16.417;-71.45508;-1944224.28;2847298.536
arequipa;national;-16.41697;-71.45494;-1944222.528;2847314.809
arequipa;national;-16.41697;-71.45481;-1944224.175;2847329.554
arequipa;national;-16.41699;-71.45467;-1944228.298;2847345.171
arequipa;national;-16.41703;-71.45454;-1944234.646;2847359.391
arequipa;national;-16.41707;-71.45439;-1944241.247;2847375.88
arequipa;national;-16.41711;-71.45425;-1944247.721;2847391.234
arequipa;national;-16.41713;-71.4541;-1944251.971;2847407.985
arequipa;national;-16.41712;-71.45396;-1944252.569;2847423.995
arequipa;national;-16.41709;-71.45381;-1944250.944;2847441.403
arequipa;national;-16.41706;-71.45368;-1944249.065;2847456.541
arequipa;national;-16.41705;-71.45355;-1944249.537;2847471.418
arequipa;national;-16.41708;-71.45342;-1944254.709;2847485.769
arequipa;national;-16.41714;-71.45332;-1944263.027;2847496.324
arequipa;national;-16.41722;-71.45322;-1944273.695;2847506.616
arequipa;national;-16.4173;-71.45312;-1944284.363;2847516.909
arequipa;national;-16.41737;-71.453;-1944294.11;2847529.601
arequipa;national;-16.41742;-71.45287;-1944301.633;2847543.689
arequipa;national;-16.41744;-71.45274;-1944305.63;2847558.172
arequipa;national;-16.41743;-71.4526;-1944306.228;2847574.183
arequipa;national;-16.41738;-71.45247;-1944301.999;2847589.584
arequipa;national;-16.41732;-71.45234;-1944296.595;2847605.117
arequipa;national;-16.41725;-71.45222;-1944289.89;2847619.646
arequipa;national;-16.41719;-71.4521;-1944284.359;2847634.045
arequipa;national;-16.41714;-71.45197;-1944280.13;2847649.446
arequipa;national;-16.41712;-71.45184;-1944279.427;2847664.454
arequipa;national;-16.41709;-71.4517;-1944277.675;2847680.727
arequipa;national;-16.41707;-71.45156;-1944277.098;2847696.87
arequipa;national;-16.41702;-71.45142;-1944272.996;2847713.405
arequipa;national;-16.41696;-71.45129;-1944267.592;2847728.938
arequipa;national;-16.41689;-71.45117;-1944260.886;2847743.468
arequipa;national;-16.41681;-71.45104;-1944253.132;2847759.264
arequipa;national;-16.41672;-71.45092;-1944244.076;2847774.056
arequipa;national;-16.41661;-71.45081;-1944232.542;2847787.977
arequipa;national;-16.4165;-71.45072;-1944220.756;2847799.629
arequipa;national;-16.41638;-71.45066;-1944207.414;2847808.01
arequipa;national;-16.41627;-71.4506;-1944195.247;2847816.259
arequipa;national;-16.41617;-71.45052;-1944184.509;2847826.646
arequipa;national;-16.41608;-71.45043;-1944175.072;2847838.036
arequipa;national;-16.416;-71.45032;-1944167.065;2847851.563
arequipa;national;-16.41594;-71.45022;-1944161.28;2847863.693
arequipa;national;-16.41586;-71.45013;-1944153.019;2847874.952
arequipa;national;-16.41578;-71.45006;-1944144.505;2847883.942
arequipa;national;-16.41569;-71.45002;-1944134.435;2847889.66
arequipa;national;-16.4156;-71.45002;-1944123.858;2847890.842
arequipa;national;-16.41551;-71.45007;-1944112.648;2847886.352
arequipa;national;-16.41544;-71.45014;-1944103.535;2847879.331
arequipa;national;-16.4154;-71.45024;-1944097.567;2847868.513
arequipa;national;-16.4154;-71.45036;-1944096.047;2847854.902
arequipa;national;-16.4154;-71.45048;-1944094.527;2847841.29
arequipa;national;-16.41541;-71.45062;-1944093.928;2847825.279
arequipa;national;-16.41543;-71.45075;-1944094.632;2847810.271
arequipa;national;-16.41544;-71.45088;-1944094.16;2847795.395
arequipa;national;-16.41544;-71.451;-1944092.639;2847781.784
arequipa;national;-16.41541;-71.45111;-1944087.72;2847769.7
arequipa;national;-16.41536;-71.45119;-1944080.831;2847761.283
arequipa;national;-16.41527;-71.45125;-1944069.494;2847755.658
arequipa;national;-16.41517;-71.45127;-1944057.489;2847754.702
arequipa;national;-16.41507;-71.45128;-1944045.611;2847754.881
arequipa;national;-16.41495;-71.45128;-1944031.509;2847756.456
arequipa;national;-16.41484;-71.45127;-1944018.708;2847759.034
arequipa;national;-16.41471;-71.45127;-1944003.431;2847760.74
arequipa;national;-16.41459;-71.45126;-1943989.456;2847763.449
arequipa;national;-16.41446;-71.45126;-1943974.178;2847765.155
arequipa;national;-16.41433;-71.45126;-1943958.901;2847766.862
arequipa;national;-16.41419;-71.45127;-1943942.322;2847767.565
arequipa;national;-16.41407;-71.4513;-1943927.84;2847765.737
arequipa;national;-16.41395;-71.45135;-1943913.104;2847761.641
arequipa;national;-16.41386;-71.45143;-1943901.514;2847753.748
arequipa;national;-16.41376;-71.4515;-1943888.876;2847747.12
arequipa;national;-16.41367;-71.45154;-1943877.792;2847743.764
arequipa;national;-16.41356;-71.45154;-1943864.865;2847745.208
arequipa;national;-16.41347;-71.4515;-1943854.796;2847750.926
arequipa;national;-16.4134;-71.45142;-1943847.583;2847760.919
arequipa;national;-16.41333;-71.45134;-1943840.37;2847770.912
arequipa;national;-16.41325;-71.45126;-1943831.982;2847781.036
arequipa;national;-16.41318;-71.45116;-1943825.022;2847793.297
arequipa;national;-16.41311;-71.45106;-1943818.063;2847805.559
arequipa;national;-16.41305;-71.45093;-1943812.658;2847821.092
arequipa;national;-16.41301;-71.45079;-1943809.731;2847837.497
arequipa;national;-16.41296;-71.45064;-1943805.755;2847855.167
arequipa;national;-16.41291;-71.45048;-1943801.906;2847873.972
arequipa;national;-16.41285;-71.45033;-1943796.755;2847891.774
arequipa;national;-16.41277;-71.45016;-1943789.507;2847912.107
arequipa;national;-16.41269;-71.45;-1943782.132;2847931.305
arequipa;national;-16.41263;-71.44981;-1943777.488;2847953.644
arequipa;national;-16.41257;-71.44962;-1943772.844;2847975.984
arequipa;national;-16.41252;-71.44942;-1943769.501;2847999.326
arequipa;national;-16.41247;-71.44923;-1943766.032;2848021.534
arequipa;national;-16.41241;-71.44903;-1943761.515;2848045.007
arequipa;national;-16.41233;-71.44883;-1943754.647;2848068.743
arequipa;national;-16.41225;-71.44863;-1943747.779;2848092.479
arequipa;national;-16.41217;-71.44842;-1943741.038;2848117.35
arequipa;national;-16.41208;-71.44821;-1943733.121;2848142.351
arequipa;national;-16.412;-71.44801;-1943726.253;2848166.088
arequipa;national;-16.41192;-71.44781;-1943719.386;2848189.824
arequipa;national;-16.41185;-71.44761;-1943713.693;2848213.429
arequipa;national;-16.41178;-71.44743;-1943707.747;2848234.765
arequipa;national;-16.41172;-71.44724;-1943703.103;2848257.105
arequipa;national;-16.41167;-71.44705;-1943699.634;2848279.313
arequipa;national;-16.41162;-71.44685;-1943696.291;2848302.656
arequipa;national;-16.41158;-71.44665;-1943694.124;2848325.867
arequipa;national;-16.41155;-71.44644;-1943693.259;2848350.082
arequipa;national;-16.41152;-71.44624;-1943692.268;2848373.162
arequipa;national;-16.4115;-71.44604;-1943692.451;2848396.111
arequipa;national;-16.41147;-71.44585;-1943691.333;2848418.057
arequipa;national;-16.41145;-71.44565;-1943691.516;2848441.006
arequipa;national;-16.41143;-71.44546;-1943691.573;2848462.821
