null_raster,X19K_20240101.20241231_R
1,18.0648464163823
1,7.82593856655291
1,18.0648464163822
1,11.2389078498293
1,14.6518771331058
1,11.2389078498294
1,21.4778156996587
1,21.4778156996587
1,28.3037542662116
1,14.6518771331058
1,14.6518771331058
1,52.1945392491468
1,18.0648464163823
1,24.8907849829351
1,18.0648464163822
1,14.6986301369863
1,28.3037542662116
1,24.8907849829351
1,28.3037542662116
1,18.0648464163822
1,21.4778156996587
1,11.2389078498293
1,18.0648464163823
1,14.6518771331058
1,18.0648464163822
1,14.6986301369863
1,28.3037542662116
1,24.8907849829351
1,38.542662116041
1,14.6518771331058
1,21.4778156996587
1,21.4778156996587
1,18.0648464163823
1,18.0648464163823
1,14.6518771331058
1,28.3037542662116
1,11.2389078498294
1,14.6518771331058
1,18.0648464163823
1,28.3037542662117
1,14.6518771331058
1,18.1232876712329
1,18.0648464163822
1,21.4778156996587
1,18.1232876712329
1,24.8907849829351
1,18.0648464163822
1,28.4914089347079
1,18.0648464163822
1,24.8907849829351
1,18.0648464163823
1,24.9726027397261
1,24.8907849829351
1,28.3972602739726
1,24.8907849829351
1,28.3037542662117
1,45.5205479452054
1,21.4778156996587
1,28.3037542662116
1,14.6518771331058
1,7.82593856655291
1,18.0648464163823
1,28.3037542662116
1,28.3037542662116
1,14.6518771331058
1,18.0648464163822
1,28.3037542662116
1,18.0648464163822
1,28.3037542662117
1,38.6712328767124
1,14.6518771331058
1,24.8907849829351
1,14.6518771331058
1,14.6518771331058
1,18.1232876712329
1,18.1232876712329
1,11.2389078498293
1,18.0648464163822
1,24.8907849829351
1,28.3037542662116
1,28.4914089347079
1,24.8907849829351
1,18.0648464163823
1,14.6518771331059
1,18.0648464163822
1,18.0648464163822
1,21.4778156996587
1,35.1296928327645
1,18.0648464163822
1,14.6518771331058
1,21.4778156996587
1,18.0648464163822
1,28.3037542662116
1,24.8907849829351
1,11.2389078498294
1,21.4778156996587
1,28.3037542662116
1,24.8907849829351
1,21.4778156996587
1,18.0648464163822
