null_raster,X19K_20240101.20241231_C
1,2.70648464163823
1,1.68259385665529
1,2.70648464163823
1,2.02389078498293
1,2.36518771331058
1,2.02389078498293
1,3.04778156996587
1,3.04778156996587
1,3.73037542662116
1,2.36518771331058
1,2.36518771331058
1,6.11945392491468
1,2.70648464163822
1,3.38907849829352
1,2.70648464163823
1,2.36986301369863
1,3.73037542662116
1,3.38907849829352
1,3.73037542662116
1,2.70648464163823
1,3.04778156996587
1,2.02389078498293
1,2.70648464163822
1,2.36518771331058
1,2.70648464163823
1,2.36986301369863
1,3.73037542662116
1,3.38907849829352
1,4.7542662116041
1,2.36518771331058
1,3.04778156996587
1,3.04778156996587
1,2.70648464163822
1,2.70648464163822
1,2.36518771331058
1,3.73037542662116
1,2.02389078498293
1,2.36518771331058
1,2.70648464163822
1,3.73037542662117
1,2.36518771331058
1,2.71232876712329
1,2.70648464163823
1,3.04778156996587
1,2.71232876712329
1,3.38907849829351
1,2.70648464163823
1,3.7491408934708
1,2.70648464163823
1,3.38907849829352
1,2.70648464163822
1,3.3972602739726
1,3.38907849829352
1,3.73972602739726
1,3.38907849829352
1,3.73037542662117
1,5.45205479452055
1,3.04778156996587
1,3.73037542662116
1,2.36518771331058
1,1.68259385665529
1,2.70648464163822
1,3.73037542662116
1,3.73037542662116
1,2.36518771331058
1,2.70648464163823
1,3.73037542662116
1,2.70648464163823
1,3.73037542662116
1,4.76712328767123
1,2.36518771331058
1,3.38907849829352
1,2.36518771331058
1,2.36518771331058
1,2.71232876712329
1,2.71232876712329
1,2.02389078498293
1,2.70648464163823
1,3.38907849829352
1,3.73037542662116
1,3.74914089347079
1,3.38907849829351
1,2.70648464163822
1,2.36518771331058
1,2.70648464163823
1,2.70648464163823
1,3.04778156996587
1,4.41296928327645
1,2.70648464163823
1,2.36518771331058
1,3.04778156996587
1,2.70648464163823
1,3.73037542662116
1,3.38907849829352
1,2.02389078498293
1,3.04778156996587
1,3.73037542662116
1,3.38907849829352
1,3.04778156996587
1,2.70648464163823
