LR1_coefficients_null_raster	LR1_coefficients_X19K_20240101.20241231_C	LR1_R2_null_raster	LR1_R2_X19K_20240101.20241231_C	LR1_Q_X19K_20240101.20241231_C	LR2_coefficients_null_raster	LR2_coefficients_X19K_20240101.20241231_C	LR2_R2_null_raster	LR2_R2_X19K_20240101.20241231_C	LR2_Q_X19K_20240101.20241231_C
0.00900567904249643	0.0145490710510063	0.0852539411500502	0.0937071292018604	0.00845318805181013	0.000249312213201075	0.000778907603248012	0.0318336213661083	0.0425913907383703	0.0107577693722621
0.00709261107629482	0.0145156445063045	0.0449666710408697	0.0782535512509651	0.0332868802100954	0.000224017770843076	0.00102664423263692	0.0165605544880432	0.0446121069320263	0.0280515524439831
0.00769847013371499	0.0161077153765714	0.0335535666281145	0.0595439811287103	0.0259904145005958	0.000196993991523941	0.00100309388476013	0.00738478822588077	0.0262407104226224	0.0188559221967416
0.0079298758932325	0.0136298452444093	0.055084576564951	0.0710653416584093	0.0159807650934583	0.000188869855617948	0.000701197106717561	0.012215939462694	0.0271912763820028	0.0149753369193089
0.0101198371814072	0.0197800259565633	0.06595186519419	0.108331433546093	0.0423795683519025	0.000253950686140568	0.00106909834586518	0.0153472086003539	0.0426992637940795	0.0273520551937257
0.0103815247285852	0.0153661423348217	0.102746853337434	0.0973650231290815	-0.00538183020835252	0.000359120810372496	0.000887453582232611	0.0473112432349294	0.0449514331043435	-0.00235981013058595
0.00913742416651822	0.0156865232274988	0.0841101821855359	0.108395709994402	0.0242855278088657	0.000246866085276892	0.000859635764604119	0.0239262214007748	0.0467219125554486	0.0227956911546737
0.00542119302342565	0.00885729912210377	0.0269398561823459	0.0301337186507774	0.00319386246843148	0.00017305460116603	0.000422962025954501	0.0112881689540197	0.0091458450645873	-0.00214232388943235
0.01539722801696	0.0234619873872386	0.165467990766538	0.180227963267635	0.0147599725010964	0.000652824867390547	0.00174655173016329	0.0927988747130182	0.121350653974076	0.0285517792610577
0.010737504343198	0.0193790265881939	0.0585023553875123	0.0832437013698524	0.0247413459823401	0.000323571059226193	0.00120134336129148	0.0190144301448975	0.0428829056209964	0.0238684754760988
0.00549878992216957	0.0108020727540338	0.0245849513592039	0.0381335108227704	0.0135485594635665	9.87359729298432e-05	0.000522164347513987	0.00381890307275877	0.0135509128188086	0.00973200974604981
0.0115261337160456	0.0179201268849892	0.122926690580589	0.129566045029925	0.00663935444933547	0.000367525632975245	0.00108114728077406	0.055723259915491	0.0763869417907144	0.0206636818752234
0.0127863386901262	0.0205678383461947	0.0995359562127789	0.116208448046191	0.016672491833412	0.000457433698441386	0.00126003597396729	0.0457991643310933	0.058161828995985	0.0123626646648917
0.0100008336131982	0.0159695191703506	0.0844613490272275	0.089872395518211	0.00541104649098353	0.000288374849994646	0.00082413006949782	0.0317780312418189	0.0406071567090217	0.00882912546720275
0.0111541222942896	0.0200478628182264	0.0743417296413102	0.101530672813071	0.027188943171761	0.000322477723366209	0.00104730102305662	0.0241370622302761	0.0390764787056502	0.0149394164753741
0.000783351558969244	0.000181483620961325	0.00116282351688106	1.8772526172297e-05	-0.00114405099070877	2.18234724131565e-05	-5.88520035417615e-05	0.000695173986111855	0.000600187576819572	-9.4986409292283e-05
0.00877267361114184	0.0157839996264786	0.0556724246546388	0.0761426278088282	0.0204702031541893	0.00025601475533184	0.000927357644276927	0.0159534394381643	0.0303459076137331	0.0143924681755688
