LR1_coefficients_null_raster	LR1_coefficients_X19K_20240101.20241231_R	LR1_R2_null_raster	LR1_R2_X19K_20240101.20241231_R	LR1_Q_X19K_20240101.20241231_R	LR2_coefficients_null_raster	LR2_coefficients_X19K_20240101.20241231_R	LR2_R2_null_raster	LR2_R2_X19K_20240101.20241231_R	LR2_Q_X19K_20240101.20241231_R
0.00900567904249643	0.00729583647424985	0.0852539411500502	0.0816872388795615	-0.00356670227048878	0.000249312213201075	0.000206967638852912	0.0318336213661083	0.0373834916161475	0.00554987025003927
0.00709261107629482	0.00550849749461857	0.0449666710408697	0.0367043068775674	-0.00826236416330233	0.000224017770843076	0.000120924224505476	0.0165605544880432	0.0102861195050576	-0.00627443498298566
0.00769847013371499	0.00207852323632103	0.0335535666281145	0.0131903456106817	-0.0203632210174328	0.000196993991523941	1.22888615708914e-05	0.00738478822588077	0.00177393862868377	-0.00561084959719701
0.0079298758932325	0.00694230833685512	0.055084576564951	0.0600050348534799	0.00492045828852897	0.000188869855617948	0.000174489515912548	0.012215939462694	0.0211895001241923	0.00897356066149838
0.0101198371814072	0.00731703669256104	0.06595186519419	0.0522776637138896	-0.0136742014803004	0.000253950686140568	0.000167775684171859	0.0153472086003539	0.0158137014292334	0.00046649282887953
0.0103815247285852	0.00861250911197291	0.102746853337434	0.104849995129189	0.00210314179175507	0.000359120810372496	0.000235068673361745	0.0473112432349294	0.0481954914445188	0.00088424820958944
0.00913742416651822	0.0053629845904786	0.0841101821855359	0.0629368367750571	-0.0211733454104788	0.000246866085276892	8.82958317777127e-05	0.0239262214007748	0.0193547939818503	-0.00457142741892453
0.00542119302342565	0.00289868399217314	0.0269398561823459	0.0156566727371497	-0.0112831834451963	0.00017305460116603	5.78406662505482e-05	0.0112881689540197	0.00470177402596347	-0.00658639492805619
0.01539722801696	0.00640421204074421	0.165467990766538	0.087462120087743	-0.0780058706787953	0.000652824867390547	0.000126445785719244	0.0927988747130182	0.0345090497665407	-0.0582898249464775
0.010737504343198	0.0051862188580586	0.0585023553875123	0.029888168468049	-0.0286141869194633	0.000323571059226193	9.40964469538747e-05	0.0190144301448975	0.00710899803947191	-0.0119054321054256
0.00549878992216957	0.00372276633015793	0.0245849513592039	0.0166113337653604	-0.00797361759384347	9.87359729298432e-05	6.25269976668217e-05	0.00381890307275877	0.00298486795569233	-0.000834035117066442
0.0115261337160456	0.00295586739665896	0.122926690580589	0.0395427379740527	-0.0833839526065364	0.000367525632975245	1.66765009853581e-05	0.055723259915491	0.00311113667366072	-0.0526121232418303
0.0127863386901262	0.00817048708179105	0.0995359562127789	0.0695987778121058	-0.0299371784006731	0.000457433698441386	0.000177785491485457	0.0457991643310933	0.0245186244620475	-0.0212805398690458
0.0100008336131982	0.00622016661917292	0.0844613490272275	0.0674392901549548	-0.0170220588722726	0.000288374849994646	0.000154695642399999	0.0317780312418189	0.0302058441756355	-0.00157218706618345
0.0111541222942896	0.00588638412090684	0.0743417296413102	0.0405318223620094	-0.0338099072793009	0.000322477723366209	8.74071526339572e-05	0.0241370622302761	0.00866058784313394	-0.0154764743871421
0.000783351558969244	0.000381589907597361	0.00116282351688106	0.000366388409542983	-0.00079643510733808	2.18234724131565e-05	4.9958529144345e-07	0.000695173986111855	8.84622763848175e-07	-0.000694289363348007
0.00877267361114184	0.00297632836992708	0.0556724246546388	0.0211784457224004	-0.0344939789322384	0.00025601475533184	4.0159588298115e-05	0.0159534394381643	0.00403851753442436	-0.01191492190374
0.0115574832127823	0.00533574009181436	0.0953785462426279	0.0404972355994976	-0.0548813106431304	0.00039216720633382	0.00011050222712894	0.0410470455932175	0.0113179172323601	-0.0297291283608574
0.00874457227931466	0.00558375687896516	0.0616370359087082	0.0494721993582108	-0.0121648365504974	0.000220282374965409	0.000131459277293639	0.0155137885765447	0.0165245677340779	0.00101077915753321
0.0138010025868565	0.00760062882761479	0.120164968680673	0.0737309849178721	-0.0464339837628005	0.000457240538488876	0.000170705459505879	0.04707667355608	0.0257513106503504	-0.0213253629057296
0.00732603451696526	0.0024527590527494	0.0340578194716023	0.0148063917879427	-0.0192514276836596	0.000175454073976617	3.26305410147279e-05	0.00651692443953273	0.00415412654388525	-0.00236279789564748
0.00923983757470773	0.00718480177409817	0.0731552822760087	0.0617750689051473	-0.0113802133708614	0.000233236234231444	0.000168033778991714	0.019593422121112	0.0186609014853192	-0.000932520635792862
0.0115298829587093	0.00523277727423485	0.0967952936282223	0.0438079087598073	-0.0529873848684151	0.000384205908874961	9.31052821901402e-05	0.0463471263200099	0.0121460118166172	-0.0342011145033927
0.00950378985738997	0.00698175661802241	0.0647233213387936	0.0537046751839001	-0.0110186461548935	0.000274852080694606	0.00016346227166465	0.0200303267275124	0.017119646521715	-0.00291068020579743
0.00808775639550999	0.00431307634131952	0.0471747793510105	0.0280339004176706	-0.0191408789333399	0.000191334587806279	5.1304318052272e-05	0.0106573660685388	0.00292659551636338	-0.00773077055217546
0.000172055566317573	7.33035639010379e-07	6.44512320803755e-05	1.49497808610768e-09	-6.44497371022894e-05	1.4544014468291e-05	9.36642513955484e-06	0.000322030739924693	0.000256099657238457	-6.59310826862357e-05
0.0122532806180355	0.00452064099387528	0.0869044944489116	0.0360098187717025	-0.050894675677209	0.000435726434191198	6.967856549477e-05	0.0347461497206748	0.00936469825284354	-0.0253814514678313
0.00781442047339453	0.00373162764898491	0.053647509824598	0.0228179038725766	-0.0308296059520214	0.00025341847669129	6.35952325304965e-05	0.0177349223897723	0.00380048838829099	-0.0139344340014813
0.0111382179985864	0.00781987667925758	0.0855927492099293	0.102907687197954	0.0173149379880245	0.000398066197785136	0.000233094931956544	0.0389847628601244	0.0698004292063388	0.0308156663462144
0.0096871422586595	0.00396522425974054	0.0769642420850322	0.0314179516597351	-0.0455462904252971	0.000292557275413538	1.93214385400961e-05	0.0298198109218206	0.00107373688439016	-0.0287460740374304
0.00967355187011707	0.00519106795249903	0.0628763232484028	0.0426077737736956	-0.0202685494747073	0.000310857428258632	0.000103766671756133	0.0232677252495418	0.0189049228753131	-0.00436280237422872
0.00907980251524384	0.0040067794347621	0.0517536296777454	0.0280436795185965	-0.0237099501591489	0.000214756229448185	5.7387687864073e-05	0.0113994995185511	0.00748989560124296	-0.0039096039173081
0.0113843060549225	0.00678203769953565	0.0933118304352608	0.060989988997869	-0.0323218414373919	0.000424943661941255	0.000155482826452447	0.0477283033619184	0.022949287792388	-0.0247790155695304
0.00978050094496967	0.00535203949603039	0.0695302223449934	0.0358927148431684	-0.033637507501825	0.000239373227480533	7.43151803662817e-05	0.017515453111449	0.00500423561340227	-0.0125112174980467
0.00678519885948498	0.00507101592580294	0.0372620822555771	0.0423573640531885	0.00509528179761141	0.000152564892776077	0.000104598351890958	0.00795040119972657	0.0150982627355913	0.00714786153586476
0.0127286359851017	0.00707349919197304	0.133783123697302	0.089487386547297	-0.044295737150005	0.000502926505743407	0.00016664659455477	0.0697977744779401	0.0382698658515666	-0.0315279086263735
0.0112602270594974	0.00882830924669944	0.086547636544227	0.0783375892820371	-0.00821004726218988	0.00037216666430003	0.000224335237660325	0.0333561130844231	0.0293200540118678	-0.00403605907255525
0.00856683643327433	0.00766489727000877	0.0538787002476506	0.0600584755922579	0.00617977534460726	0.000245326010949206	0.00023960012537312	0.0189437792232228	0.0298888701655681	0.0109450909423453
0.0136006381239392	0.00876593636637137	0.10018124424252	0.076350128838423	-0.0238311154040965	0.00042308037735539	0.000214576314562268	0.0369190169278085	0.0277183819950312	-0.00920063493277728
0.0122864417672659	0.00105145839629575	0.094712685802353	0.00617662475466152	-0.0885360610476914	0.000500757267812108	-2.57309382191409e-06	0.0506886843828041	0.000287676860227353	-0.0504010075225768
0.010898687134436	0.00473551652452878	0.0995825312907245	0.045660098694246	-0.0539224325964785	0.000348666586329737	4.66553858174868e-05	0.0463574759402492	0.00757044209127235	-0.0387870338489768
-0.000533065071626186	-0.000969303240667917	0.000477026870193344	0.00262953628812106	0.00215250941792772	-3.15358285608135e-05	-2.91604542307445e-05	0.00119088848766585	0.00417966264213784	0.00298877415447198
0.00946293148923709	0.00113814800917402	0.0633454303610236	0.00481948049587708	-0.0585259498651465	0.000340765876440199	-8.28839314903781e-06	0.0295064694750335	0.000897866770965577	-0.0286086027040679
0.0100492005824731	0.00358016765492981	0.0681280239122392	0.0291768647478389	-0.0389511591644003	0.000386023889704748	4.44884153504572e-05	0.0339833893386279	0.00700995895368226	-0.0269734303849456
-0.00197102728477867	-0.00169562531738618	0.00822042065503412	0.01035544911178	0.00213502845674591	-8.51260250892255e-05	-3.18594111391571e-05	0.0112103974736272	0.00772548699491941	-0.00348491047870783
0.0135670651978163	0.00731603186990344	0.117961124199371	0.0746656893190943	-0.043295434880277	0.000486468128671655	0.000156141066509516	0.0491684230916519	0.022668438939583	-0.0264999841520689
0.0112430934604722	0.00820915613409192	0.0872885800098165	0.081135882331329	-0.00615269767848749	0.000302239388248344	0.000180321616927288	0.0270583639543293	0.0292755773717982	0.00221721341746898
-0.00216576252817825	-0.0016618272786833	0.00817952313914375	0.0126585577081782	0.00447903456903444	-8.80239484732593e-05	-1.96424705775086e-05	0.00927595582557812	0.00801998110498081	-0.00125597472059731
0.00775422200172493	0.00572090739057934	0.0543487694729445	0.0482134264625356	-0.0061353430104089	0.000193444000632052	0.000149380203815502	0.0146810390823555	0.0201693485339298	0.0054883094515743
0.0116219757620537	0.00333644231707654	0.0844004294624659	0.0270047126754387	-0.0573957167870272	0.000323274684712628	1.77485215238102e-05	0.0240845405256576	0.00142331908744978	-0.0226612214382078
0.0084593401870678	0.00476702620435046	0.0460409353771091	0.0325059214996779	-0.0135350138774312	0.000208135311045554	9.22177295453868e-05	0.0114565359884936	0.00940213644585296	-0.00205439954264068
-4.35861404800432e-05	0.000664061554023848	4.26166840343076e-06	0.00158280451896658	0.00157854285056315	1.47725903942945e-05	2.56344660176918e-05	0.000336293469163889	0.00376695128754424	0.00343065781838035
0.00982171171265964	0.0054951306614223	0.07880811650395	0.0680141181360926	-0.0107939983678574	0.000261062790642795	0.000106079403474594	0.0241705229799365	0.0311917327831881	0.00702120980325164
-0.00163364391984651	-0.00214457109209061	0.00490303054087387	0.0120889284743778	0.00718589793350395	-4.56264716292817e-05	-6.58327592555067e-05	0.00301483572468682	0.0124994246066889	0.00948458888200204
0.0117048524787198	0.00756773959162756	0.09540810379438	0.0790290794205862	-0.0163790243737939	0.000373174415687887	0.000184021902721791	0.0356751825341114	0.0306559756949484	-0.00501920683916303
0.00689569550109653	0.0022491209338666	0.0488588018341763	0.0151939711330353	-0.033664830701141	0.000191880076784807	1.5222783463051e-05	0.0165584357286513	0.00118865012941181	-0.0153697855992395
-0.000673382319759763	-0.000432146350356194	0.000944978741994723	0.00154833526249388	0.000603356520499157	-2.91315011061923e-05	-3.53276525379644e-06	0.0013804974413025	0.000552654899365817	-0.000827842541936681
0.00852478298317885	0.00323945318572079	0.0587776932428248	0.0190224398752978	-0.039755253367527	0.000213048441929108	4.67238715001145e-05	0.0168122602124338	0.00369868324190982	-0.013113576970524
0.0102723898713271	0.00531607522377359	0.0867860237934003	0.0506493713546971	-0.0361366524387032	0.000326765645925349	0.000126544370184313	0.034655377016708	0.0211981476899869	-0.0134572293267211
0.0075958867873294	0.00175068879730029	0.0368960110609676	0.0103742577820885	-0.0265217532788791	0.000167150317034703	1.10674157744148e-05	0.00757998803163474	0.00218540611909761	-0.00539458191253713
0.00757641189795046	0.00630273749589077	0.0576792046257643	0.052309655263855	-0.00536954936190931	0.000197152529062449	0.000135340647708916	0.0169444898447681	0.0152834707139047	-0.00166101913086347
0.0120022102160223	0.00687439168029521	0.13647168159863	0.0770167174260188	-0.0594549641726107	0.000431928691262112	0.000168241829163054	0.068651891756655	0.0310682731922255	-0.0375836185644296
0.00860093165090527	0.003371542763171	0.0550784429202031	0.0257765676880003	-0.0293018752322028	0.000227958815712676	3.76109599739422e-05	0.0139319492248791	0.00590697163864493	-0.00802497758623415
0.0107931362920628	0.00122367737062379	0.0775319511985372	0.00534253453312621	-0.072189416665411	0.000402435646075989	-6.72002430749855e-06	0.0386282855468616	0.000786581674923005	-0.0378417038719386
0.00866971465400798	0.00547008579273454	0.0654148682882418	0.0486094635101383	-0.0168054047781034	0.000247706955476418	0.000103847427832614	0.0222113172713078	0.0134475579538885	-0.00876375931741924
