null_raster,X19K_20240101.20241231_R
1,1.17064846416382
1,1.06825938566553
1,1.17064846416382
1,1.10238907849829
1,1.13651877133106
1,1.10238907849829
1,1.20477815699659
1,1.20477815699659
1,1.27303754266212
1,1.13651877133106
1,1.13651877133106
1,1.51194539249147
1,1.17064846416382
1,1.23890784982935
1,1.17064846416382
1,1.13698630136986
1,1.27303754266212
1,1.23890784982935
1,1.27303754266212
1,1.17064846416382
1,1.20477815699659
1,1.10238907849829
1,1.17064846416382
1,1.13651877133106
1,1.17064846416382
1,1.13698630136986
1,1.27303754266212
1,1.23890784982935
1,1.37542662116041
1,1.13651877133106
1,1.20477815699659
1,1.20477815699659
1,1.17064846416382
1,1.17064846416382
1,1.13651877133106
1,1.27303754266212
1,1.10238907849829
1,1.13651877133106
1,1.17064846416382
1,1.27303754266212
1,1.13651877133106
1,1.17123287671233
1,1.17064846416382
1,1.20477815699659
1,1.17123287671233
1,1.23890784982935
1,1.17064846416382
1,1.27491408934708
1,1.17064846416382
1,1.23890784982935
1,1.17064846416382
1,1.23972602739726
1,1.23890784982935
1,1.27397260273973
1,1.23890784982935
1,1.27303754266212
1,1.44520547945205
1,1.20477815699659
1,1.27303754266212
1,1.13651877133106
1,1.06825938566553
1,1.17064846416382
1,1.27303754266212
1,1.27303754266212
1,1.13651877133106
1,1.17064846416382
1,1.27303754266212
1,1.17064846416382
1,1.27303754266212
1,1.37671232876712
1,1.13651877133106
1,1.23890784982935
1,1.13651877133106
1,1.13651877133106
1,1.17123287671233
1,1.17123287671233
1,1.10238907849829
1,1.17064846416382
1,1.23890784982935
1,1.27303754266212
1,1.27491408934708
1,1.23890784982935
1,1.17064846416382
1,1.13651877133106
1,1.17064846416382
1,1.17064846416382
1,1.20477815699659
1,1.34129692832765
1,1.17064846416382
1,1.13651877133106
1,1.20477815699659
1,1.17064846416382
1,1.27303754266212
1,1.23890784982935
1,1.10238907849829
1,1.20477815699659
1,1.27303754266212
1,1.23890784982935
1,1.20477815699659
1,1.17064846416382
