null_raster,SES_affluence_C
1,69.4056559650564
1,69.1131157012523
1,70.0394930855813
1,66.2364701345919
1,68.5280352322315
1,68.9668456263103
1,68.4305219129491
1,67.2603609456137
1,70.7708436816219
1,68.7230620498136
1,68.7718187957087
1,69.4056559552918
1,72.3310581962403
1,72.4285715773651
1,70.7708436490733
1,67.2426615839135
1,69.2593858380366
1,69.6006827761289
1,69.2106291051611
1,71.7459776979258
1,68.3817651410152
1,68.1867383104136
1,68.0404682550007
1,69.7957095611624
1,69.3568991963774
1,67.7808221072367
1,70.9658704471263
1,68.333008469982
1,71.3559241115844
1,71.0146271800018
1,69.3568991996322
1,69.7957095969659
1,70.7708436588378
1,69.0156023136178
1,69.5031693103777
1,70.0394930823264
1,69.0643590041802
1,71.5997075871803
1,67.7966846785041
1,72.1847880659657
1,69.6494395024947
1,71.6457927912882
1,68.7230620791074
1,66.382740277886
1,66.7534247914406
1,71.7947344405659
1,67.5041444863069
1,71.6921945585008
1,69.405655903214
1,69.9419796751628
1,69.2106290953965
1,69.0528377474171
1,71.8434911246186
1,69.9334639163866
1,68.4305218315776
1,67.6991712876147
1,70.618395446098
1,68.4305218543616
1,69.600682795658
1,70.0882497826534
1,69.6494394634364
1,69.405655929253
1,68.2842517664001
1,69.3081424993053
1,69.3081425383636
1,68.0404682452361
1,70.2345199096732
1,69.6494394308878
1,70.1857631963268
1,69.3463798353117
1,70.4783034406018
1,68.38176514427
1,70.0882497989277
1,71.7947344600951
1,68.7592956595225
1,70.3737770759896
1,71.0146271572178
1,70.5270601148898
1,70.3320333428757
1,69.6494394862204
1,69.8757978649074
1,69.1618724243633
1,69.0643590464934
1,68.5280352615252
1,68.9668456165457
1,68.7718187664149
1,71.3071673526699
1,70.0882497761437
1,69.9419796588885
1,69.9907364178029
1,69.9419796979468
1,69.8444663298415
1,67.5529011540852
1,70.8683570692563
1,69.6006827924032
1,70.7708436458184
1,70.3807900529673
1,69.649439473201
1,70.3807900073992
1,68.186738346217
