LR1_coefficients_null_raster	LR1_coefficients_SES_affluence_C	LR1_R2_null_raster	LR1_R2_SES_affluence_C	LR1_Q_SES_affluence_C	LR2_coefficients_null_raster	LR2_coefficients_SES_affluence_C	LR2_R2_null_raster	LR2_R2_SES_affluence_C	LR2_Q_SES_affluence_C
0.00900567904249643	0.0935247356923554	0.0852539411500502	0.0884949466143158	0.00324100546426553	0.000249312213201075	0.0258210124928137	0.0318336213661083	0.0331238084778819	0.00129018711177358
0.00709261107629482	0.0738613008776455	0.0449666710408697	0.0479085761972175	0.0029419051563478	0.000224017770843076	0.0234498909696094	0.0165605544880432	0.0182380386326961	0.00167748414465286
0.00769847013371499	0.0810142772183922	0.0335535666281145	0.0356571323206212	0.00210356569250663	0.000196993991523941	0.0217291535849227	0.00738478822588077	0.00863188876860659	0.00124710054272581
0.0079298758932325	0.0824582272019162	0.055084576564951	0.0579715176283256	0.00288694106337462	0.000188869855617948	0.0199716500049725	0.012215939462694	0.0132500577873906	0.00103411832469667
0.0101198371814072	0.110481853791351	0.06595186519419	0.0754937299024891	0.00954186470829904	0.000253950686140568	0.0300630561963917	0.0153472086003539	0.0203457592108256	0.00499855061047171
0.0103815247285852	0.110458985971884	0.102746853337434	0.111222830287994	0.0084759769505599	0.000359120810372496	0.0395772884497813	0.0473112432349294	0.0529931048148095	0.00568186157988009
0.00913742416651822	0.0947727161542402	0.0841101821855359	0.0884794433963857	0.00436926121084986	0.000246866085276892	0.0255388951331648	0.0239262214007748	0.0253949899863083	0.00146876858553342
0.00542119302342565	0.0558304242607736	0.0269398561823459	0.0279445853915467	0.00100472920920079	0.00017305460116603	0.0182244515308439	0.0112881689540197	0.0122193671198989	0.000931198165879263
0.01539722801696	0.160714947965944	0.165467990766538	0.171779047499951	0.00631105673341287	0.000652824867390547	0.0723700348853798	0.0927988747130182	0.102538115680637	0.00973924096761852
0.010737504343198	0.114085742474188	0.0585023553875123	0.063661602198604	0.00515924681109168	0.000323571059226193	0.0363112176537902	0.0190144301448975	0.0222824642443838	0.00326803409948632
0.00549878992216957	0.060268860908455	0.0245849513592039	0.0284634430010282	0.0038784916418243	9.87359729298432e-05	0.0117871594469099	0.00381890307275877	0.00512090082580281	0.00130199775304404
0.0115261337160456	0.119736473145901	0.122926690580589	0.124954109819418	0.00202741923882885	0.000367525632975245	0.0402518972447696	0.055723259915491	0.0604112378953542	0.00468797797986322
0.0127863386901262	0.132574325215097	0.0995359562127789	0.105056907079244	0.00552095086646544	0.000457433698441386	0.0472503577500074	0.0457991643310933	0.0481999464882566	0.00240078215716331
0.0100008336131982	0.103182194506859	0.0844613490272275	0.0867095174055869	0.00224816837835941	0.000288374849994646	0.0296256249038908	0.0317780312418189	0.0323966464262531	0.000618615184434117
0.0111541222942896	0.117241529856649	0.0743417296413102	0.0797193659191015	0.00537763627779127	0.000322477723366209	0.0342281407851313	0.0241370622302761	0.0266656993660247	0.00252863713574866
0.000783351558969244	0.00831741275197337	0.00116282351688106	0.00122611289509979	6.32893782187302e-05	2.18234724131565e-05	0.00200971535601156	0.000695173986111855	0.000545746626491284	-0.000149427359620571
0.00877267361114184	0.0928604509657616	0.0556724246546388	0.0607359397042479	0.00506351504960901	0.00025601475533184	0.0271209664647927	0.0159534394381643	0.017305721007532	0.00135228156936763
0.0115574832127823	0.118622780622068	0.0953785462426279	0.0975315051039802	0.00215295886135225	0.00039216720633382	0.0408672478844189	0.0410470455932175	0.0427203593120128	0.00167331371879528
0.00874457227931466	0.0919230275022016	0.0616370359087082	0.0660913801101678	0.00445434420145963	0.000220282374965409	0.0237911918448092	0.0155137885765447	0.0176666825061414	0.00215289392959671
0.0138010025868565	0.142315723290176	0.120164968680673	0.123537324267118	0.00337235558644537	0.000457240538488876	0.0493003458089205	0.04707667355608	0.051200385161996	0.00412371160591598
0.00732603451696526	0.0805487336026835	0.0340578194716023	0.039468612725918	0.00541079325431572	0.000175454073976617	0.0209214653388156	0.00651692443953273	0.00872018150435796	0.00220325706482523
0.00923983757470773	0.0978095744811996	0.0731552822760087	0.0806973805942661	0.00754209831825736	0.000233236234231444	0.0266907658776747	0.019593422121112	0.0247502514794729	0.00515682935836094
0.0115298829587093	0.120561277061725	0.0967952936282223	0.101420658948966	0.00462536532074363	0.000384205908874961	0.041215026545936	0.0463471263200099	0.049824880000682	0.00347775368067212
0.00950378985738997	0.0998986507391505	0.0647233213387936	0.0687182185726141	0.00399489723382053	0.000274852080694606	0.028899965330217	0.0200303267275124	0.0213332814157904	0.00130295468827799
0.00808775639550999	0.0849604909438328	0.0471747793510105	0.0505835741351381	0.00340879478412762	0.000191334587806279	0.0203355616486812	0.0106573660685388	0.0118072433214657	0.00114987725292682
0.000172055566317573	0.00210665556693134	6.44512320803755e-05	8.8191346300552e-05	2.37401142201765e-05	1.4544014468291e-05	0.0015211320884294	0.000322030739924693	0.000310435172969514	-1.15955669551785e-05
0.0122532806180355	0.129357135696501	0.0869044944489116	0.0929514889166594	0.00604699446774783	0.000435726434191198	0.0478996354059609	0.0347461497206748	0.0395829813165114	0.00483683159583653
0.00781442047339453	0.0808253169074897	0.053647509824598	0.0560180846720637	0.00237057484746564	0.00025341847669129	0.0271200234305049	0.0177349223897723	0.0198362678817423	0.00210134549197004
0.0111382179985864	0.112264156040328	0.0855927492099293	0.084663483091199	-0.000929266118730232	0.000398066197785136	0.0416766321577836	0.0389847628601244	0.0404998246244688	0.00151506176434441
0.0096871422586595	0.0987543037894809	0.0769642420850322	0.0789090457021019	0.00194480361706974	0.000292557275413538	0.0310035908596595	0.0298198109218206	0.0333512536467251	0.00353144272490453
0.00967355187011707	0.0964588393864563	0.0628763232484028	0.0599344280722524	-0.00294189517615048	0.000310857428258632	0.0309768057173355	0.0232677252495418	0.0223109237154152	-0.000956801534126632
0.00907980251524384	0.0946152269710736	0.0517536296777454	0.0554725180418372	0.00371888836409175	0.000214756229448185	0.0228712339103541	0.0113994995185511	0.0128754725871719	0.00147597306862087
0.0113843060549225	0.118599138581848	0.0933118304352608	0.0985944775077846	0.00528264707252377	0.000424943661941255	0.0444450552082889	0.0477283033619184	0.0504529190117635	0.00272461564984516
0.00978050094496967	0.104523333180024	0.0695302223449934	0.0766956292351965	0.00716540689020309	0.000239373227480533	0.0273625036151228	0.017515453111449	0.0211364028225358	0.00362094971108684
0.00678519885948498	0.0741380534843264	0.0372620822555771	0.0429128388310872	0.00565075657551009	0.000152564892776077	0.016402093224571	0.00795040119972657	0.00884610302274498	0.000895701823018404
0.0127286359851017	0.133449683546691	0.133783123697302	0.142781347065922	0.00899822336862008	0.000502926505743407	0.0537317448851006	0.0697977744779401	0.0770752998083148	0.00727752533037462
0.0112602270594974	0.11454812463527	0.086547636544227	0.0879077637394725	0.0013601271952455	0.00037216666430003	0.0387727414307266	0.0333561130844231	0.035538900175445	0.00218278709102188
0.00856683643327433	0.0913412194697306	0.0538787002476506	0.0591936679739128	0.00531496772626221	0.000245326010949206	0.0277606875156028	0.0189437792232228	0.0224575963601305	0.00351381713690773
0.0136006381239392	0.138208267800135	0.10018124424252	0.100698123689137	0.000516879446617352	0.00042308037735539	0.0424136042517182	0.0369190169278085	0.0372243033071414	0.000305286379332928
0.0122864417672659	0.122708954261558	0.094712685802353	0.0925680766634862	-0.0021446091388668	0.000500757267812108	0.0501597731487904	0.0506886843828041	0.0508978179910502	0.000209133608246065
0.010898687134436	0.114896631072198	0.0995825312907245	0.107115778742334	0.00753324745160923	0.000348666586329737	0.0386146548818976	0.0463574759402492	0.0528718260515673	0.00651435011131817
-0.000533065071626186	-0.0058167004602632	0.000477026870193344	0.000527266156961749	5.0239286768405e-05	-3.15358285608135e-05	-0.00325610696056951	0.00119088848766585	0.00114114694440623	-4.97415432596194e-05
0.00946293148923709	0.100113718828932	0.0633454303610236	0.0691497922950411	0.0058043619340175	0.000340765876440199	0.0356537563295926	0.0295064694750335	0.0322421227196641	0.00273565324463064
0.0100492005824731	0.104796047899164	0.0681280239122392	0.0706439750099806	0.00251595109774141	0.000386023889704748	0.0397784962555812	0.0339833893386279	0.0340404858015409	5.70964629129991e-05
-0.00197102728477867	-0.0204261264319915	0.00822042065503412	0.00828634465397684	6.59239989427209e-05	-8.51260250892255e-05	-0.00892037138239425	0.0112103974736272	0.0115389340831291	0.000328536609501901
0.0135670651978163	0.139699522348991	0.117961124199371	0.122557518354267	0.00459639415489531	0.000486468128671655	0.0527858407333071	0.0491684230916519	0.0554585131400207	0.00629009004836876
0.0112430934604722	0.115994763197587	0.0872885800098165	0.0893002374302131	0.00201165742039662	0.000302239388248344	0.0319285393088021	0.0270583639543293	0.0281451403311898	0.00108677637686056
-0.00216576252817825	-0.0219454729233431	0.00817952313914375	0.00793395917191375	-0.00024556396723	-8.80239484732593e-05	-0.00917321680576197	0.00927595582557812	0.00941024990439883	0.000134294078820712
0.00775422200172493	0.0799467516864951	0.0543487694729445	0.0552738437676655	0.000925074294720996	0.000193444000632052	0.0210612484914786	0.0146810390823555	0.0160436445763832	0.00136260549402774
0.0116219757620537	0.122287130464865	0.0844004294624659	0.0888597323422314	0.00445930287976554	0.000323274684712628	0.0357252658426413	0.0240845405256576	0.0269940364970392	0.00290949597138157
0.0084593401870678	0.0880262050970555	0.0460409353771091	0.048537044073593	0.00249610869648388	0.000208135311045554	0.0228195296809347	0.0114565359884936	0.0131729438739993	0.00171640788550563
-4.35861404800432e-05	-0.00091332615124491	4.26166840343076e-06	1.74376895742585e-05	1.31760211708278e-05	1.47725903942945e-05	0.00145289814963029	0.000336293469163889	0.000299581319395854	-3.67121497680349e-05
0.00982171171265964	0.103646599726622	0.07880811650395	0.084266856435191	0.00545873993124106	0.000261062790642795	0.0285326488930514	0.0241705229799365	0.027294351413466	0.00312382843352948
-0.00163364391984651	-0.0167064646913303	0.00490303054087387	0.0047714154723372	-0.000131615068536669	-4.56264716292817e-05	-0.00461172502130271	0.00301483572468682	0.00285429302342522	-0.000160542701261604
0.0117048524787198	0.121612310619355	0.09540810379438	0.097664908187223	0.00225680439284302	0.000373174415687887	0.0410119807771819	0.0356751825341114	0.0392628553224138	0.00358767278830235
0.00689569550109653	0.0730745571098569	0.0488588018341763	0.0529969576200741	0.00413815578589783	0.000191880076784807	0.021091239398788	0.0165584357286513	0.0190415303670352	0.00248309463838396
-0.000673382319759763	-0.00727109836192052	0.000944978741994723	0.00101077326942875	6.57945274340313e-05	-2.91315011061923e-05	-0.00323431712051685	0.0013804974413025	0.00154611885454525	0.000165621413242754
0.00852478298317885	0.0899415299729378	0.0587776932428248	0.0633651032627404	0.00458741001991561	0.000213048441929108	0.0235589948850488	0.0168122602124338	0.0194763761483178	0.00266411593588403
0.0102723898713271	0.110855025753358	0.0867860237934003	0.0972621329554062	0.010476109162006	0.000326765645925349	0.0360747787347457	0.034655377016708	0.04028543958243	0.00563006256572205
0.0075958867873294	0.0819877793100621	0.0368960110609676	0.0406825147434684	0.00378650368250075	0.000167150317034703	0.0199883501739555	0.00757998803163474	0.00956152832563948	0.00198154029400474
0.00757641189795046	0.0803307213845808	0.0576792046257643	0.0614208969719788	0.00374169234621459	0.000197152529062449	0.0217771514514085	0.0169444898447681	0.0190094746033358	0.00206498475856768
0.0120022102160223	0.122806627784699	0.13647168159863	0.134571998389075	-0.00189968320955458	0.000431928691262112	0.0450207940955409	0.068651891756655	0.0681904137818927	-0.0004614779747623
0.00860093165090527	0.0921639422274655	0.0550784429202031	0.0604974282325055	0.00541898531230244	0.000227958815712676	0.0251313362376285	0.0139319492248791	0.0160302555421219	0.00209830631724278
