"from","to","n_transitions","mean_time","sd_time","min_time","max_time","bayes_factor","posterior_probability","bf_category","supported","transition","avg_jumps","origin_reward","reward_percent"
"external","north",27,6.97811291677118,3.43912793061506,1.71395133087529,13.0495813731916,0.580092927691489,0.320853238529052,"Negative",FALSE,"external → north",NA,0.343,0.174379884
"external","south",18,6.93954249720851,3.39652731401861,1.0435448749492,13.1195602238804,0.564261832695867,0.314853905121653,"Negative",FALSE,"external → south",NA,0.343,0.174379884
"north","external",56,3.40373942656837,1.90924608141628,2.52802275127221,9.89056857226064,0.169887083522981,0.121542050883235,"Negative",FALSE,"north → external",NA,136.697,69.49623024
"north","south",113123,6.70263959823034,2.45712177641733,0.0273662257289815,15.3912896388368,11050.8907904422,1,"Decisive",TRUE,"north → south",6.28466666666666,136.697,69.49623024
"south","external",8985,2.8648915507515,0.400989204658986,1.64757799462204,11.2576994687328,268.335993177179,0.995444950561049,"Decisive",TRUE,"south → external",0.499222222222222,60.089,30.54901702
"south","north",38274,6.85751530017898,3.03830945002843,0.26753482720585,15.5703768184145,154.435766445486,0.992111987556938,"Decisive",TRUE,"south → north",2.12638888888889,60.089,30.54901702
