null_raster,layer_R
1,79.4982935153583
1,62.4334470989761
1,72.6723549488055
1,65.8464163822525
1,79.4982935153583
1,62.4334470989761
1,72.6723549488056
1,59.0204778156998
1,69.259385665529
1,55.6075085324232
1,62.4334470989761
1,76.085324232082
1,62.4334470989761
1,76.085324232082
1,76.085324232082
1,76.3424657534248
1,59.0204778156997
1,69.259385665529
1,59.0204778156997
1,79.4982935153583
1,82.9112627986349
1,69.259385665529
1,69.259385665529
1,69.259385665529
1,72.6723549488055
1,76.3424657534247
1,55.6075085324233
1,76.085324232082
1,55.6075085324232
1,62.4334470989761
1,69.2593856655291
1,59.0204778156997
1,62.4334470989761
1,65.8464163822525
1,55.6075085324232
1,76.085324232082
1,69.259385665529
1,59.0204778156997
1,82.9112627986348
1,59.0204778156997
1,65.8464163822524
1,66.068493150685
1,69.259385665529
1,62.4334470989761
1,66.068493150685
1,62.4334470989761
1,62.4334470989761
1,73.1649484536082
1,65.8464163822524
1,62.4334470989761
1,59.0204778156997
1,62.6438356164383
1,72.6723549488055
1,69.4931506849315
1,69.259385665529
1,55.6075085324232
1,83.1917808219178
1,59.0204778156997
1,65.8464163822526
1,69.259385665529
1,55.6075085324232
1,72.6723549488054
1,72.6723549488056
1,59.0204778156998
1,79.4982935153583
1,69.2593856655289
1,62.4334470989761
1,69.259385665529
1,62.4334470989761
1,66.068493150685
1,59.0204778156998
1,62.4334470989761
1,59.0204778156997
1,55.6075085324232
1,72.9178082191781
1,79.7671232876712
1,65.8464163822525
1,62.4334470989761
1,72.6723549488056
1,76.085324232082
1,66.2920962199312
1,69.259385665529
1,65.8464163822525
1,65.8464163822525
1,69.259385665529
1,72.6723549488054
1,69.2593856655289
1,79.4982935153583
1,65.8464163822525
1,72.6723549488055
1,52.1945392491468
1,69.2593856655291
1,69.259385665529
1,55.6075085324232
1,79.4982935153583
1,55.6075085324232
1,79.4982935153583
1,59.0204778156997
1,65.8464163822525
1,55.6075085324232
