null_raster,layer_C
1,1.78498293515358
1,1.61433447098976
1,1.71672354948806
1,1.64846416382253
1,1.78498293515358
1,1.61433447098976
1,1.71672354948806
1,1.580204778157
1,1.68259385665529
1,1.54607508532423
1,1.61433447098976
1,1.75085324232082
1,1.61433447098976
1,1.75085324232082
1,1.75085324232082
1,1.75342465753425
1,1.580204778157
1,1.68259385665529
1,1.580204778157
1,1.78498293515358
1,1.81911262798635
1,1.68259385665529
1,1.68259385665529
1,1.68259385665529
1,1.71672354948806
1,1.75342465753425
1,1.54607508532423
1,1.75085324232082
1,1.54607508532423
1,1.61433447098976
1,1.68259385665529
1,1.580204778157
1,1.61433447098976
1,1.64846416382253
1,1.54607508532423
1,1.75085324232082
1,1.68259385665529
1,1.580204778157
1,1.81911262798635
1,1.580204778157
1,1.64846416382253
1,1.65068493150685
1,1.68259385665529
1,1.61433447098976
1,1.65068493150685
1,1.61433447098976
1,1.61433447098976
1,1.72164948453608
1,1.64846416382253
1,1.61433447098976
1,1.580204778157
1,1.61643835616438
1,1.71672354948806
1,1.68493150684931
1,1.68259385665529
1,1.54607508532423
1,1.82191780821918
1,1.580204778157
1,1.64846416382253
1,1.68259385665529
1,1.54607508532423
1,1.71672354948805
1,1.71672354948806
1,1.580204778157
1,1.78498293515358
1,1.68259385665529
1,1.61433447098976
1,1.68259385665529
1,1.61433447098976
1,1.65068493150685
1,1.580204778157
1,1.61433447098976
1,1.580204778157
1,1.54607508532423
1,1.71917808219178
1,1.78767123287671
1,1.64846416382253
1,1.61433447098976
1,1.71672354948806
1,1.75085324232082
1,1.65292096219931
1,1.68259385665529
1,1.64846416382253
1,1.64846416382253
1,1.68259385665529
1,1.71672354948805
1,1.68259385665529
1,1.78498293515358
1,1.64846416382253
1,1.71672354948806
1,1.51194539249147
1,1.68259385665529
1,1.68259385665529
1,1.54607508532423
1,1.78498293515358
1,1.54607508532423
1,1.78498293515358
1,1.580204778157
1,1.64846416382253
1,1.54607508532423
