null_raster,lyr.1_R
1,557.313993174061
1,560.726962457338
1,553.901023890785
1,601.682593856655
1,564.139931740614
1,591.443686006826
1,594.856655290102
1,594.856655290102
1,543.662116040956
1,567.552901023891
1,574.378839590444
1,560.726962457338
1,536.836177474403
1,506.119453924915
1,540.249146757679
1,590.041095890411
1,557.313993174061
1,564.139931740614
1,567.55290102389
1,523.184300341297
1,570.965870307167
1,584.617747440273
1,588.030716723549
1,567.552901023891
1,553.901023890785
1,583.191780821918
1,547.075085324232
1,588.030716723549
1,533.423208191126
1,540.249146757679
1,557.313993174061
1,557.313993174061
1,536.836177474403
1,567.552901023891
1,564.139931740614
1,543.662116040956
1,591.443686006826
1,523.184300341297
1,581.204778156997
1,516.358361774744
1,567.552901023891
1,552.369863013699
1,557.313993174061
1,598.269624573379
1,603.739726027397
1,533.423208191126
1,598.269624573379
1,523.33676975945
1,553.901023890785
1,557.313993174061
1,557.313993174061
1,566.068493150685
1,523.184300341297
1,552.369863013699
1,570.965870307167
1,581.204778156997
1,531.821917808219
1,584.617747440273
1,567.552901023891
1,553.901023890785
1,567.552901023891
1,567.552901023891
1,577.79180887372
1,560.726962457338
1,570.965870307167
1,594.856655290102
1,560.726962457338
1,557.313993174061
1,543.662116040956
1,566.068493150685
1,547.075085324232
1,577.79180887372
1,543.662116040956
1,540.249146757679
1,569.493150684931
1,548.945205479452
1,540.249146757679
1,543.662116040956
1,550.488054607509
1,574.378839590444
1,543.955326460481
1,567.552901023891
1,564.139931740614
1,567.552901023891
1,574.378839590444
1,574.378839590443
1,523.184300341297
1,540.249146757679
1,553.901023890785
1,560.726962457338
1,557.313993174062
1,564.139931740614
1,591.443686006826
1,550.488054607509
1,574.378839590444
1,550.488054607509
1,553.901023890785
1,560.726962457338
1,540.249146757679
1,581.204778156997
