null_raster,lyr.1_R
1,56.6313993174061
1,56.9726962457338
1,56.2901023890785
1,61.0682593856655
1,57.3139931740614
1,60.0443686006826
1,60.3856655290102
1,60.3856655290102
1,55.2662116040956
1,57.6552901023891
1,58.3378839590444
1,56.9726962457338
1,54.5836177474403
1,51.5119453924915
1,54.9249146757679
1,59.9041095890411
1,56.6313993174061
1,57.3139931740614
1,57.6552901023891
1,53.2184300341297
1,57.9965870307167
1,59.3617747440273
1,59.703071672355
1,57.6552901023891
1,56.2901023890785
1,59.2191780821918
1,55.6075085324232
1,59.7030716723549
1,54.2423208191126
1,54.9249146757679
1,56.6313993174061
1,56.6313993174061
1,54.5836177474403
1,57.6552901023891
1,57.3139931740614
1,55.2662116040956
1,60.0443686006826
1,53.2184300341297
1,59.0204778156996
1,52.5358361774744
1,57.6552901023891
1,56.1369863013699
1,56.6313993174061
1,60.7269624573379
1,61.2739726027397
1,54.2423208191126
1,60.7269624573379
1,53.233676975945
1,56.2901023890785
1,56.6313993174061
1,56.6313993174061
1,57.5068493150685
1,53.2184300341297
1,56.1369863013699
1,57.9965870307167
1,59.0204778156996
1,54.0821917808219
1,59.3617747440273
1,57.6552901023891
1,56.2901023890785
1,57.6552901023891
1,57.6552901023891
1,58.679180887372
1,56.9726962457338
1,57.9965870307167
1,60.3856655290102
1,56.9726962457338
1,56.6313993174061
1,55.2662116040956
1,57.5068493150685
1,55.6075085324232
1,58.679180887372
1,55.2662116040956
1,54.9249146757679
1,57.8493150684932
1,55.7945205479452
1,54.9249146757679
1,55.2662116040956
1,55.9488054607509
1,58.3378839590444
1,55.2955326460481
1,57.6552901023891
1,57.3139931740614
1,57.6552901023891
1,58.3378839590444
1,58.3378839590444
1,53.2184300341297
1,54.9249146757679
1,56.2901023890785
1,56.9726962457338
1,56.6313993174061
1,57.3139931740614
1,60.0443686006826
1,55.9488054607509
1,58.3378839590444
1,55.9488054607508
1,56.2901023890785
1,56.9726962457338
1,54.9249146757679
1,59.0204778156996
