LR1_coefficients_null_raster	LR1_coefficients_lyr.1_C	LR1_R2_null_raster	LR1_R2_lyr.1_C	LR1_Q_lyr.1_C	LR2_coefficients_null_raster	LR2_coefficients_lyr.1_C	LR2_R2_null_raster	LR2_R2_lyr.1_C	LR2_Q_lyr.1_C
0.00900567904249643	0.0263828964152258	0.0852539411500502	0.00529987529388753	-0.0799540658561627	0.000249312213201075	0.0010516369741868	0.0318336213661083	0.000171378884457717	-0.0316622424816506
0.00709261107629482	0.0293332749634862	0.0449666710408697	0.00674727722647342	-0.0382193938143963	0.000224017770843076	-0.00130268483976518	0.0165605544880432	0.000178773774328835	-0.0163817807137144
0.00769847013371499	0.0249103796936832	0.0335535666281145	0.00239969499130165	-0.0311538716368129	0.000196993991523941	0.00197614313523415	0.00738478822588077	0.000211117732234104	-0.00717367049364667
0.0079298758932325	0.0332896704784948	0.055084576564951	0.00466942389385451	-0.0504151526710964	0.000188869855617948	0.000977882298417385	0.012215939462694	4.93426792060232e-05	-0.0121665967834879
0.0101198371814072	0.0192433094386465	0.06595186519419	0.00111185367932636	-0.0648400115148637	0.000253950686140568	-0.00325801574579807	0.0153472086003539	0.000422787929908233	-0.0149244206704456
0.0103815247285852	0.0267132441727157	0.102746853337434	0.00542322016723651	-0.0973236331701975	0.000359120810372496	0.00134682365735086	0.0473112432349294	0.00029680460264596	-0.0470144386322834
0.00913742416651822	0.0102301353995544	0.0841101821855359	0.000736215380249998	-0.0833739668052859	0.000246866085276892	0.000412151963423706	0.0239262214007748	1.29535876147167e-05	-0.0239132678131601
0.00542119302342565	0.00158427267597246	0.0269398561823459	1.68388972625105e-05	-0.0269230172850834	0.00017305460116603	-0.00385430379709204	0.0112881689540197	0.00125195248295681	-0.0100362164710628
0.01539722801696	0.0363191838660124	0.165467990766538	0.00907587987503639	-0.156392110891502	0.000652824867390547	0.0043626151207696	0.0927988747130182	0.00172975987884872	-0.0910691148341694
0.010737504343198	0.0346385774270076	0.0585023553875123	0.00342177038268067	-0.0550805850048316	0.000323571059226193	0.00249431081064296	0.0190144301448975	0.000286863799558784	-0.0187275663453387
0.00549878992216957	0.0252669230635713	0.0245849513592039	0.00315629016400286	-0.021428661195201	9.87359729298432e-05	0.00198741775400219	0.00381890307275877	0.000353118939932482	-0.00346578413282629
0.0115261337160456	0.0208252011540659	0.122926690580589	0.00254000030701452	-0.120386690273575	0.000367525632975245	-0.00449377551090784	0.055723259915491	0.000688199478019715	-0.0550350604374713
0.0127863386901262	0.0451675127046203	0.0995359562127789	0.00968524366029458	-0.0898507125524843	0.000457433698441386	0.00711271792271607	0.0457991643310933	0.00323379052049016	-0.0425653738106031
0.0100008336131982	0.0343312553697405	0.0844613490272275	0.00825821022034473	-0.0762031388068828	0.000288374849994646	0.00499380501568862	0.0317780312418189	0.00172779931416398	-0.030050231927655
0.0111541222942896	0.00411159644698624	0.0743417296413102	8.46873254815312e-05	-0.0742570423158287	0.000322477723366209	-0.00263635356214061	0.0241370622302761	0.00045376481887061	-0.0236832974114055
0.000783351558969244	0.00398370773806284	0.00116282351688106	0.000203915682884453	-0.00095890783399661	2.18234724131565e-05	0.00155606343211767	0.000695173986111855	0.000589622621736087	-0.000105551364375768
0.00877267361114184	0.0199148426024819	0.0556724246546388	0.00175597609223967	-0.0539164485623992	0.00025601475533184	0.000666894743105147	0.0159534394381643	3.73682344634136e-05	-0.0159160712037009
0.0115574832127823	0.0468419500478027	0.0953785462426279	0.010531124884078	-0.0848474213585499	0.00039216720633382	0.00261205593338679	0.0410470455932175	0.000578991168254163	-0.0404680544249633
0.00874457227931466	0.00356612329557023	0.0616370359087082	8.47733799503476e-05	-0.0615522625287579	0.000220282374965409	-0.00315755374455491	0.0155137885765447	0.0003978668586823	-0.0151159217178624
0.0138010025868565	0.0412654945206837	0.120164968680673	0.0173496441479281	-0.102815324532745	0.000457240538488876	0.00780862399032252	0.04707667355608	0.0104503555374409	-0.0366263180186391
0.00732603451696526	0.0229305642207615	0.0340578194716023	0.00200313615165886	-0.0320546833199434	0.000175454073976617	-6.82182657228806e-05	0.00651692443953273	3.35340777959979e-07	-0.00651658909875477
0.00923983757470773	0.0373903257886698	0.0731552822760087	0.00639016244702233	-0.0667651198289864	0.000233236234231444	-0.000400430893690202	0.019593422121112	8.34482234775569e-06	-0.0195850772987643
