null_raster,lyr.1_C
1,6.56313993174061
1,6.59726962457338
1,6.52901023890785
1,7.00682593856655
1,6.63139931740614
1,6.90443686006826
1,6.93856655290103
1,6.93856655290103
1,6.42662116040956
1,6.66552901023891
1,6.73378839590444
1,6.59726962457338
1,6.35836177474403
1,6.05119453924915
1,6.39249146757679
1,6.89041095890411
1,6.56313993174061
1,6.63139931740614
1,6.6655290102389
1,6.22184300341297
1,6.69965870307167
1,6.83617747440273
1,6.8703071672355
1,6.66552901023891
1,6.52901023890785
1,6.82191780821918
1,6.46075085324232
1,6.8703071672355
1,6.32423208191126
1,6.39249146757679
1,6.56313993174061
1,6.56313993174061
1,6.35836177474403
1,6.66552901023891
1,6.63139931740614
1,6.42662116040956
1,6.90443686006826
1,6.22184300341297
1,6.80204778156996
1,6.15358361774744
1,6.66552901023891
1,6.51369863013699
1,6.56313993174061
1,6.97269624573379
1,7.02739726027397
1,6.32423208191126
1,6.97269624573379
1,6.2233676975945
1,6.52901023890785
1,6.56313993174061
1,6.56313993174061
1,6.65068493150685
1,6.22184300341297
1,6.51369863013699
1,6.69965870307167
1,6.80204778156996
1,6.30821917808219
1,6.83617747440273
1,6.66552901023891
1,6.52901023890785
1,6.66552901023891
1,6.66552901023891
1,6.7679180887372
1,6.59726962457338
1,6.69965870307167
1,6.93856655290103
1,6.59726962457338
1,6.56313993174061
1,6.42662116040956
1,6.65068493150685
1,6.46075085324232
1,6.7679180887372
1,6.42662116040956
1,6.39249146757679
1,6.68493150684931
1,6.47945205479452
1,6.39249146757679
1,6.42662116040956
1,6.49488054607508
1,6.73378839590444
1,6.42955326460481
1,6.66552901023891
1,6.63139931740614
1,6.66552901023891
1,6.73378839590444
1,6.73378839590444
1,6.22184300341297
1,6.39249146757679
1,6.52901023890785
1,6.59726962457338
1,6.56313993174062
1,6.63139931740614
1,6.90443686006826
1,6.49488054607508
1,6.73378839590444
1,6.49488054607508
1,6.52901023890785
1,6.59726962457338
1,6.39249146757679
1,6.80204778156996
