LR1_coefficients_null_raster	LR1_coefficients_lyr.1_R	LR1_R2_null_raster	LR1_R2_lyr.1_R	LR1_Q_lyr.1_R	LR2_coefficients_null_raster	LR2_coefficients_lyr.1_R	LR2_R2_null_raster	LR2_R2_lyr.1_R	LR2_Q_lyr.1_R
0.00900567904249643	0.006644698884987	0.0852539411500502	0.0854299411044723	0.000175999954422093	0.000249312213201075	0.000166592421707225	0.0318336213661083	0.0481941759132203	0.016360554547112
0.00709261107629482	0.00466096160054273	0.0449666710408697	0.0389842615777341	-0.00598240946313556	0.000224017770843076	0.000112112215758938	0.0165605544880432	0.0183964679167454	0.00183591342870222
0.00769847013371499	0.00464223635350026	0.0335535666281145	0.0263877436102141	-0.00716582301790042	0.000196993991523941	9.61766752197909e-05	0.00738478822588077	0.00851699482538457	0.0011322065995038
0.0079298758932325	0.00559536633402658	0.055084576564951	0.0534567716485762	-0.00162780491637479	0.000188869855617948	0.000114045021406872	0.012215939462694	0.0178721486220288	0.00565620915933489
0.0101198371814072	0.00766735632824801	0.06595186519419	0.0766017500887855	0.0106498848945955	0.000253950686140568	0.00017487594442101	0.0153472086003539	0.0307444182718761	0.0153972096715222
0.0103815247285852	0.00696028260655644	0.102746853337434	0.098348774423703	-0.00439807891373099	0.000359120810372496	0.000191218286778603	0.0473112432349294	0.0597988697242924	0.0124876264893629
0.00913742416651822	0.0051792310920693	0.0841101821855359	0.0595253682306516	-0.0245848139548843	0.000246866085276892	9.89585008843483e-05	0.0239262214007748	0.0185888341565769	-0.00533738724419796
0.00542119302342565	0.00416846225230635	0.0269398561823459	0.0324599744944017	0.00552011831205578	0.00017305460116603	9.57262556285664e-05	0.0112881689540197	0.0156014538161485	0.00431328486212888
0.01539722801696	0.00960695023151774	0.165467990766538	0.134272749166258	-0.0311952416002807	0.000652824867390547	0.000336547097752135	0.0927988747130182	0.106117014560402	0.0133181398473836
0.010737504343198	0.00699118919448901	0.0585023553875123	0.0507591075479935	-0.00774324783951882	0.000323571059226193	0.000195116002179022	0.0190144301448975	0.0293921439809447	0.0103777138360472
0.00549878992216957	0.0041438968867959	0.0245849513592039	0.0264993816220775	0.00191443026287356	9.87359729298432e-05	7.47676820412775e-05	0.00381890307275877	0.00808720027865777	0.004268297205899
0.0115261337160456	0.00789142418440209	0.122926690580589	0.10729120333391	-0.0156354872466794	0.000367525632975245	0.00021905309153711	0.055723259915491	0.0686720610845822	0.0129488011690912
0.0127863386901262	0.00811739457173172	0.0995359562127789	0.0883213104959321	-0.0112146457168469	0.000457433698441386	0.00020657605797171	0.0457991643310933	0.0458151026099867	1.59382788934154e-05
0.0100008336131982	0.0063034041060107	0.0844613490272275	0.0683699549803353	-0.0160913940468922	0.000288374849994646	0.000138691931133221	0.0317780312418189	0.0313471015359443	-0.000430929705874654
0.0111541222942896	0.00847668430359854	0.0743417296413102	0.0869413603159675	0.0125996306746573	0.000322477723366209	0.000197363475390892	0.0241370622302761	0.0382595665333523	0.0141225043030763
