null_raster,per_pop_2025_CN_100m_R2025A_v1_C
1,1.6439332378854
1,1.81507186180375
1,1.44363407221707
1,1.52538498700094
1,1.34429409662327
1,1.53517949410847
1,1.54835015873537
1,1.78846004395418
1,2.13113605175445
1,1.53505403588251
1,1.60604874033859
1,2.49359302691051
1,1.72878595135429
1,2.13926395221993
1,1.69403507254964
1,1.54412485606281
1,1.58507534957017
1,1.8315201862484
1,2.09799431179251
1,2.680008400889
1,1.64407383840144
1,1.41109574813369
1,1.5768305076112
1,1.5238978108326
1,1.57394393483091
1,1.71993190266084
1,1.68871530099349
1,1.69524406628558
1,2.27836686702672
1,1.87453622538
1,2.10662366000089
1,1.52965775282263
1,1.76597732607869
1,1.6228788209813
1,2.02349976684366
1,2.2334494345455
1,1.86458137858998
1,1.99068107431585
1,1.73286889782912
1,1.99588267445128
1,1.97398676872253
1,1.64826540007208
1,2.02371650559085
1,1.84095704766128
1,1.87575273530885
1,1.68307613811905
1,1.87999936028531
1,1.85892308021293
1,1.57137506650695
1,1.71684088760149
1,1.79675445044544
1,1.61957187635497
1,1.87225750612102
1,1.90381411927334
1,1.60213787772439
1,2.12150679188115
1,1.50411677144576
1,1.38240368265501
1,1.94917648925377
1,1.92928700756941
1,1.43170269559867
1,1.75611663808068
1,1.70994424388028
1,1.91990538394495
1,1.39294018369422
1,1.51975896540615
1,1.64379786240065
1,1.61718100027605
1,2.12109597224916
1,1.59350426458217
1,1.9024163475872
1,2.11729979471409
1,1.92013316120662
1,1.65238474282351
1,1.52116616998894
1,1.996737951928
1,2.17551882327467
1,1.87454849023086
1,2.03907877748663
1,1.73069959858153
1,2.05817124333934
1,1.8986111021211
1,1.54612542433398
1,1.72003296519933
1,2.10291540113632
1,1.51816894477332
1,1.75487259518016
1,2.00281633399293
1,1.67254988396124
1,1.84901620183431
1,1.76893696101273
1,1.30361982158252
1,1.937029526327
1,1.4231361659197
1,1.45402658027662
1,1.63821055542339
1,1.68666625719001
1,1.57228758781076
1,1.53931133560439
1,1.67100005811644
