LR1_coefficients_null_raster	LR1_coefficients_per_pop_2025_CN_100m_R2025A_v1_C	LR1_R2_null_raster	LR1_R2_per_pop_2025_CN_100m_R2025A_v1_C	LR1_Q_per_pop_2025_CN_100m_R2025A_v1_C	LR2_coefficients_null_raster	LR2_coefficients_per_pop_2025_CN_100m_R2025A_v1_C	LR2_R2_null_raster	LR2_R2_per_pop_2025_CN_100m_R2025A_v1_C	LR2_Q_per_pop_2025_CN_100m_R2025A_v1_C
0.00808319879766488	0.14513970592024	0.0680460808636331	0.025788240461831	-0.0422578404018022	0.000212659239937081	0.0582450762260996	0.023627947097201	0.00277470397073027	-0.0208532431264707
0.00608534727201069	0.0522772273590999	0.0381397077429607	0.0077340295755198	-0.0304056781674409	0.000192609715445078	-0.00633685093533956	0.0148145802383847	0.000679779228834595	-0.0141348010095501
0.00738076768061965	0.0967825615420242	0.0321266303103642	0.0146321209259293	-0.0174945093844349	0.000189280336941092	0.0146009909510744	0.00750242136300959	0.00151067682001905	-0.00599174454299054
0.00811271045593552	0.160413645561114	0.0578309119084697	0.034615391371518	-0.0232155205369517	0.000205016856727856	0.13603381768934	0.0144653076724984	0.0142468695246724	-0.000218438147825956
0.0104634706960162	0.0917654624885688	0.0711128838404799	0.015267545223824	-0.0558453386166558	0.000268420950403798	0.0022189694746079	0.0160358134840423	3.46978614428235e-05	-0.0160011156225994
0.00907119670998722	0.147445858290803	0.0813669899309473	0.0313698332754264	-0.0499971566555209	0.00029139597136192	0.0800743576040791	0.0311639434100819	0.00705266880370344	-0.0241112746063785
0.0091724832664205	0.22482530292675	0.0855684691929471	0.0556043510194394	-0.0299641181735077	0.000246446098959038	0.174581121524971	0.0247088366031376	0.0126342961607844	-0.0120745404423532
0.00548105516758877	0.029841144395362	0.028289211343838	0.00235160961423128	-0.0259376017296068	0.000183575923260575	-0.000780867138863198	0.0133337110212833	3.39580299853505e-06	-0.0133303152182848
0.0151899597263702	0.229422558582472	0.190302431507655	0.0966525040020324	-0.0936499275056222	0.00064139182321414	0.188498479740232	0.109963256428143	0.0456537751047307	-0.0643094813234121
0.0104909344365721	0.10896551578987	0.0663964975044658	0.0197807409686339	-0.0466157565358319	0.000338134391604518	0.0149497817874942	0.0251356525280022	0.00172088288040303	-0.0234147696475991
0.00674856291572191	0.0771616512467883	0.0294649055518642	0.012031278312047	-0.0174336272398173	0.000163540866379258	0.00961298880329436	0.00721958452587491	0.000966597827950321	-0.00625298669792459
0.0106212300000533	0.0759764886345365	0.10377234325391	0.0188475321962703	-0.0849248110576392	0.000414800959400155	0.040379228677947	0.0578918339026447	0.00782791928776209	-0.0500639146148826
0.0124770287553981	0.118805242725305	0.109291478751312	0.0273305173178226	-0.0819609614334891	0.000447393740039111	0.0300810227338675	0.0529820767374041	0.00724830752920443	-0.0457337692081997
0.00898934727558691	0.24235255207638	0.0864728902716362	0.0803356753620644	-0.00613721490957181	0.000242956554699919	0.181130517534926	0.0308885281883874	0.0334309496409762	0.00254242145258875
0.0120477258849348	0.218577182766347	0.0909727244137373	0.0440561009076361	-0.0469166235061012	0.000372199377137748	0.141007498696837	0.0346029745464403	0.0180673247804886	-0.0165356497659517
0.000849417140460153	0.0219016112516636	0.0012238240092659	0.00286544736338579	0.00164162335411989	2.58298906885388e-05	0.00573367217758594	0.000825886549563927	0.00132995786779013	0.000504071318226198
0.00810870144926852	0.08059356177261	0.051688771346754	0.01645355157006	-0.035235219776694	0.000226607395678859	0.0149902339273746	0.014084661362641	0.00228594890535596	-0.011798712457285
0.0119020108333866	0.150861406913056	0.117666396210233	0.0288102552592704	-0.0888561409509622	0.000410395317127778	0.098140297014344	0.0507852444403236	0.00960165768125035	-0.0411835867590733
0.00922739307723027	0.141000486537627	0.072124097839926	0.0283190045755051	-0.043805093264421	0.000232356403148085	0.0771910888924197	0.0185953226176453	0.00632312748018804	-0.0122721951374573
0.0146048560465441	0.119909296978298	0.12865255829806	0.0284829336124599	-0.1001696246856	0.000534515642754631	0.0205352509724609	0.0587306517637898	0.00250385522135847	-0.0562267965424313
0.00729126988219223	0.106266748929735	0.0355694551422681	0.0125257549350842	-0.0230437002071839	0.000185509457902966	0.0696307789128987	0.00791171498395932	0.0045607208082351	-0.00335099417572422
0.00905536804078099	0.10812244510995	0.0782448878904037	0.0256984932937692	-0.0525463945966346	0.000226084276552859	0.00268673364339759	0.0212363049999869	7.32088003710422e-05	-0.0211630961996159
0.0110824247547033	0.117165942509184	0.0971841583181063	0.0233372983973438	-0.0738468599207625	0.000395179979909362	0.0355328919108782	0.0523728037671781	0.00340018243416752	-0.0489726213330106
0.00911080241145539	0.104686025800923	0.0682823840617667	0.0253629018124505	-0.0429194822493162	0.000274805408521151	0.0208945679277916	0.0232750341106697	0.00437681694157484	-0.0188982171690949
0.00973938085207329	0.240490868929398	0.0560644332921603	0.028332364789045	-0.0277320685031153	0.000303477327100822	0.181826404347724	0.0179924368921741	0.00310217431194707	-0.014890262580227
0.00176763958696843	0.0205256297893312	0.005704352822913	0.00316802780584665	-0.00253632501706635	9.54392757150417e-05	0.00486922854980874	0.0101220623756911	0.00114356064010931	-0.0089785017355818
0.0121148627056104	0.151941247110589	0.118230133156309	0.0493270237360703	-0.0689031094202387	0.000445499125423884	0.0773012173027134	0.053265232982112	0.0174354596535601	-0.0358297733285519
0.00777234978902806	0.0574874382542847	0.0612357521240559	0.012648314607238	-0.0485874375168179	0.000261611805448135	0.00419109977361481	0.0223827167455275	0.00038617123439743	-0.0219965455111301
0.00841906308984085	0.0715105926141558	0.0630533410389613	0.012484590372155	-0.0505687506668062	0.000298396083265777	0.0119788772923104	0.0304623160533562	0.00153578995679554	-0.0289265260965606
0.00891883224183054	0.0827186911579477	0.0740671730939548	0.0165508622592387	-0.0575163108347161	0.000259726803362717	0.00040066285323677	0.0276613928019114	2.12443916085063e-06	-0.0276592683627505
0.0077276673810341	0.204790706948442	0.0578803602025668	0.0593798987026136	0.00149953850004681	0.000280293268582797	0.171232808865927	0.0285787439158372	0.0416098845616738	0.0130311406458366
0.00899310012607233	0.205021340177201	0.0549851393882843	0.0525280368085105	-0.00245710257977374	0.000226022223901048	0.144795880294967	0.0143015393562317	0.0228345428057546	0.00853300344952289
0.00909539549240461	0.0951876957498169	0.0705975913024227	0.0251412060483146	-0.045456385254108	0.000316130809337202	0.00510873340649623	0.032607491870879	0.000321832423986352	-0.0322856594468926
0.0103926239965121	0.26566389289604	0.0739803823607957	0.067120765821594	-0.0068596165392017	0.000273239900601852	0.147653824137181	0.0216476058966981	0.0222809926588001	0.000633386762102003
0.00869585502563007	0.114971748830518	0.0555657695907458	0.0317412740891456	-0.0238244955016002	0.000243887618264107	0.0433040822978622	0.016922394990903	0.0166737847332826	-0.000248610257620411
0.0129771410690972	0.107671848785548	0.156871610882886	0.0398418095791505	-0.117029801303736	0.000532886081715131	0.0251282847405208	0.0896499619477636	0.00881934009486753	-0.0808306218528961
0.0122049906571413	0.244829998757873	0.105783564550157	0.059165933124899	-0.0466176314252575	0.000395891481138955	0.158496646798416	0.0410631480859069	0.0226721597146209	-0.018390988371286
0.00749551602197983	0.191901436118767	0.0422004525325503	0.0382375070768468	-0.00396294545570348	0.00020602373336434	0.200574925139471	0.013069324831657	0.0281868994523893	0.0151175746207323
0.0140470292638846	0.26321229720743	0.119062835036048	0.0614867690242689	-0.0575760660117787	0.000442310857194323	0.202567753541007	0.0462042988864782	0.020147556664053	-0.0260567422224252
0.0122105934804595	0.094708223621352	0.108356470194089	0.0177379914490866	-0.0906184787450029	0.000532555384403222	0.0544514849694197	0.0668076289561346	0.00659296323781028	-0.0602146657183243
0.0113966378091184	0.134378239264946	0.091341336737547	0.0188653356410164	-0.0724760010965306	0.000481270976447416	0.0754992489877874	0.0529844625555628	0.00387182125399912	-0.0491126413015637
-1.83204741307825e-05	-0.00435784347121086	6.80804587233387e-07	0.000170204114368372	0.000169523309781139	-3.30864310616364e-06	-0.00437734588132633	1.5759442808415e-05	0.00181114508866412	0.0017953856458557
