null_raster,per_pop_2025_CN_100m_R2025A_v1_C
1,5.18391279951274
1,5.47404667339872
1,5.35182149887085
1,5.33631815541562
1,5.17029171098362
1,5.60943637362548
1,5.35742821042419
1,5.32621930812446
1,5.14831417487628
1,5.45561978061852
1,5.29158975594286
1,5.22374697327614
1,5.29076373100281
1,5.20261978970634
1,5.38221814092115
1,5.5551458381592
1,5.32875551871982
1,5.33952859403394
1,5.23971744137151
1,5.14906998723745
1,5.24178046308538
1,5.39314241696757
1,5.40374658948226
1,5.50870994296107
1,5.30496593599218
1,5.45883785209794
1,5.23799562410875
1,5.50550716293995
1,5.18624991904325
1,5.36734438833393
1,5.35503016818654
1,5.17774088219773
1,5.32005383398222
1,5.46853162901742
1,5.38916624784469
1,5.2021778327033
1,5.55585276820443
1,5.20902039051056
1,5.46666146654019
1,5.1623613131352
1,5.33014252792705
1,5.26561295116035
1,5.1052649083671
1,5.06284578613174
1,5.47850276406948
1,5.24091177835739
1,5.27442735956426
1,5.25459793034722
1,5.32117411769029
1,5.2840698048971
1,5.18698527359627
1,5.28607869361891
1,4.94154331761022
1,5.30819983283679
1,5.32727354656566
1,5.18570392089231
1,5.20105740600738
1,5.27874137482173
1,5.23544028748893
1,5.20262402790978
1,5.5260668269994
1,5.38935941500629
1,5.5365018321984
1,5.31568842624133
1,5.50967165517978
1,5.43587944946355
1,5.25618071332305
1,5.45526888630607
1,4.95266837629366
1,5.23540367043903
1,5.21578052183137
1,5.38095127837562
1,5.25098608740678
1,5.30274592269551
1,5.43113642887793
1,5.27978551725969
1,5.1569008572378
1,5.24651164056618
1,5.25706478899175
1,5.08314699910659
1,5.14453175491181
1,5.22279383950199
1,5.16434273464339
1,5.23010950320669
1,5.19920297449594
1,5.34425568538504
1,4.91899538213557
1,5.1294911429019
1,5.36432410334493
1,5.23698773536276
1,5.41952095662846
1,5.46441603090082
1,5.23710272872151
1,5.44634477724738
1,5.39194675272619
1,5.4265285617655
1,5.37267477190408
1,5.42460821815532
1,5.13033008490593
1,5.30786165351121
