null_raster,per_pop_2025_CN_100m_R2025A_v1_R
1,18.9216837797233
1,19.5119276444117
1,19.5154735404795
1,19.3357545368963
1,19.0266889437929
1,19.8739356883935
1,19.5124223570452
1,19.0218280205424
1,18.5502147096306
1,19.7006472879457
1,19.6318024681962
1,18.5338436186314
1,19.0394746156172
1,19.0088127206873
1,19.5893679848678
1,19.3949892224995
1,19.4061125521134
1,18.8844934296101
1,18.3552198976278
1,18.3809502378983
1,18.7223041365224
1,19.8130822147883
1,19.2180135250092
1,19.7325800378006
1,19.314180950253
1,19.4768464522085
1,19.1963339138031
1,18.883688892998
1,18.971131398669
1,18.5370825813334
1,18.9818293406747
1,19.621212159987
1,19.2176848097124
1,19.5838449716568
1,18.8561208197049
1,18.5248488906489
1,19.5849440761046
1,18.5225682518699
1,19.627722214023
1,18.6270093647115
1,18.7125304703279
1,19.0315512427448
1,19.0464744784615
1,19.036350807537
1,18.8087690551648
1,18.899574200884
1,19.2155707041423
1,18.7652120717308
1,18.8316320595166
1,18.6575408123683
1,19.2450808937281
1,19.0244553448052
1,19.1109521662463
1,19.1492752907933
1,19.7558102434332
1,18.8876781612635
1,18.5165049450985
1,19.4304482479331
1,19.4619234400166
1,18.9934328618032
1,19.950169132935
1,19.6194400615829
1,19.2458921135336
1,19.5089985704247
1,19.1178108556296
1,20.1679594549868
1,18.8785951197793
1,19.1792374879664
1,18.6670699833114
1,18.4087008271537
1,19.4551275098411
1,18.8623120383029
1,19.3887789376239
1,19.6551910851218
1,19.1265267915484
1,18.3349036882955
1,18.1959574533546
1,18.911482717528
1,18.9921391227029
1,19.1512177572018
1,18.675945950591
1,18.9053009655459
1,18.6915026443345
1,18.6124220081929
1,18.3135484927914
1,19.8510643007898
1,18.5505360256542
1,18.9360406142409
1,19.0257850741292
1,18.594509017383
1,19.184168379973
1,20.1382548928261
1,18.588975258145
1,19.1222577684669
1,19.1417409655913
1,19.1453705237128
1,19.2904394369056
1,18.7237414151645
1,18.6609865516106
1,19.1168964693979
