LR1_coefficients_null_raster	LR1_coefficients_per_pop_2025_CN_100m_R2025A_v1_C	LR1_R2_null_raster	LR1_R2_per_pop_2025_CN_100m_R2025A_v1_C	LR1_Q_per_pop_2025_CN_100m_R2025A_v1_C	LR2_coefficients_null_raster	LR2_coefficients_per_pop_2025_CN_100m_R2025A_v1_C	LR2_R2_null_raster	LR2_R2_per_pop_2025_CN_100m_R2025A_v1_C	LR2_Q_per_pop_2025_CN_100m_R2025A_v1_C
0.00808319879766488	0.0564130332299149	0.0680460808636331	0.0630209523478776	-0.00502512851575551	0.000212659239937081	0.0108463648920372	0.023627947097201	0.0209184474321545	-0.00270949966504646
0.00608534727201069	0.0414155907590863	0.0381397077429607	0.0356861587470754	-0.00245354899588534	0.000192609715445078	0.008298702585933	0.0148145802383847	0.0112722558049676	-0.00354232443341711
0.00738076768061965	0.0530549177631387	0.0321266303103642	0.033525827610208	0.00139919729984381	0.000189280336941092	0.0102018685442528	0.00750242136300959	0.00929017869145132	0.00178775732844173
0.00811271045593552	0.059675645361437	0.0578309119084697	0.0599466748817942	0.00211576297332449	0.000205016856727856	0.0117522377463295	0.0144653076724984	0.0168883371839256	0.00242302951142725
0.0104634706960162	0.0682728543618713	0.0711128838404799	0.0658565556431303	-0.0052563281973496	0.000268420950403798	0.0103466307612932	0.0160358134840423	0.0119520906303789	-0.00408372285366332
0.00907119670998722	0.0678271741467762	0.0813669899309473	0.0879151494797722	0.00654815954882496	0.00029139597136192	0.0173660734121393	0.0311639434100819	0.037385603090422	0.00622165968034008
0.0091724832664205	0.0674097647105125	0.0855684691929471	0.084293939261412	-0.00127452993153512	0.000246446098959038	0.0148526681779495	0.0247088366031376	0.0275477919352467	0.00283895533210907
0.00548105516758877	0.0352607790507151	0.028289211343838	0.0236886440056942	-0.00460056733814382	0.000183575923260575	0.00882278646271599	0.0133337110212833	0.0122649428179164	-0.00106876820336685
0.0151899597263702	0.093160296216654	0.190302431507655	0.159381523133561	-0.0309209083740933	0.00064139182321414	0.02448911495846	0.109963256428143	0.0786120345362362	-0.0313512218919067
0.0104909344365721	0.0734039317213053	0.0663964975044658	0.0659781240097718	-0.000418373494694022	0.000338134391604518	0.0162104590787302	0.0251356525280022	0.0233745400623743	-0.00176111246562783
0.00674856291572191	0.0447172287044731	0.0294649055518642	0.0279182817219797	-0.00154662382988456	0.000163540866379258	0.00713884591525161	0.00721958452587491	0.00684425314086873	-0.000375331385006186
0.0106212300000533	0.0725620672971848	0.10377234325391	0.101505085926161	-0.00226725732774831	0.000414800959400155	0.0218688209508423	0.0578918339026447	0.0617878876826624	0.00389605378001767
0.0124770287553981	0.080353292405229	0.109291478751312	0.094913483395515	-0.0143779953557968	0.000447393740039111	0.0189230766387517	0.0529820767374041	0.0453603836037195	-0.00762169313368458
0.00898934727558691	0.0668747191129789	0.0864728902716362	0.0915828877648276	0.00510999749319138	0.000242956554699919	0.0136721033232828	0.0308885281883874	0.0340688520217229	0.00318032383333544
