null_raster,per_pop_2025_CN_100m_R2025A_v1_C
1,6.93863181587603
1,7.28424228604977
1,6.91384259353984
1,6.9424734707359
1,6.67002255933268
1,7.11134649174554
1,7.01765960919942
1,7.1127636566968
1,7.31604713601853
1,7.05999958600014
1,7.11064668971559
1,7.6736748116357
1,7.0583040415157
1,7.45972992976507
1,7.18609242430694
1,6.97872271563144
1,7.02296221086563
1,7.11523094413974
1,7.22526694876807
1,7.81490225520204
1,6.87983880931759
1,6.96927202424259
1,6.95911789883813
1,7.05828190975256
1,6.98465688372846
1,7.17873028784559
1,7.0645975373008
1,6.97871330517341
1,7.58769855552054
1,7.05555869379078
1,7.41911285660484
1,7.03112332683673
1,7.14817267829093
1,7.113301721641
1,7.29882917063577
1,7.41086551600845
1,7.3553356812217
1,7.16741645466198
1,7.23626421467006
1,7.20348943022144
1,7.20687169855291
1,6.9754392609109
1,7.35531156338178
1,7.16955481738168
1,7.13708167392293
1,6.97124052390778
1,7.26157286710906
1,7.10737679986393
1,6.83945375554105
1,6.93346474028875
1,7.18704850405035
1,6.9446475326374
1,7.22290713556351
1,7.2657923301061
1,7.14339054367759
1,7.40616671357836
1,6.67904682954152
1,6.8274783349373
1,7.40357006143765
1,7.24520121929017
1,7.03040035838255
1,7.25706453374822
1,7.1004756892073
1,7.38821283059243
1,6.74560421854792
1,7.18283456853694
1,6.92576008712342
1,6.98800787275488
1,7.34054742449073
1,6.73657145643403
1,7.35479982360436
1,7.39446173002432
1,7.3529055211561
1,7.16389727679166
1,6.87640998156174
1,7.1180026886311
1,7.25571797248246
1,7.16623801451463
1,7.35461357680234
1,7.0932473110405
1,7.28024459403494
1,7.18847408573678
1,6.77278329346861
1,6.92332047960732
1,7.21787069997753
1,7.08757505568514
1,6.93986848224293
1,7.30176828924473
1,6.99802001535674
1,7.04701238997439
1,7.14122541424106
1,6.95790936180523
1,7.13339238489225
1,6.77711546207414
1,6.81376564166915
1,6.99902742732655
1,7.09036463020492
1,6.80847546565447
1,6.75694890760442
1,7.02340131298079
