null_raster,per_pop_2025_CN_100m_R2025A_v1_C
1,6.98751021074734
1,7.09727271141545
1,7.15672185811129
1,7.27884301393152
1,6.99465900659561
1,7.20108016559056
1,7.20661468751042
1,7.03169521395589
1,6.87949424581741
1,7.23166139015524
1,7.1641978673313
1,6.825177400027
1,6.98321607979861
1,6.998516536642
1,7.08786503917022
1,7.07667950704588
1,7.22582911002678
1,6.94021592030289
1,6.84899545695101
1,6.81577512446572
1,6.9849476075087
1,7.21633755568917
1,7.12822593287598
1,7.28449156442722
1,7.1072883185967
1,7.14654472815818
1,7.02102610588074
1,6.98083841084591
1,7.01467705696711
1,6.88265121958858
1,7.0251152268323
1,7.1628934856799
1,7.07568821440572
1,7.14460068089621
1,6.96909347389426
1,6.95111599941116
1,7.13956352624026
1,6.84641433499076
1,7.13183455201362
1,6.93593894125341
1,6.88040205955505
1,7.0420811942024
1,6.98529291194636
1,7.07265670392202
1,6.98592581330234
1,6.94422951490759
1,7.08922860455095
1,6.9262620219413
1,6.93761081856193
1,6.89728985355689
1,7.01781103140871
1,6.97409237242942
1,6.98425107446623
1,7.05187132004379
1,7.19812441002239
1,6.97104559753622
1,6.91777808381164
1,7.1323038406775
1,7.10361182099939
1,6.97127511742313
1,7.2341798337358
1,7.17321190259439
1,7.0103930744572
1,7.23743654607417
1,7.02714229655522
1,7.42672562681967
1,7.01708560213716
1,7.01743234807795
1,6.93073618027472
1,6.85378981184201
1,7.08479092678014
1,6.97743664993035
1,7.14390353065856
1,7.19475372184407
1,7.04432291008424
1,6.80638801628816
1,6.84242083628972
1,6.93474829153264
1,6.935943088098
1,7.00614613066152
1,6.95502032965854
1,6.95675088412373
1,6.94977730044297
1,6.89610732985793
1,6.81868564997704
1,7.25674810089408
1,6.9042330789566
1,6.9979705229455
1,6.97776644876152
1,7.01063046810475
1,7.095721222022
1,7.25516641693456
1,6.87502441245042
1,7.00067362178611
1,7.01731365499362
1,7.00420449863781
1,7.09852944455878
1,6.97017944888245
1,6.93544206839863
1,7.02752055604263
