null_raster,layer_R
1,167.012358180492
1,156.008776694028
1,159.816848032303
1,162.992007089556
1,167.795428891231
1,157.575427039085
1,160.238644967714
1,155.028292379281
1,162.259142891946
1,150.211778543101
1,158.716220868732
1,176.826920961764
1,157.496231326471
1,167.110912010531
1,173.032603416833
1,171.775756561593
1,153.438495141247
1,157.5591640863
1,152.54362041226
1,167.730364613972
1,177.753766212854
1,163.431749070464
1,157.669155153398
1,162.567636581004
1,161.624727229616
1,165.514335037911
1,152.60622708057
1,167.938196058566
1,149.060349435123
1,163.341703453975
1,153.583534839617
1,148.549209334338
1,152.717439410629
1,154.026476531305
1,141.428718371603
1,169.197981199714
1,163.636919268976
1,157.164041447558
1,177.020218865456
1,150.176829692854
1,153.676848369247
1,158.089985357572
1,157.592913598331
1,151.872166077025
1,157.891233542194
1,152.3134526588
1,153.17024583784
1,169.587040445649
1,157.042140544071
1,162.806707063226
1,154.023434551096
1,156.044954874744
1,157.583062800124
1,160.739452695193
1,167.000611712094
1,149.075677442062
1,175.212306114092
1,156.497017642337
1,160.260695590908
1,159.941051047003
1,145.230968410244
1,161.61788816094
1,155.596838459627
1,148.453206117649
1,171.726411878046
1,160.986290759194
1,152.044477378142
1,166.116919924375
1,155.815536987253
1,159.455021740639
1,152.762039633741
1,153.64617729838
1,147.518129758867
1,144.850013400914
1,165.959430028315
1,168.187060512908
1,154.558257900407
1,153.874617859772
1,164.104566932131
1,170.019518757843
1,159.339630448122
1,161.986632675848
1,156.76590183896
1,155.303448055385
1,160.623587767826
1,162.350577819876
1,153.390752766319
1,170.281033935807
1,150.493531796712
1,161.60912955743
1,148.26970261193
1,167.3837138036
1,163.928026069146
1,149.721401754906
1,171.371813087333
1,155.153377754289
1,169.18195261646
1,153.266472813213
1,161.302831031357
1,151.02982407137
