null_raster,layer_C
1,17.6012357493716
1,16.5008775919371
1,16.8816847345528
1,17.199200652972
1,17.6795428230494
1,16.657542702281
1,16.9238644329761
1,16.4028292003345
1,17.1259142473696
1,15.9211778046735
1,16.7716220100585
1,18.5826920152931
1,16.649623063644
1,17.6110911190306
1,18.2032602736568
1,18.0775756150076
1,16.2438494540725
1,16.655916349066
1,16.1543619982619
1,17.6730364443092
1,18.6753765633489
1,17.2431748222572
1,16.6669154476387
1,17.1567635983737
1,17.0624726445195
1,17.4514334422268
1,16.1606226406813
1,17.6938195643571
1,15.8060348717426
1,17.2341702480772
1,16.2583534318839
1,15.7549208650817
1,16.1717439194181
1,16.3026476117938
1,15.0428717518829
1,17.8197980472252
1,17.2636918671709
1,16.6164040663137
1,18.6020217649766
1,15.9176828788002
1,16.2676847941232
1,16.7089984915028
1,16.6592912934339
1,16.0872165644128
1,16.6891233022899
1,16.1313452118493
1,16.2170245395179
1,17.8587040139228
1,16.6042140002137
1,17.1806706299961
1,16.3023434173532
1,16.5044954337486
1,16.6583062219131
1,16.9739452478004
1,17.6000610903262
1,15.8075676883854
1,18.4212305398836
1,16.5497016768407
1,16.9260695005033
1,16.8941050975396
1,15.4230967495628
1,17.0617887697122
1,16.4596837999064
1,15.745320558548
1,18.0726411391444
1,16.9986289938969
1,16.1044476992441
1,17.5116919030915
1,16.4815536847294
1,16.8455021528349
1,16.1762038904652
1,16.2646176432587
1,15.6518128878427
1,15.3850012720648
1,17.4959429273867
1,17.7187060027906
1,16.3558257293376
1,16.2874617511502
1,17.3104566201415
1,17.9019518484435
1,16.8339630058131
1,17.0986632666083
1,16.5765901214027
1,16.4303447459745
1,16.9623587513947
1,17.1350577137983
1,16.2390752245542
1,17.9281033297854
1,15.9493531277562
1,17.060912881695
1,15.7269701982114
1,17.6383712820632
1,17.2928025559761
1,15.8721400991642
1,18.0371812895296
1,16.4153376536972
1,17.8181951957351
1,16.2266472110162
1,17.0302830409678
1,16.0029823413888
