type;ident;lat;long;y_proj;x_proj;ingreso_economico
TRACK;1.4.27-9;-16.38381057;-71.55936976;-1939009.131;2835905.783;A
TRACK;1.4.27-10; ; ;-1.516416327;20763369.87;A
TRACK;1.4.27-10;-16.38371041;-71.55860591;-1939006.969;2835993.694;A
TRACK;1.4.27-10;-16.38313977;-71.55869952;-1938938.771;2835990.511;A
TRACK;1.4.27-10;-16.38320189;-71.55903921;-1938941.796;2835951.187;A
TRACK;1.4.27-10;-16.38375896;-71.55896024;-1939008.218;2835952.888;A
TRACK;1.4.27-11; ; ;-1.516416327;20763369.87;A
TRACK;1.4.27-11;-16.38252156;-71.55914595;-1938860.549;2835947.944;A
TRACK;1.4.27-11;-16.38313916;-71.5590469;-1938934.332;2835951.132;A
TRACK;1.4.27-11;-16.3830876;-71.55870108;-1938932.624;2835991.013;A
TRACK;1.4.27-11;-16.38228324;-71.55884398;-1938836.353;2835985.285;A
TRACK;1.4.27-11;-16.38243891;-71.55962664;-1938844.8;2835894.518;A
TRACK;1.4.27-11;-16.38259757;-71.55960846;-1938863.664;2835894.514;A
TRACK;1.4.27-14; ; ;-1.516416327;20763369.87;A
TRACK;1.4.27-14;-16.38301132;-71.55823982;-1938929.462;2836044.305;A
TRACK;1.4.27-14;-16.38205692;-71.55842859;-1938814.993;2836035.329;A
TRACK;1.4.27-14;-16.38211495;-71.55877776;-1938817.42;2835994.984;A
TRACK;1.4.27-14;-16.38307736;-71.55862762;-1938932.344;2835999.475;A
TRACK;1.4.27-16; ; ;-1.516416327;20763369.87;A
TRACK;1.4.27-16;-16.38364756;-71.55770236;-1939010.946;2836096.959;A
TRACK;1.4.27-16;-16.38240508;-71.55788331;-1938862.739;2836092.621;A
TRACK;1.4.27-16;-16.38245273;-71.55826782;-1938863.503;2836048.403;A
TRACK;1.4.27-16;-16.3836843;-71.55808757;-1939010.419;2836052.804;A
TRACK;1.4.28-1; ; ;-1.516416327;20763369.87;A
TRACK;1.4.28-1;-16.38418641;-71.56304683;-1939007.058;2835483.987;A
TRACK;1.4.28-1;-16.38438462;-71.5629246;-1939031.874;2835495.265;A
TRACK;1.4.28-1;-16.38439597;-71.56255413;-1939037.863;2835537.121;A
TRACK;1.4.28-1;-16.38398538;-71.56247734;-1938990.604;2835551.172;A
TRACK;1.4.28-1;-16.38337625;-71.56253549;-1938918.332;2835552.509;A
TRACK;1.4.28-1;-16.38340817;-71.56291866;-1938917.266;2835508.651;A
TRACK;1.4.28-1;-16.38384421;-71.56305436;-1938966.773;2835487.588;A
TRACK;1.4.28-2; ; ;-1.516416327;20763369.87;A
TRACK;1.4.28-2;-16.38396423;-71.5624154;-1938988.899;2835558.471;A
TRACK;1.4.28-2;-16.38427836;-71.56246764;-1939025.137;2835548.458;A
TRACK;1.4.28-2;-16.38423935;-71.56216884;-1939024.31;2835582.843;A
TRACK;1.4.28-2;-16.38403155;-71.56218678;-1938999.678;2835583.514;A
TRACK;1.4.28-2;-16.38402337;-71.5621867;-1938998.719;2835583.63;A
TRACK;1.4.28-2;-16.38391978;-71.56218977;-1938986.514;2835584.63;A
TRACK;1.4.28-2;-16.38390412;-71.56205806;-1938986.33;2835599.767;A
TRACK;1.4.28-2;-16.38385647;-71.56160229;-1938986.462;2835652.062;A
TRACK;1.4.28-2;-16.38376283;-71.5615256;-1938976.427;2835661.977;A
TRACK;1.4.28-2;-16.38362777;-71.56154991;-1938960.259;2835660.979;A
TRACK;1.4.28-2;-16.38347528;-71.56161228;-1938941.565;2835655.893;A
TRACK;1.4.28-2;-16.38336489;-71.56162276;-1938928.468;2835656.142;A
TRACK;1.4.28-2;-16.38296592;-71.56147811;-1938883.428;2835677.736;A
TRACK;1.4.28-2;-16.38290605;-71.56135707;-1938877.918;2835692.239;A
TRACK;1.4.28-2;-16.38253123;-71.56137775;-1938833.635;2835694.774;A
TRACK;1.4.28-2;-16.38285045;-71.56257242;-1938856.113;2835555.168;A
TRACK;1.4.28-2;-16.38303406;-71.56249698;-1938878.626;2835561.331;A
TRACK;1.4.33-1; ; ;-1.516416327;20763369.87;A
TRACK;1.4.33-1;-16.3847367;-71.55672406;-1939151.167;2836193.695;A
TRACK;1.4.33-1;-16.38480529;-71.55666505;-1939159.964;2836199.493;A
TRACK;1.4.33-1;-16.38484262;-71.55660267;-1939165.133;2836206.079;A
TRACK;1.4.33-1;-16.38489764;-71.55650747;-1939172.793;2836216.157;A
TRACK;1.4.33-1;-16.38493009;-71.55640821;-1939177.851;2836226.988;A
TRACK;1.4.33-1;-16.38497979;-71.55635217;-1939184.394;2836232.695;A
TRACK;1.4.33-1;-16.38506281;-71.55630354;-1939194.755;2836237.128;A
TRACK;1.4.33-1;-16.38517589;-71.55627227;-1939208.431;2836239.2;A
TRACK;1.4.33-1;-16.3855262;-71.55709324;-1939239.254;2836141.555;A
TRACK;1.4.33-1;-16.38571935;-71.55708414;-1939262.054;2836140.071;A
TRACK;1.4.33-1;-16.38526586;-71.55603129;-1939222.028;2836265.351;A
