null_raster,acc_50k_C
1,3.39583782259732
1,3.41240647669131
1,3.49072453918718
1,3.67778310067825
1,3.46919587691896
1,3.44364246858265
1,3.77483326379757
1,3.48825421766059
1,3.43106221827223
1,3.44163967602896
1,3.54477013133899
1,3.6123155302562
1,3.34035234443157
1,3.48295640172405
1,3.37850950561692
1,3.50874608079183
1,3.63028541644686
1,3.35987747041032
1,3.41162471966532
1,3.45240669079608
1,3.40961675391669
1,3.36755356528246
1,3.28929326517997
1,3.45536073645634
1,3.5183348912021
1,3.54155023483067
1,3.5720125819229
1,3.46852747734903
1,3.51214686758282
1,3.44094709243383
1,3.53023602165053
1,3.40183599979804
1,3.63476479501041
1,3.3689793140815
1,3.54304979272085
1,3.4544426370157
1,3.38030231161736
1,3.50865111782282
1,3.43652664394509
1,3.39980791453208
1,3.38003749611435
1,3.58246775604274
1,3.4332965347954
1,3.54680183845168
1,3.45112612231137
1,3.47677608887083
1,3.44481732739523
1,3.3850221830545
1,3.39570640256381
1,3.41283519235487
1,3.38014334948803
1,3.47493588230381
1,3.52455418752729
1,3.68645191600878
1,3.30674160543969
1,3.52924490056347
1,3.42500655577607
1,3.44968829545552
1,3.3869195704574
1,3.52425347700868
1,3.61079168848617
1,3.49295476882531
1,3.39799159989015
1,3.49831419023638
1,3.39012819874409
1,3.488289372506
1,3.5138149497452
1,3.43781577360915
1,3.55900240798859
1,3.4502652589589
1,3.37970982069855
1,3.468952230626
1,3.40172020485783
1,3.39582574164094
1,3.44489507601686
1,3.36999252601846
1,3.52227685760719
1,3.57290937632017
1,3.37015351866699
1,3.43335914408387
1,3.70136563392849
1,3.42545498597337
1,3.46678101731649
1,3.4305811982106
1,3.42535724249309
1,3.31214084478776
1,3.8143075191934
1,3.57191385994999
1,3.65571737736972
1,3.40484319408599
1,3.60929886717031
1,3.41264473171365
1,3.43891813323766
1,3.41872374270963
1,3.44823608300792
1,3.41239391780957
1,3.42854789296108
1,3.40617578062181
1,3.48317710287335
1,3.54615184756269
