LR1_coefficients_null_raster	LR1_coefficients_acc_50k_C	LR1_R2_null_raster	LR1_R2_acc_50k_C	LR1_Q_acc_50k_C	LR2_coefficients_null_raster	LR2_coefficients_acc_50k_C	LR2_R2_null_raster	LR2_R2_acc_50k_C	LR2_Q_acc_50k_C
0.00863004999481997	0.0301522958026659	0.0793160921171516	0.0946990531417574	0.0153829610246058	0.000241644107913695	0.00349924375509363	0.0305711388789976	0.0514079042924781	0.0208367654134806
0.00709261107629482	0.0200471604918007	0.0449666710408697	0.0404450959877591	-0.0045215750531106	0.000224017770843076	0.00196566827524602	0.0165605544880432	0.0169862506776668	0.000425696189623587
0.00769847013371499	0.022943472841108	0.0335535666281145	0.0342810978609211	0.000727531232806562	0.000196993991523941	0.0018991206369821	0.00738478822588077	0.0088659513584072	0.00148116313252643
0.0079298758932325	0.0222352481799966	0.055084576564951	0.0459657759420269	-0.00911880062292404	0.000188869855617948	0.00195550451859014	0.012215939462694	0.0129951090425697	0.000779169579875756
0.0101198371814072	0.0346209948796777	0.06595186519419	0.0796462380564109	0.0136943728622208	0.000253950686140568	0.00313711539030786	0.0153472086003539	0.0244885284138039	0.00914131981345004
0.0103815247285852	0.0333552941773665	0.102746853337434	0.115659416368539	0.012912563031105	0.000359120810372496	0.00436741273556159	0.0473112432349294	0.0704387639170681	0.0231275206821387
0.00913742416651822	0.0252518579069328	0.0841101821855359	0.0694194745376056	-0.0146907076479302	0.000246866085276892	0.00268024393473804	0.0239262214007748	0.0276133916294665	0.0036871702286917
0.00542224878980232	0.0163553902831528	0.0253448912093719	0.0252632364447642	-8.16547646076901e-05	0.00015574062745962	0.00138260796631241	0.00805667048913206	0.00774071657510805	-0.000315953914024013
0.01539722801696	0.0441912176838732	0.165467990766538	0.150021819216011	-0.0154461715505276	0.000652824867390547	0.00637703789544935	0.0927988747130182	0.106303104060409	0.0135042293473904
0.010737504343198	0.0324913169527976	0.0585023553875123	0.0582581642277517	-0.00024419115976064	0.000323571059226193	0.00369131349089605	0.0190144301448975	0.026531942845093	0.00751751270019549
0.00549878992216957	0.0185542625643436	0.0245849513592039	0.0261048761790224	0.00151992481981855	9.87359729298432e-05	0.00182394677755314	0.00381890307275877	0.0101407801400424	0.00632187706728361
0.0115261337160456	0.0365410329878691	0.122926690580589	0.117536685150824	-0.00539000542976525	0.000367525632975245	0.00413229356741135	0.055723259915491	0.0577702909456353	0.00204703103014428
0.0127863386901262	0.0378845301396638	0.0995359562127789	0.0981293195933196	-0.00140663661945929	0.000457433698441386	0.00479691229755726	0.0457991643310933	0.0580565546186192	0.0122573902875259
0.0100008336131982	0.0295189195164098	0.0844613490272275	0.0796567237720407	-0.00480462525518682	0.000288374849994646	0.00285033305366078	0.0317780312418189	0.0334635758082814	0.00168554456646244
0.0111541222942896	0.0361364571958048	0.0743417296413102	0.0823981968586183	0.00805646721730804	0.000322477723366209	0.00395251325314896	0.0241370622302761	0.0357332602099836	0.0115961979797076
0.000823090258651577	0.00109989825749932	0.00128300933645243	0.000245247797297369	-0.00103776153915506	2.38672225476078e-05	-1.10840508885552e-05	0.000831427147786629	1.8805473862187e-06	-0.00082954660040041
0.00877267361114184	0.0270826564176933	0.0556724246546388	0.0550166115041366	-0.000655813150502296	0.00025601475533184	0.00272998547543731	0.0159534394381643	0.0182533992869305	0.00229995984876618
0.0115574832127823	0.0301009903552839	0.0953785462426279	0.0706876853543038	-0.0246908608883242	0.00039216720633382	0.00287325741131507	0.0410470455932175	0.0265669450661989	-0.0144801005270186
0.00874457227931466	0.0313163826587941	0.0616370359087082	0.0775756798138525	0.0159386439051443	0.000220282374965409	0.00330230292544106	0.0155137885765447	0.0319226505230561	0.0164088619465114
0.0138010025868565	0.0425333992315292	0.120164968680673	0.129233992993164	0.00906902431249106	0.000457240538488876	0.00489892031740707	0.04707667355608	0.0644691315649122	0.0173924580088322
0.00732603451696526	0.0213289227593079	0.0340578194716023	0.0330394924529495	-0.00101832701865282	0.000175454073976617	0.00151338461122453	0.00651692443953273	0.00610349522906586	-0.000413429210466873
0.00923983757470773	0.0305716416393419	0.0731552822760087	0.0856457209031303	0.0124904386271216	0.000233236234231444	0.0029330270906795	0.019593422121112	0.0326087590170261	0.0130153368959141
0.0115298829587093	0.0352451664006284	0.0967952936282223	0.0952215407185142	-0.00157375290970817	0.000384205908874961	0.00451155958798089	0.0463471263200099	0.0612431086465834	0.0148959823265735
0.00950378985738997	0.0287645703629333	0.0647233213387936	0.0681705318523405	0.00344721051354686	0.000274852080694606	0.00313088411194925	0.0200303267275124	0.0303699581015021	0.0103396313739897
0.00808775639550999	0.0206925396546838	0.0471747793510105	0.0363086079142336	-0.0108661714367769	0.000191334587806279	0.00147883694296563	0.0106573660685388	0.00819800550260365	-0.00245936056593519
0.000229231813855946	0.0010379086210281	0.000115527675331553	0.000259341867446101	0.000143814192114548	1.71640516546885e-05	0.000154298305622394	0.000453155641128345	0.000401965010960489	-5.11906301678566e-05
0.0122532806180355	0.0379123907465934	0.0869044944489116	0.0922098631450799	0.00530536869616834	0.000435726434191198	0.0046693194966198	0.0347461497206748	0.0486242359472196	0.0138780862265448
0.00781442047339453	0.0229822110939317	0.053647509824598	0.052942016148674	-0.000705493675924006	0.00025341847669129	0.0022293926370175	0.0177349223897723	0.0186399629366278	0.000905040546855515
0.0111382179985864	0.0324478335126054	0.0855927492099293	0.0794358098481196	-0.00615693936180964	0.000398066197785136	0.00412003912539157	0.0389847628601244	0.0427879817446565	0.00380321888453209
0.0096871422586595	0.0279856116503753	0.0769642420850322	0.0704002051042666	-0.00656403698076553	0.000292557275413538	0.00301139581274182	0.0298198109218206	0.0321399859635876	0.00232017504176705
0.00967355187011707	0.0238817585471188	0.0628763232484028	0.0435241403254116	-0.0193521829229912	0.000310857428258632	0.00215448475374127	0.0232677252495418	0.0149903145210738	-0.00827741072846802
0.00907980251524384	0.0277843559413665	0.0517536296777454	0.0497276248867637	-0.00202600479098174	0.000214756229448185	0.00254178506081317	0.0113994995185511	0.0155779677214488	0.00417846820289772
0.0113843060549225	0.0315682680335656	0.0933118304352608	0.0728715249463523	-0.0204403054889085	0.000424943661941255	0.00396775025799142	0.0477283033619184	0.0424357722484718	-0.00529253111344655
0.00978050094496967	0.0253311832075903	0.0695302223449934	0.0507162245405997	-0.0188139978043937	0.000239373227480533	0.00209279091513657	0.017515453111449	0.0136984243271785	-0.00381702878427052
0.00797667126521618	0.0247782127186457	0.0457559649242737	0.0445552467741605	-0.00120071815011323	0.00023204955651256	0.00283662254435805	0.0136166338843748	0.0172248116979053	0.00360817781353052
0.0131920434994623	0.0373674113119219	0.140762968692666	0.121097622305459	-0.0196653463872068	0.000517656632531338	0.0045380128025748	0.0731411388990385	0.0670546693332047	-0.00608646956583378
0.0112602270594974	0.0386016979956632	0.086547636544227	0.11459943335328	0.0280517968090528	0.00037216666430003	0.00468781709192911	0.0333561130844231	0.0574476189253262	0.0240915058409032
0.00856683643327433	0.0291002545393904	0.0538787002476506	0.0643036371329504	0.0104249368852998	0.000245326010949206	0.00392811620804684	0.0189437792232228	0.0407886230311506	0.0218448438079277
0.0136006381239392	0.0420057032177155	0.10018124424252	0.111857583309035	0.0116763390665151	0.00042308037735539	0.00426706930239563	0.0369190169278085	0.0483516435609963	0.0114326266331878
0.0122864417672659	0.0364958625159894	0.094712685802353	0.093257353057183	-0.00145533274516996	0.000500757267812108	0.00447528121571715	0.0506886843828041	0.0511722651188311	0.000483580736026966
0.010898687134436	0.0334038146065771	0.0995825312907245	0.0968244622164552	-0.0027580690742693	0.000348666586329737	0.00378647815706359	0.0463574759402492	0.0522298866610897	0.00587241072084056
-0.000533065071626186	-0.00172541349063497	0.000477026870193344	0.000483348321538679	6.32145134533431e-06	-3.15358285608135e-05	-0.000181434422327597	0.00119088848766585	0.000352678975030865	-0.000838209512634989
0.00946293148923709	0.0263792250944352	0.0633454303610236	0.0530654762929625	-0.0102799540680611	0.000340765876440199	0.00290180340484921	0.0295064694750335	0.0255327789453993	-0.00397369052963415
0.0100492005824731	0.02894842522158	0.0681280239122392	0.0636933520268066	-0.00443467188543262	0.000386023889704748	0.00328373772112716	0.0339833893386279	0.0306867335822608	-0.00329665575636708
-0.00197102728477867	-0.00387127279122147	0.00822042065503412	0.00302095620366804	-0.00519946445136608	-8.51260250892255e-05	-0.000552670509020758	0.0112103974736272	0.00454619110831778	-0.00666420636530946
0.0135670651978163	0.0376784696378792	0.117961124199371	0.107277345898531	-0.0106837783008403	0.000486468128671655	0.00483338277069096	0.0491684230916519	0.0599940539440056	0.0108256308523536
0.0112430934604722	0.0357053809356693	0.0872885800098165	0.096439950687622	0.00915137067780546	0.000302239388248344	0.00394662200195875	0.0270583639543293	0.0412307393259601	0.0141723753716308
-0.00216576252817825	-0.00409262988442467	0.00817952313914375	0.00317125466106049	-0.00500826847808327	-8.80239484732593e-05	-0.000565665765759239	0.00927595582557812	0.0045916856650698	-0.00468427016050831
0.00775422200172493	0.022508384180687	0.0543487694729445	0.0456058792011599	-0.00874289027178461	0.000193444000632052	0.00188932563068128	0.0146810390823555	0.0131132711624899	-0.0015677679198656
0.0116219757620537	0.034977752219142	0.0844004294624659	0.0824651582336907	-0.00193527122877514	0.000323274684712628	0.00373256987142736	0.0240845405256576	0.0339506071690243	0.00986606664336672
0.0084593401870678	0.0262942913972812	0.0460409353771091	0.0448735875956336	-0.00116734778147552	0.000208135311045554	0.00259882840044683	0.0114565359884936	0.0164847862838063	0.00502825029531267
-4.35861404800432e-05	-0.00121678312583184	4.26166840343076e-06	0.000392383119124695	0.000388121450721264	1.47725903942945e-05	-0.000191246659855614	0.000336293469163889	0.000728647805584719	0.00039235433642083
0.00982171171265964	0.0298632039822648	0.07880811650395	0.068624321564925	-0.010183794939025	0.000261062790642795	0.0029808312125546	0.0241705229799365	0.0246002044944112	0.000429681514474731
-0.00163364391984651	-0.00591683169441112	0.00490303054087387	0.00612628123151003	0.00122325069063616	-4.56264716292817e-05	-0.000581519811239166	0.00301483572468682	0.00434067375569553	0.00132583803100871
0.0117048524787198	0.0303377024428731	0.09540810379438	0.0642829596754695	-0.0311251441189105	0.000373174415687887	0.0027232131516504	0.0356751825341114	0.0203217146290747	-0.0153534679050367
0.00689569550109653	0.0243348153103213	0.0488588018341763	0.057575687490399	0.00871688565622274	0.000191880076784807	0.00297014913405041	0.0165584357286513	0.0319401956029556	0.0153817598743043
-0.000673382319759763	-0.00274076878908216	0.000944978741994723	0.00150074583364207	0.000555767091647346	-2.91315011061923e-05	-0.00033247519457932	0.0013804974413025	0.00160181156064643	0.00022131411934393
0.00852478298317885	0.0281962109034436	0.0587776932428248	0.0666952749090469	0.00791758166622211	0.000213048441929108	0.00273063285749038	0.0168122602124338	0.0278245642335819	0.0110123040211481
0.0102723898713271	0.0302923172017403	0.0867860237934003	0.0821585723128762	-0.00462745148052408	0.000326765645925349	0.00359995510715016	0.034655377016708	0.043964614587573	0.00930923757086497
0.0075958867873294	0.0247866934070848	0.0368960110609676	0.0402000421412477	0.00330403108028005	0.000167150317034703	0.00275319388565863	0.00757998803163474	0.016714780377732	0.00913479234609731
0.00757641189795046	0.0217094590653047	0.0576792046257643	0.0459715515524987	-0.0117076530732656	0.000197152529062449	0.00197014682382654	0.0169444898447681	0.0160054578942557	-0.000939031950512443
0.0120022102160223	0.0372442932830858	0.13647168159863	0.149790245491277	0.0133185638926471	0.000431928691262112	0.00476348471044929	0.068651891756655	0.0967753277055306	0.0281234359488756
0.00860093165090527	0.0251628562424028	0.0550784429202031	0.0498904220744319	-0.00518802084577117	0.000227958815712676	0.00213506149659695	0.0139319492248791	0.0139873242471368	5.5375022257732e-05
0.0107931362920628	0.0288137606817659	0.0775319511985372	0.0592262440913434	-0.0183057071071938	0.000402435646075989	0.00379778473246781	0.0386282855468616	0.0343974791242025	-0.00423080642265912
0.00866971465400798	0.0269683575759734	0.0654148682882418	0.0624882791945427	-0.00292658909369904	0.000247706955476418	0.00256504060785019	0.0222113172713078	0.0223676428505289	0.000156325579221156
0.0113523767380482	0.032985591981849	0.104590163212359	0.100375819508175	-0.00421434370418365	0.000381898623327539	0.0037918491301036	0.0440358515269514	0.0523014518127697	0.00826560028581833
0.0133067999295546	0.0391638450739427	0.104153225279824	0.0991413812074377	-0.00501184407238606	0.0003699176493341	0.00435447285190648	0.0295193985109679	0.0417606281391704	0.0122412296282025
0.0127603575871535	0.0356002920277329	0.101462128572555	0.0935499935710034	-0.00791213500155112	0.000419037646606194	0.00347798698328487	0.034451176777464	0.035956772918686	0.00150559614122198
0.00907263960735413	0.0253846657820635	0.0667887849248546	0.0530703510522062	-0.0137184338726485	0.000242134026821809	0.00232060724938917	0.0200018973633534	0.0165756649355071	-0.00342623242784623
-0.000269567094868039	-0.000641192408923531	0.000140622027643172	7.78072834035516e-05	-6.28147442396201e-05	-1.20324141059015e-05	-3.86592885351083e-05	0.000189488937714282	1.93150555939551e-05	-0.000170173882120327
0.00767730044764493	0.025080990714925	0.040817999113225	0.0452139206808526	0.00439592156762755	0.000229782367820772	0.00294856977134768	0.0139348017466904	0.023095692388628	0.00916089064193762
0.00838864604696551	0.0275946887259183	0.0516980795088798	0.0554092271841571	0.0037111476752773	0.000225339455947249	0.00263858093928045	0.0155519768294338	0.0216668068065753	0.00611482997714142
0.00783661968240131	0.0187767042229803	0.0370335234354283	0.0251098029604835	-0.0119237204749448	0.000210294893049397	0.00128476877085768	0.00967467377441859	0.00515776611385863	-0.00451690766055996
0.00944607659284269	0.0283086216033051	0.0717656466312162	0.065738139895183	-0.0060275067360332	0.000306570545318374	0.00352863591216428	0.027957903821436	0.0326679362122411	0.00471003239080513
0.000275915141015641	-0.00308091744939455	0.00014944288882786	0.00211563018913986	0.001966187300312	1.94855155508221e-05	-0.000400513808117857	0.000480683688712799	0.00253022822294469	0.00204954453423189
-0.00110284783910649	-0.00284922124010419	0.00242190246631206	0.00145304959598317	-0.000968852870328892	-4.68115002795294e-05	-0.000205250587583877	0.00362439181281339	0.000587273718289339	-0.00303711809452405
0.00787494470623397	0.027163747373956	0.048649645096	0.0595403185537927	0.0108906734577926	0.000198835594392912	0.00228629200987098	0.0138711841526055	0.0183687250780986	0.0044975409254931
0.00789561545858381	0.025603712432731	0.047554420037801	0.0447300364378758	-0.00282438359992526	0.00019757824396066	0.00295340803692789	0.013858046128644	0.0211430648398313	0.00728501871118729
0.00948077202484212	0.0298906970200675	0.0809392500419913	0.080746347156773	-0.000192902885218352	0.0002913782064242	0.0034963707321126	0.0281527678605169	0.039059556000333	0.0109067881398161
0.0119169330673675	0.038434427652341	0.0968359410132294	0.10246784699486	0.00563190598163044	0.00040334920682633	0.00483051822951513	0.0452267266285882	0.0534089624435043	0.00818223581491614
-0.000670543463407817	-0.00518422427109981	0.000851069012499212	0.00439766474367516	0.00354659573117595	-2.83023951241113e-05	-0.000507245086627535	0.001170506241828	0.00275942583159621	0.00158891958976821
0.00947557337378871	0.0246137668335973	0.0655800291014712	0.0513820887996938	-0.0141979403017774	0.000350140039873847	0.00279699567705042	0.0322432213184287	0.0268653333671022	-0.00537788795132646
0.00887105978544786	0.0293349143425479	0.0545612294157027	0.0656668346133029	0.0111056051976002	0.000220059065623207	0.00322870521514132	0.013946289157774	0.0292458093772464	0.0152995202194725
0.0104274113438242	0.032510012171237	0.0824163977214882	0.0959943250084732	0.0135779272869849	0.000460494844534171	0.00410803032298025	0.0477996908307128	0.0575758721953145	0.00977618136460176
0.0113550339325026	0.034441371726343	0.0938508939943223	0.0918356599783999	-0.00201523401592239	0.000285822952832016	0.00331363370497063	0.0258159460857301	0.033165544899592	0.00734959881386191
0.00985738255363142	0.0281138929717589	0.0624629207592111	0.0592509999749674	-0.00321192078424371	0.000319593395048435	0.00234645929003289	0.0227094675905818	0.0180927391211881	-0.00461672846939368
0.00917491076731584	0.0283494906512728	0.0714337803035283	0.065976822534414	-0.0054569577691143	0.000228113348807528	0.00279329608151511	0.0210195214048143	0.0240265194457264	0.00300699804091215
0.0130564026522438	0.0351228446185108	0.0991291205952532	0.075525754766112	-0.0236033658291412	0.000411551070243599	0.00346321812459999	0.0378056490262227	0.0279773899944703	-0.00982825903175238
0.0113679207736846	0.0352549781255585	0.0894703367544258	0.0913652354832739	0.00189489872884807	0.000336778921292107	0.00367622929552361	0.0317229337854727	0.0412282892130277	0.00950535542755502
0.0104960980298535	0.0285418358199985	0.0686941210442194	0.0556211643910898	-0.0130729566531296	0.000325844890916193	0.00346101289176647	0.0249756630064417	0.0311791120581578	0.00620344905171609
