null_raster,acc_50k_R
1,24.9583780932916
1,25.1240646053907
1,25.9072454012295
1,27.7778309323275
1,25.6919585726774
1,25.4364245633623
1,28.7483325822362
1,25.8825420863825
1,25.310622083856
1,25.4163966337569
1,26.4477011681417
1,27.1231552972728
1,24.4035233356847
1,25.8295639012861
1,24.7850949442834
1,26.0874607263971
1,27.3028540806559
1,24.598774687422
1,25.1162470522187
1,25.5240668693093
1,25.0961674516925
1,24.675535577556
1,23.8929325439824
1,25.5536072250112
1,26.1833488196643
1,26.4155022897261
1,26.7201257110049
1,25.6852745981347
1,26.1214686225299
1,25.4094709361372
1,26.3023600704434
1,25.0183599536329
1,27.3476478406594
1,24.6897930484583
1,26.4304977602338
1,25.5444262729932
1,24.803023057993
1,26.0865109727651
1,25.3652663975445
1,24.9980790928362
1,24.800374899708
1,26.8246774987815
1,25.3329653601598
1,26.468018255543
1,25.5112610781846
1,25.767760829714
1,25.4481731710174
1,24.850221786712
1,24.9570639967512
1,25.1283518328195
1,24.8014333862494
1,25.7493587654747
1,26.245541751995
1,27.8645190069937
1,24.0674159823831
1,26.2924488612003
1,25.2500653270989
1,25.4968828992225
1,24.8691955926882
1,26.2425347110924
1,27.1079167623976
1,25.929547528358
1,24.979915880506
1,25.9831417229395
1,24.9012818958979
1,25.8828935741158
1,26.13814944334
1,25.378157657568
1,26.5900239720686
1,25.5026524797694
1,24.7970980812665
1,25.6895221455512
1,25.0172020172503
1,24.9582572101326
1,25.4489506585141
1,24.6999252042542
1,26.2227684381472
1,26.7290936871194
1,24.7015350259611
1,25.3335912964043
1,28.0136562962712
1,25.2545497763279
1,25.6678100458184
1,25.3058118742887
1,25.2535723240302
1,24.1214083994615
1,29.1430749677554
1,26.7191384859866
1,27.5571737090068
1,25.0484318236849
1,27.092988580567
1,25.1264471962997
1,25.3891811822462
1,25.1872373156174
1,25.4823607869522
1,25.123939128866
1,25.2854788283032
1,25.06175771793
1,25.8317708891813
1,26.4615183450256
