LR1_coefficients_null_raster	LR1_coefficients_acc_50k_R	LR1_R2_null_raster	LR1_R2_acc_50k_R	LR1_Q_acc_50k_R	LR2_coefficients_null_raster	LR2_coefficients_acc_50k_R	LR2_R2_null_raster	LR2_R2_acc_50k_R	LR2_Q_acc_50k_R
0.00863004999481997	0.00700857656022085	0.0793160921171516	0.0739887371122203	-0.0053273550049313	0.000241644107913695	0.00017286771809957	0.0305711388789976	0.0285125779245756	-0.00205856095442192
0.00709261107629482	0.00590575504382156	0.0449666710408697	0.044274800298369	-0.000691870742500697	0.000224017770843076	0.000156661089919831	0.0165605544880432	0.0151081931971506	-0.00145236129089258
0.00769847013371499	0.00631244591579945	0.0335535666281145	0.0326915586540533	-0.000862007974061232	0.000196993991523941	0.000134374637801665	0.00738478822588077	0.00717673429616744	-0.000208053929713333
0.0079298758932325	0.00651024679230614	0.055084576564951	0.0540139881655308	-0.00107058839942011	0.000188869855617948	0.000121218756173617	0.012215939462694	0.0107352384359134	-0.00148070102678058
0.0101198371814072	0.00803355791663108	0.06595186519419	0.060074466609904	-0.00587739858428604	0.000253950686140568	0.000155036848750995	0.0153472086003539	0.0118921892659031	-0.00345501933445077
0.0103815247285852	0.00834269014477909	0.102746853337434	0.0949091842123958	-0.00783766912503821	0.000359120810372496	0.00023636608251624	0.0473112432349294	0.0406898724601886	-0.00662137077474083
0.00913742416651822	0.00770017399375027	0.0841101821855359	0.0874006579081045	0.00329047572256858	0.000246866085276892	0.000180139077541179	0.0239262214007748	0.0259315747030075	0.00200535330223268
0.00542224878980232	0.00452422553209013	0.0253448912093719	0.0252395261904559	-0.000105365018915962	0.00015574062745962	0.000108423361517788	0.00805667048913206	0.00780738623506146	-0.000249284254070597
0.01539722801696	0.0122895555495481	0.165467990766538	0.156660268104572	-0.00880772266196619	0.000652824867390547	0.000405681488104957	0.0927988747130182	0.0809965155217172	-0.0118023591913009
0.010737504343198	0.00885699334846823	0.0585023553875123	0.0575896253533832	-0.000912730034129124	0.000323571059226193	0.000218984056290238	0.0190144301448975	0.0179425180239815	-0.00107191212091601
0.00549878992216957	0.00467464083752937	0.0245849513592039	0.0255071796559439	0.000922228296739998	9.87359729298432e-05	7.17422856855958e-05	0.00381890307275877	0.00397365914016467	0.000154756067405893
0.0115261337160456	0.00941775258579833	0.122926690580589	0.118092800795955	-0.00483388978463443	0.000367525632975245	0.000263541288722358	0.055723259915491	0.0561321859585334	0.000408926043042365
0.0127863386901262	0.0105684722005539	0.0995359562127789	0.0965883022660366	-0.00294765394674236	0.000457433698441386	0.000307935747317389	0.0457991643310933	0.0415573399963345	-0.00424182433475873
0.0100008336131982	0.00838309030841797	0.0844613490272275	0.0834471782968195	-0.00101417073040801	0.000288374849994646	0.000207105878763772	0.0317780312418189	0.0316817979070648	-9.623333475417e-05
0.0111541222942896	0.00913378627522261	0.0743417296413102	0.0706919771160541	-0.0036497525252561	0.000322477723366209	0.000219358558776962	0.0241370622302761	0.0220537403884023	-0.00208332184187379
0.000823090258651577	0.000770085211322193	0.00128300933645243	0.00148875586528795	0.00020574652883552	2.38672225476078e-05	1.86800537606741e-05	0.000831427147786629	0.000893002663735806	6.1575515949177e-05
0.00877267361114184	0.00708383349433142	0.0556724246546388	0.0535381956580591	-0.00213422899657975	0.00025601475533184	0.000171651226236133	0.0159534394381643	0.0149987797198224	-0.000954659718341938
0.0115574832127823	0.00956815315292826	0.0953785462426279	0.0943563575185342	-0.00102218872409371	0.00039216720633382	0.000264016425349714	0.0410470455932175	0.03889924254427	-0.00214780304894747
0.00874457227931466	0.00711488436998376	0.0616370359087082	0.0585471669036079	-0.00308986900510032	0.000220282374965409	0.000143671677084132	0.0155137885765447	0.0133418253281433	-0.00217196324840134
0.0138010025868565	0.0111989113187892	0.120164968680673	0.113207110816899	-0.0069578578637738	0.000457240538488876	0.000310285979859896	0.04707667355608	0.0428475485784212	-0.00422912497765883
0.00732603451696526	0.00589579761602373	0.0340578194716023	0.0319136877758614	-0.00214413169574085	0.000175454073976617	0.000109968543910816	0.00651692443953273	0.00540247601010063	-0.0011144484294321
0.00923983757470773	0.00777488767667064	0.0731552822760087	0.0726592664226681	-0.000496015853340609	0.000233236234231444	0.000168961287163898	0.019593422121112	0.0195549628055496	-3.84593155624419e-05
0.0115298829587093	0.00948299833244602	0.0967952936282223	0.0918772589276023	-0.00491803470061999	0.000384205908874961	0.000266469230620342	0.0463471263200099	0.0421426701401289	-0.00420445617988097
0.00950378985738997	0.00805333873220366	0.0647233213387936	0.0640094870157343	-0.000713834323059354	0.000274852080694606	0.000199790318061476	0.0200303267275124	0.0196893966132083	-0.000340930114304121
0.00808775639550999	0.00698147415464757	0.0471747793510105	0.0485340676858885	0.00135928833487805	0.000191334587806279	0.000144998830029599	0.0106573660685388	0.0111967883538311	0.000539422285292281
0.000229231813855946	0.000146027678849713	0.000115527675331553	6.3267705572653e-05	-5.22599697589e-05	1.71640516546885e-05	1.02260166162161e-05	0.000453155641128345	0.000291771734524251	-0.000161383906604094
0.0122532806180355	0.00986476647470939	0.0869044944489116	0.0824747689813699	-0.00442972546754171	0.000435726434191198	0.000276131014235021	0.0347461497206748	0.0291917252665791	-0.00555442445409575
0.00781442047339453	0.00634875609966846	0.053647509824598	0.0515818958526661	-0.00206561397193192	0.00025341847669129	0.000163624059302861	0.0177349223897723	0.0154441491235101	-0.00229077326626221
0.0111382179985864	0.00909542341940186	0.0855927492099293	0.0821333692977799	-0.00345937991214935	0.000398066197785136	0.000258171672408798	0.0389847628601244	0.0344745980766628	-0.00451016478346163
0.0096871422586595	0.00790760089527688	0.0769642420850322	0.0731832494826869	-0.00378099260234531	0.000292557275413538	0.000193737134125704	0.0298198109218206	0.0263486331674166	-0.00347117775440394
0.00967355187011707	0.00819639223155229	0.0628763232484028	0.0644435125756948	0.00156718932729197	0.000310857428258632	0.000226297112543176	0.0232677252495418	0.0244300724926033	0.00116234724306148
0.00907980251524384	0.00742234134606284	0.0517536296777454	0.0496860292909978	-0.0020676003867476	0.000214756229448185	0.000143868040913706	0.0113994995185511	0.0101627276495247	-0.00123677186902634
0.0113843060549225	0.0094426095783667	0.0933118304352608	0.0939445412208576	0.000632710785596735	0.000424943661941255	0.000296836221790101	0.0477283033619184	0.0462614101431489	-0.00146689321876951
0.00978050094496967	0.00828882842520712	0.0695302223449934	0.0716383624485894	0.00210814010359595	0.000239373227480533	0.000167832388031028	0.017515453111449	0.0176236404023421	0.000108187290893111
0.00797667126521618	0.00672096099333289	0.0457559649242737	0.0469381117805207	0.00118214685624699	0.00023204955651256	0.000171422764442889	0.0136166338843748	0.0154343692792191	0.0018177353948443
0.0131920434994623	0.0108341125431885	0.140762968692666	0.137453876451762	-0.00330909224090373	0.000517656632531338	0.00034562149249491	0.0731411388990385	0.0677662027540835	-0.00537493614495503
0.0112602270594974	0.00896736660791988	0.086547636544227	0.0777754896053512	-0.00877214693887576	0.00037216666430003	0.000242526705927558	0.0333561130844231	0.0280721281333001	-0.00528398495112295
0.00856683643327433	0.0068116101119486	0.0538787002476506	0.0488991191429002	-0.00497958110475045	0.000245326010949206	0.00015333646630184	0.0189437792232228	0.0152771213368002	-0.00366665788642266
0.0136006381239392	0.0109042090620746	0.10018124424252	0.0900245491239715	-0.010156695118548	0.00042308037735539	0.000275757237532474	0.0369190169278085	0.0300077455326513	-0.00691127139515713
0.0122864417672659	0.00974130400948245	0.094712685802353	0.0869748071193419	-0.00773787868301107	0.000500757267812108	0.000323368487374305	0.0506886843828041	0.0435591398963335	-0.00712954448647064
0.010898687134436	0.00901224395798354	0.0995825312907245	0.0960767738903084	-0.00350575740041607	0.000348666586329737	0.00024204409507315	0.0463574759402492	0.043673897936298	-0.00268357800395114
-0.000533065071626186	-0.000403688301857386	0.000477026870193344	0.000386616975613214	-9.04098945801308e-05	-3.15358285608135e-05	-2.10725966900502e-05	0.00119088848766585	0.00108815828520665	-0.000102730202459206
0.00946293148923709	0.00782166763001009	0.0633454303610236	0.062634005259316	-0.000711425101707616	0.000340765876440199	0.000232147916693344	0.0295064694750335	0.0279558115120101	-0.00155065796302344
0.0100492005824731	0.00846831381128363	0.0681280239122392	0.0669374760454314	-0.00119054786680785	0.000386023889704748	0.000293682857963783	0.0339833893386279	0.0360090872115253	0.00202569787289743
-0.00197102728477867	-0.00176556198056867	0.00822042065503412	0.00912716270704513	0.00090674205201101	-8.51260250892255e-05	-6.41615119003085e-05	0.0112103974736272	0.0122532702384463	0.00104287276481909
0.0135670651978163	0.0112417735811213	0.117961124199371	0.115650161630951	-0.00231096256841988	0.000486468128671655	0.000322951818599747	0.0491684230916519	0.0441424311872084	-0.00502599190444358
0.0112430934604722	0.00863445359358876	0.0872885800098165	0.0781584204612255	-0.00913015954859099	0.000302239388248344	0.000196103085399264	0.0270583639543293	0.024361004339898	-0.00269735961443131
-0.00216576252817825	-0.00192263528567289	0.00817952313914375	0.00866623303788493	0.000486709898741177	-8.80239484732593e-05	-6.31873725277379e-05	0.00927595582557812	0.00874289224426397	-0.000533063581314141
0.00775422200172493	0.00664059766652457	0.0543487694729445	0.0565078183086647	0.00215904883572021	0.000193444000632052	0.000143416599665	0.0146810390823555	0.0157194663859833	0.00103842730362784
0.0116219757620537	0.00944718727440833	0.0844004294624659	0.0800462674327585	-0.00435416202970736	0.000323274684712628	0.000208621752098498	0.0240845405256576	0.02060743294995	-0.00347710757570766
0.0084593401870678	0.0071404801543467	0.0460409353771091	0.0469834578761554	0.000942522499046278	0.000208135311045554	0.000142566001042914	0.0114565359884936	0.0109429773993182	-0.00051355858917543
-4.35861404800432e-05	-7.10000289618318e-05	4.26166840343076e-06	1.47114569071316e-05	1.04497885037009e-05	1.47725903942945e-05	9.98103583520624e-06	0.000336293469163889	0.000266779266879133	-6.95142022847558e-05
0.00982171171265964	0.0081582889776595	0.07880811650395	0.0783187341815569	-0.000489382322393053	0.000261062790642795	0.00018292292949692	0.0241705229799365	0.0235772081521867	-0.000593314827749804
-0.00163364391984651	-0.00136446813213932	0.00490303054087387	0.00478693651206467	-0.000116094028809199	-4.56264716292817e-05	-3.34276119355546e-05	0.00301483572468682	0.00336876163256621	0.000353925907879387
0.0117048524787198	0.00989579070637445	0.09540810379438	0.100570281175939	0.00516217738155891	0.000373174415687887	0.000275042320915635	0.0356751825341114	0.0397224682696474	0.00404728573553603
0.00689569550109653	0.00561156319552115	0.0488588018341763	0.0465698110035655	-0.00228899083061083	0.000191880076784807	0.000132532753945129	0.0165584357286513	0.015376798026895	-0.00118163770175632
-0.000673382319759763	-0.000446022080197234	0.000944978741994723	0.00055922318145424	-0.000385755560540483	-2.91315011061923e-05	-1.60526353821807e-05	0.0013804974413025	0.000773418821243913	-0.000607078620058585
0.00852478298317885	0.0068159345879652	0.0587776932428248	0.0545657812120008	-0.00421191203082402	0.000213048441929108	0.000132245688430728	0.0168122602124338	0.0134300887415439	-0.00338217147088989
0.0102723898713271	0.0083502779777004	0.0867860237934003	0.082901729546454	-0.00388429424694622	0.000326765645925349	0.000218360099348018	0.034655377016708	0.030993999603485	-0.00366137741322295
0.0075958867873294	0.00613708299669278	0.0368960110609676	0.0350933097768553	-0.00180270128411226	0.000167150317034703	0.000106955726124886	0.00757998803163474	0.00639001135464505	-0.00118997667698969
0.00757641189795046	0.00639453928992172	0.0576792046257643	0.0594789519006805	0.00179974727491628	0.000197152529062449	0.000132586756283327	0.0169444898447681	0.016475460412632	-0.000469029432136156
0.0120022102160223	0.00989203423203609	0.13647168159863	0.128539275387217	-0.00793240621141236	0.000431928691262112	0.00029923278275533	0.068651891756655	0.0615965158746398	-0.00705537588201521
0.00860093165090527	0.00713185675600928	0.0550784429202031	0.0546711210445018	-0.000407321875701243	0.000227958815712676	0.000153339092630156	0.0139319492248791	0.0129753977972117	-0.000956551427667415
0.0107931362920628	0.00880701187942344	0.0775319511985372	0.0756842252827875	-0.00184772591574965	0.000402435646075989	0.000249849207334428	0.0386282855468616	0.0332216052066989	-0.00540668034016269
0.00866971465400798	0.00709052569296318	0.0654148682882418	0.0629325417041947	-0.00248232658404704	0.000247706955476418	0.000167674525210907	0.0222113172713078	0.0206502783089431	-0.00156103896236467
0.0113523767380482	0.00926242391262144	0.104590163212359	0.0987541856572581	-0.00583597755510107	0.000381898623327539	0.000263518627639865	0.0440358515269514	0.0405887404021733	-0.00344711112477815
0.0133067999295546	0.010906963028559	0.104153225279824	0.0998029650178815	-0.00435026026194225	0.0003699176493341	0.000244432271328667	0.0295193985109679	0.0255801843961862	-0.00393921411478162
0.0127603575871535	0.0107822453521937	0.101462128572555	0.101912248898829	0.000450120326274284	0.000419037646606194	0.000303706822735987	0.034451176777464	0.0343453513434151	-0.000105825434048953
0.00907263960735413	0.0079188066188403	0.0667887849248546	0.0720899679390248	0.00530118301417018	0.000242134026821809	0.000197576610376138	0.0200018973633534	0.0252708583771651	0.00526896101381169
-0.000269567094868039	-0.00010930275744163	0.000140622027643172	3.22777285181086e-05	-0.000108344299125063	-1.20324141059015e-05	-2.8983041674951e-06	0.000189488937714282	2.12061156105501e-05	-0.000168282822103732
0.00767730044764493	0.0063174590674294	0.040817999113225	0.039711593337768	-0.001106405775457	0.000229782367820772	0.000153941616996735	0.0139348017466904	0.0125592580233776	-0.00137554372331275
0.00838864604696551	0.00671586750914074	0.0516980795088798	0.0479327406207607	-0.00376533888811902	0.000225339455947249	0.000147458050192713	0.0155519768294338	0.0133880737384158	-0.00216390309101807
0.00783661968240131	0.006897519179777	0.0370335234354283	0.0399224456327874	0.00288892219735914	0.000210294893049397	0.00017333900140997	0.00967467377441859	0.0118307257757356	0.00215605200131699
0.00944607659284269	0.0077973629096618	0.0717656466312162	0.0702481563881545	-0.00151749024306168	0.000306570545318374	0.000191949444739212	0.027957903821436	0.0237457456085217	-0.0042121582129143
0.000275915141015641	0.000527264465677318	0.00014944288882786	0.000734627137273848	0.000585184248445988	1.94855155508221e-05	2.8068391013419e-05	0.000480683688712799	0.00190227506558288	0.00142159137687008
-0.00110284783910649	-0.00100663274336179	0.00242190246631206	0.00276444650205786	0.000342544035745799	-4.68115002795294e-05	-3.97006187667483e-05	0.00362439181281339	0.00498700003113739	0.001362608218324
0.00787494470623397	0.00640174622133506	0.048649645096	0.0457858458572337	-0.00286379923876629	0.000198835594392912	0.000133930341874856	0.0138711841526055	0.0129973891283787	-0.000873795024226803
