null_raster,acc_50k_C
1,1.23958378581152
1,1.24124064949999
1,1.24907245733632
1,1.26777831360749
1,1.24691958679681
1,1.24436424657346
1,1.27748332902433
1,1.24882542433804
1,1.24310622198997
1,1.24416396967787
1,1.25447701350007
1,1.26123155383934
1,1.2340352360299
1,1.24829564078269
1,1.23785095247392
1,1.25087461029131
1,1.26302854437063
1,1.23598774870915
1,1.24116247505865
1,1.24524066879481
1,1.2409616733167
1,1.23675535685373
1,1.22892932924394
1,1.24553607470346
1,1.25183349298536
1,1.25415502422044
1,1.25720126067412
1,1.24685274822313
1,1.25121468936217
1,1.2440947123355
1,1.25302360367043
1,1.24018360242095
1,1.26347648080299
1,1.23689793401204
1,1.25430497976199
1,1.2454442671717
1,1.23803023307397
1,1.25086511279943
1,1.2436526655744
1,1.23998079283652
1,1.23800375233738
1,1.25824677780883
1,1.24332965762949
1,1.25468018600151
1,1.24511261713015
1,1.24767761059589
1,1.2444817356689
1,1.23850221814159
1,1.23957064208724
1,1.24128352131046
1,1.2380143355184
1,1.24749358916936
1,1.25245542127525
1,1.26864519143758
1,1.23067415981163
1,1.25292449274161
1,1.24250065627163
1,1.24496883174258
1,1.23869195977169
1,1.25242534839253
1,1.26107916856382
1,1.24929547635362
1,1.23979916304045
1,1.24983141812855
1,1.23901282072881
1,1.2488289383898
1,1.25138149733429
1,1.24378157801189
1,1.255900241816
1,1.24502652842705
1,1.23797098402277
1,1.24689522578855
1,1.24017202284556
1,1.23958257481507
1,1.24448951058192
1,1.23699925492888
1,1.25222768759158
1,1.25729094104962
1,1.23701535516225
1,1.24333591713433
1,1.27013656568691
1,1.24254549851597
1,1.24667810335908
1,1.24305812368621
1,1.24253572538851
1,1.23121408635032
1,1.28143075301786
1,1.2571913882734
1,1.26557174396189
1,1.24048432066986
1,1.26092988923955
1,1.2412644750836
1,1.24389181649726
1,1.24187237695622
1,1.24482360919588
1,1.24123939312359
1,1.24285479210343
1,1.24061757956755
1,1.24831771158928
1,1.25461518601753
