sequenced?,ID_MUESTRA,year,X,case_regional,case_local,district,locality,dog_status,complaint_date,symptom_date,kill_date,sample_date,ship_date,contain_date,infectious_period,noncontained_period,lon,lat,x_utm,y_utm
N,209,2018,209_2018,Caso025,NA,YURA,NA,NS,NA,NA,2018-05-16,2018-05-18,2018-05-18,2018-05-18,NA,NA,-71.627200000000002,-16.307352000000002,860545.72801284003,8194121.0093595097
N,333,2018,333_2018,Caso033,NA,CERRO COLORADO,CIUDAD MUNICIPAL SECTOR 2,NS,2018-09-17,2018-09-17,2018-09-17,2018-09-17,2018-09-17,2018-09-19,0,2,-71.595010000000002,-16.324383000000001,863958.04897808202,8192176.9895443805
N,435,2018,435_2018,Caso045,NA,PAUCARPATA,NA,NS,NA,NA,2018-11-14,2018-11-14,2018-11-14,NA,NA,NA,-71.513259176606297,-16.4119155688721,872537.34834387701,8182331.0486882199
N,447,2018,447_2018,Caso047,NA,CERRO COLORADO,NA,NA,NA,NA,2018-11-25,2018-11-26,2018-11-27,2018-11-27,NA,NA,-71.612174999999993,-16.350570000000001,862073.48520234402,8189306.5669338396
N,9,2019,9_2019,Caso002,NA,MIRAFLORES,NA,NA,NA,NA,NA,2019-01-17,2019-01-17,2019-01-17,NA,NA,-71.507675000000006,-16.393170999999999,873170.29623820202,8184397.5257210201
N,48,2019,48_2019,Caso007,NA,CAYMA,NA,NS,NA,NA,2019-02-15,2019-02-16,2019-02-18,NA,NA,NA,-71.551140000000004,-16.339684999999999,868622.51431789796,8190402.7161195297
N,121,2019,121_2019,Caso012,NA,CERRO COLORADO,NA,NA,2019-04-22,2019-04-20,2019-04-23,2019-04-23,2019-04-23,2019-04-24,3,4,-71.545249999999996,-16.316534000000001,869296.12034906703,8192956.8931740699
N,131,2019,131_2019,Caso014,NA,CAYMA,NA,NS,NA,NA,2019-04-26,2019-04-26,2019-04-29,2019-04-29,NA,NA,-71.528767396396304,-16.292547431313501,871104.80560006201,8195584.3890161105
N,182,2019,182_2019,Caso015,NA,ALTO SELVA ALEGRE,NA,NA,2019-06-13,2019-06-11,2019-06-13,2019-06-13,2019-06-13,2019-06-14,2,3,-71.526245000000003,-16.373263999999999,871222.048350367,8186637.1564809103
N,183,2019,183_2019,Caso016,NA,MARIANO MELGAR,NA,NS,NA,NA,2019-06-13,2019-06-13,2019-06-13,2019-06-18,NA,NA,-71.477969999999999,-16.396153999999999,876341.49180869397,8184012.0695361001
N,225,2019,225_2019,Caso018,NA,MIRAFLORES,NA,NS,NA,NA,2019-07-23,2019-07-23,2019-07-23,2019-07-25,NA,NA,-71.505705852664207,-16.374307576286299,873416.88984853704,8186483.8326022699
N,240,2019,240_2019,Caso021,NA,CAYMA,NA,NA,2019-08-06,2019-08-06,2019-08-06,2019-08-06,2019-08-07,2019-08-08,0,2,-71.532824261761306,-16.320876194344901,870617.32489546202,8192453.2341922401
N,242,2019,242_2019,Caso022,NA,CERRO COLORADO,NA,NA,NA,NA,2019-08-08,2019-08-08,2019-08-09,2019-08-10,NA,NA,-71.567024000000004,-16.369340000000001,866867.86707250006,8187146.0782467397
N,244,2019,244_2019,Caso023,NA,YURA,NA,NS,2019-08-07,2019-07-30,2019-08-07,2019-08-07,2019-08-08,2019-08-14,8,15,-71.625787605779394,-16.296815170604201,860716.14979213604,8195285.7851039404
N,255,2019,255_2019,Caso024,NA,CERRO COLORADO,NA,NA,2019-08-18,2019-08-16,2019-08-18,2019-08-19,2019-08-19,2019-08-20,2,4,-71.549940000000007,-16.32037,868787.15552775597,8192540.4141896795
N,56,2023,56_2023,Caso004,NA,CERRO COLORADO,APIPA 3 MZ F LOTE 21,CON DUENHO,2023-02-17,2023-02-15,2023-02-17,2023-02-17,2023-02-17,2023-02-18,2,3,-71.610118129646807,-16.330195287062701,862331.10700567404,8191560.0595047204
N,100,2023,100_2023,Caso008,NA,CERRO COLORADO,VIA DE EVITAMIENTO  KM 4.5,CON DUENHO,2023-03-14,2023-03-13,2023-03-14,2023-03-14,2023-03-14,2023-03-15,1,2,-71.576737811197802,-16.368005615241302,865831.41759312199,8187311.4490912398
N,175,2023,175_2023,Caso012,NA,PAUCARPATA,Calle Bolivar s/n,CON DUENHO,2023-04-22,2023-04-20,2023-04-22,2023-04-22,2023-04-24,2023-04-25,2,5,-71.502463000000006,-16.43881,873640.37072767597,8179331.41180785
N,321,2023,321_2023,Caso024,NA,YURA,Asociación Bellavista - Las Ardillas Zona 1 J -9,CON DUENHO,2023-08-25,2023-08-24,2023-08-26,2023-08-26,2023-08-28,2023-08-26,2,2,-71.646270000000001,-16.309694,858501.29394502996,8193895.2309507104
