sequenced?,ID_MUESTRA,year,X,case_regional,case_local,district,locality,dog_status,complaint_date,symptom_date,kill_date,sample_date,ship_date,contain_date,infectious_period,noncontained_period,lon,lat,x_utm,y_utm,
Y,152,2023,152_2023,Caso009,NA,YURA,ASOCIACION DE VIVIENDASEL ALTIPLANO MZF LT 4,CON DUENHO,4/1/23,31-Mar-23,1-Apr-23,3-Apr-23,3-Apr-23,3-Apr-23,1,3,-71.62690187,-16.30825707,860575.9633,8194020.217,
Y,158,2022,158_2022,Caso017,NA,HUNTER,TINGO GRANDE,CON DUENHO,6/19/22,17-Jun-22,21-Jun-22,21-Jun-22,22-Jun-22,24-Jun-22,4,7,-71.57648403,-16.45532977,865695.0446,8177636.681,
Y,159,2017,159_2017,,NA,MARIANO MELGAR,AAHH MIRADOR MZ C LT 12,,NA,NA,,28-Apr-17,2-May-17,NA,,,,,,,
Y,16,2021,16_2021,Caso007,NA,YURA,CIUDAD DE DIOS,CON DUENHO,1/24/21,18-Jan-21,24-Jan-21,24-Jan-21,25-Jan-21,25-Jan-21,6,7,-71.65079812,-16.30894284,858018.2404,8193986.409,
Y,162,2018,162_2018,,NA,J. L. B Y R,CENTRO CANINO,,NA,NA,,23-Apr-18,23-Apr-18,NA,,,,,,,
Y,162,2024,162_2024,Caso004,NA,PAUCARPATA,Villa Maria el Triunfo,SIN DUENHO,4/29/24,27-Apr-24,29-Apr-24,29-Apr-24,29-Apr-24,3-May-24,2,6,-71.51037962,-16.4198272,872830.1747,8181449.194,
Y,166,2016,166_2016,NA,8,CERRO COLORADO,JOSE MARIA ARGUEDAS,NA,4/25/16,21-Apr-16,25-Apr-16,25-Apr-16,26-Apr-16,26-Apr-16,4,5,-71.55078345,-16.31433177,868708.2483,8193210.907,
Y,172,2022,172_2022,Caso019,NA,CAYMA,PIONEROS ZONA A,CON DUENHO,7/7/22,7-Jul-22,7-Jul-22,8-Jul-22,11-Jul-22,14-Jul-22,0,7,-71.525222,-16.30329,871463.8873,8194387.756,
Y,173,2022,173_2022,Caso020,NA,HUNTER,AV. SAN MIGUEL,CON DUENHO,7/11/22,11-Jul-22,11-Jul-22,12-Jul-22,12-Jul-22,14-Jul-22,0,3,-71.554181,-16.448238,868092.8246,8178381.832,
Y,175,2023,175_2023,Caso012,NA,PAUCARPATA,Calle Bolivar s/n,CON DUENHO,4/22/23,20-Apr-23,22-Apr-23,22-Apr-23,24-Apr-23,25-Apr-23,2,5,-71.502463,-16.43881,873640.3707,8179331.412,
Y,182,2019,182_2019,Caso015,NA,ALTO SELVA ALEGRE,NA,NA,6/13/19,11-Jun-19,13-Jun-19,13-Jun-19,13-Jun-19,14-Jun-19,2,3,-71.526245,-16.373264,871222.0484,8186637.156,
Y,183,2019,183_2019,Caso016,NA,MARIANO MELGAR,NA,NS,NA,NA,13-Jun-19,13-Jun-19,13-Jun-19,18-Jun-19,NA,NA,-71.47797,-16.396154,876341.4918,8184012.07,
Y,183,2023,183_2023,Caso013,NA,MARIANO MELGAR,AV JESUS 513,COMUNITARIO,4/30/23,26-Apr-23,2-May-23,2-May-23,3-May-23,5-May-23,6,9,-71.51362591,-16.40791216,872505.7655,8182775.271,
Y,186,2018,186_2018,Caso024,10,CERRO COLORADO,NA,CON DUENHO,5/5/18,2-May-18,5-May-18,5-May-18,5-May-18,7-May-18,3,5,-71.58366,-16.31917,865181.939,8192734.172,
Y,2,2017,2_2017,Caso001,NA,HUNTER,NA,NA,NA,NA,3-Jan-17,3-Jan-17,3-Jan-17,NA,NA,NA,-71.56520284,-16.44510074,866920.3543,8178749.46,
Y,201,2017,201_2017,Caso024,11,CERRO COLORADO,VILLA SAN JUAN,SIN DUENHO,6/14/17,12-Jun-17,14-Jun-17,14-Jun-17,14-Jun-17,15-Jun-17,2,3,-71.58628937,-16.33794879,864865.756,8190658.487,
Y,202,2021,202_2021,Caso041,NA,PEDREGAL,LOS MOLLES,CON DUENHO,6/14/21,10-Jun-21,14-Jun-21,14-Jun-21,15-Jun-21,17-Jun-21,4,7,-72.20092481,-16.3489947,799117.5441,8190438.856,
Y,209,2018,209_2018,Caso025,NA,YURA,NA,NS,NA,NA,16-May-18,18-May-18,18-May-18,18-May-18,NA,NA,-71.6272,-16.307352,860545.728,8194121.009,
