sequenced?,ID_MUESTRA,year,X,case_regional,case_local,district,locality,dog_status,complaint_date,symptom_date,kill_date,sample_date,ship_date,contain_date,infectious_period,noncontained_period,lon,lat,x_utm,y_utm,
Y,46,2017,46_2017,,NA,SOCABAYA,SAN FERNANDO ASERMUL D 11,,NA,NA,,25-Jan-17,25-Jan-17,NA,,,,,,,
Y,46,2019,46_2019,Caso005,NA,CAYMA,NA,CON DUENHO,NA,NA,13-Feb-19,14-Feb-19,14-Feb-19,19-Feb-19,NA,NA,-71.54350258,-16.35595102,869408.8801,8188586.752,
Y,462,2016,462_2016,NA,18,CERRO COLORADO,NAZARENO 6TA ETAPA,NA,9/27/16,24-Sep-16,27-Sep-16,27-Sep-16,28-Sep-16,29-Sep-16,3,5,-71.54865668,-16.3262841,868913.3444,8191882.874,
Y,468,2016,468_2016,NA,NA,JLBYR,BENIGNO BALLON FARFAN,NA,10/1/16,26-Sep-16,1-Oct-16,1-Oct-16,3-Oct-16,3-Oct-16,5,7,-71.50911405,-16.44365555,872919.95,8178806.847,
Y,47,2019,47_2019,Caso006,NA,YURA,NA,NS,NA,NA,16-Feb-19,16-Feb-19,18-Feb-19,23-Feb-19,NA,NA,-71.61698,-16.3038,861645.6384,8194496.384,
Y,48,2019,48_2019,Caso007,NA,CAYMA,NA,NS,NA,NA,15-Feb-19,16-Feb-19,18-Feb-19,NA,NA,NA,-71.55114,-16.339685,868622.5143,8190402.716,
Y,480,2016,480_2016,NA,20,CERRO COLORADO,JLBYR SECTOR III,NA,10/10/16,7-Oct-16,10-Oct-16,10-Oct-16,11-Oct-16,12-Oct-16,3,5,-71.59438684,-16.33264008,864009.409,8191261.123,
Y,481,2016,481_2016,,NA,MARIANO MELGAR,CALLE ICA 508,,NA,NA,,11-Oct-16,11-Oct-16,NA,,,,,,,
Y,485,2016,485_2016,,NA,SACHACA,IRRIGAC HUARANGUILLO N° 1,,NA,NA,,11-Oct-16,12-Oct-16,NA,,,,,,,
Y,495,2016,495_2016,NA,23,CERRO COLORADO,JORGE CHAVEZ,NA,10/15/16,15-Oct-16,15-Oct-16,15-Oct-16,17-Oct-16,18-Oct-16,0,3,-71.54519947,-16.3235226,869288.3918,8192182.544,
Y,51,2018,51_2018,Caso008,3,CERRO COLORADO,JLBYR SECTOR 9 AMPLIACION,CON DUENHO,2/13/18,10-Feb-18,13-Feb-18,13-Feb-18,13-Feb-18,15-Feb-18,3,5,-71.61768,-16.351608,861482.7498,8189201.38,
Y,52,2018,52_2018,Caso009,4,CERRO COLORADO,PERUARBO SECTOR PERU 3,CON DUENHO,2/14/18,10-Feb-18,14-Feb-18,14-Feb-18,14-Feb-18,15-Feb-18,4,5,-71.59883,-16.352282,863497.7226,8189093.071,
Y,52,2021,52_2021,Caso016,NA,PEDREGAL,CIUDAD MAJES MODULO B,NA,2/24/21,22-Feb-21,24-Feb-21,24-Feb-21,25-Feb-21,27-Feb-21,2,5,-72.18033884,-16.3277413,801351.0575,8192761.882,
Y,534,2016,534_2016,NA,28,CERRO COLORADO,NUEVA AREQUIPA,NA,11/17/16,17-Nov-16,17-Nov-16,17-Nov-16,17-Nov-16,19-Nov-16,0,2,-71.58992556,-16.33837193,864476.0037,8190618.132,
Y,54,2024,54_2024,Caso002,NA,CERRO COLORADO,Villa Progreso,CON DUENHO,2/13/24,NA,13-Feb-24,13-Feb-24,14-Feb-24,15-Feb-24,NA,NA,-71.54766915,-16.31042615,869048.7706,8193637.96,
Y,56,2021,56_2021,Caso017,NA,CERRO COLORADO,PROFAN 1RA ETAPA,NA,2/26/21,25-Feb-21,26-Feb-21,27-Feb-21,27-Feb-21,1-Mar-21,1,4,-71.63340684,-16.311133,859874.779,8193713.129,
Y,56,2023,56_2023,Caso004,NA,CERRO COLORADO,APIPA 3 MZ F LOTE 21,CON DUENHO,2/17/23,15-Feb-23,17-Feb-23,17-Feb-23,17-Feb-23,18-Feb-23,2,3,-71.61011813,-16.33019529,862331.107,8191560.06,
Y,560,2015,560_2015,13,NA,MARIANO MELGAR,PSJE SR. DE HUANCA MZ2 L6,CON DUENHO,NA,7-Sep-15,7-Sep-15,7-Sep-15,7-Sep-15,8-Sep-15,0,1,-71.49618517,-16.40255789,874381.1417,8183336.315,
Y,562,2016,562_2016,NA,29,CERRO COLORADO,MERCADO MAYORISTA,NA,12/8/16,7-Dec-16,8-Dec-16,9-Dec-16,9-Dec-16,11-Dec-16,1,4,-71.58302859,-16.32566277,865237.418,8192013.737,
Y,563,2016,563_2016,NA,30,CERRO COLORADO,SANTA ISABEL ZONA II,NA,12/11/16,7-Dec-16,9-Dec-16,11-Dec-16,12-Dec-16,11-Dec-16,2,4,-71.58124094,-16.33749293,865406.6407,8190699.921,
Y,57,2017,57_2017,Caso006,4,CERRO COLORADO,VILLA MAJISTERIAL,CON DUENHO,2/1/17,28-Jan-17,1-Feb-17,1-Feb-17,1-Feb-17,3-Feb-17,4,6,-71.57386406,-16.32258209,866223.5678,8192338.556,
Y,571,2016,571_2016,,NA,UCHUMAYO,,,NA,NA,,16-Dec-16,19-Dec-16,NA,,,,,,,
Y,576,2016,576_2016,NA,33,CERRO COLORADO,CERRILLOS,NA,12/19/16,19-Dec-16,21-Dec-16,21-Dec-16,21-Dec-16,23-Dec-16,2,4,-71.55066935,-16.31380686,868721.44,8193268.854,
Y,609,2015,609_2015,14,NA,MARIANO MELGAR,NUEVO MILENIUM,SIN DUENHO,NA,NA,26-Sep-15,28-Sep-15,28-Sep-15,28-Sep-15,NA,NA,-71.4839463,-16.3924328,875709.4818,8184435.456,
Y,61,2021,61_2021,Caso018,NA,CERRO COLORADO,LAS LOMAS,NA,2/28/21,24-Feb-21,28-Feb-21,1-Mar-21,1-Mar-21,3-Mar-21,4,7,-71.63603084,-16.36436253,859496.5592,8187821.003,
Y,653,2015,653_2015,15,NA,MARIANO MELGAR,PANAMA 347,CON DUENHO,NA,NA,13-Oct-15,13-Oct-15,14-Oct-15,15-Oct-15,NA,NA,-71.49329888,-16.40240654,874690.1038,8183347.744,
Y,68,2021,68_2021,Caso019,NA,PEDREGAL,NUEVO HORIZONTE EL BOSQUE,NA,3/3/21,26-Feb-21,3-Mar-21,3-Mar-21,3-Mar-21,5-Mar-21,5,7,-72.17536,-16.307302,801914.797,8195017.788,
Y,69,2016,69_2016,,NA,MIRAFLORES,E. MISTI LA ALAMEDA CALLE 1,,NA,NA,,1-Mar-16,1-Mar-16,NA,,,,,,,
Y,69,2022,69_2022,Caso007,NA,HUNTER,UPIS PAISAJISTA,CON DUENHO,3/22/22,21-Mar-22,22-Mar-22,22-Mar-22,23-Mar-22,24-Mar-22,1,3,-71.55672352,-16.46286521,867793.3751,8176765.939,
Y,696,2015,696_2015,16,NA,MARIANO MELGAR,SANTA ROSA,CON DUENHO,11/13/15,10-Nov-15,13-Nov-15,13-Nov-15,13-Nov-15,NA,3,NA,-71.50379518,-16.40288251,873566.6786,8183314.405,
Y,699,2015,699_2015,17,NA,MARIANO MELGAR,SENHOR DE LOS MILAGROS,CON DUENHO,11/17/15,13-Nov-15,16-Nov-15,18-Nov-15,18-Nov-15,NA,3,NA,-71.49571685,-16.39422949,874447.1781,8184258.186,
Y,704,2015,704_2015,18,NA,MARIANO MELGAR,PUEBLO LIBRE,SIN DUENHO,NA,NA,25-Nov-15,26-Nov-15,26-Nov-15,4-Dec-15,NA,NA,-71.49390975,-16.39492615,874639.1109,8184177.659,
Y,71,2021,71_2021,Caso020,NA,PEDREGAL,NA,NA,3/5/21,5-Mar-21,6-Mar-21,6-Mar-21,8-Mar-21,8-Mar-21,1,3,-72.180824,-16.310675,801325.33,8194652.378,
Y,711,2015,711_2015,19,NA,MARIANO MELGAR,NUEVO MILENIO B7,SIN DUENHO,NA,NA,2-Dec-15,3-Dec-15,3-Dec-15,4-Dec-15,NA,NA,-71.48548371,-16.39289249,875544.1725,8184387.375,
Y,73,2015,73_2015,2,NA,MIRAFLORES,UPIS EL SALVADOR,SIN DUENHO,3/22/15,22-Mar-15,22-Mar-15,23-Mar-15,25-Mar-15,NA,0,NA,-71.50150904,-16.37565627,873863.2013,8186326.674,
Y,73,2021,73_2021,Caso021,NA,PEDREGAL,LA COLINA,NA,3/6/21,5-Mar-21,6-Mar-21,6-Mar-21,6-Mar-21,6-Mar-21,1,1,-72.17603,-16.333763,801802.5342,8192088.702,
Y,75,2021,75_2021,Caso022,NA,CERRO COLORADO,CIUDAD MUNICIPAL,NA,3/9/21,NA,NA,9-Mar-21,9-Mar-21,11-Mar-21,NA,NA,-71.596666,-16.323315,863782.8719,8192298.268,
Y,88,2019,88_2019,Caso008,NA,CERRO COLORADO,NA,CON DUENHO,3/18/19,16-Mar-19,18-Mar-19,18-Mar-19,18-Mar-19,19-Mar-19,2,3,-71.61434554,-16.35615896,861831.0081,8188691.278,
Y,89,2018,89_2018,Caso012,5,CERRO COLORADO,JORGE CHAVEZ,CON DUENHO,3/12/18,10-Mar-18,11-Mar-18,13-Mar-18,14-Mar-18,16-Mar-18,1,6,-71.54373,-16.3241,869444.5138,8192115.906,
Y,9,2019,9_2019,Caso002,NA,MIRAFLORES,NA,NA,NA,NA,NA,17-Jan-19,17-Jan-19,17-Jan-19,NA,NA,-71.507675,-16.393171,873170.2962,8184397.526,
Y,90,2021,90_2021,Caso024,NA,YURA,ASOC. CAMINEROS EMPLEADOS,NA,3/12/21,12-Mar-21,12-Mar-21,13-Mar-21,13-Mar-21,15-Mar-21,0,3,-71.60477884,-16.3124546,862935.0354,8193515.902,
Y,91,2017,91_2017,Caso009,8,CERRO COLORADO,CIUDAD MUNICIPAL,CON DUENHO,3/24/17,17-Mar-17,21-Mar-17,25-Mar-17,27-Mar-17,NA,4,NA,-71.59476446,-16.32382748,863985.3458,8192238.093,
Y,92,2018,92_2018,,NA,J. L. B Y R,DOLORES S/N DETRÁS DEL HOTEL,,NA,NA,,17-Mar-18,19-Mar-18,NA,,,,,,,
Y,93,2018,93_2018,,NA,J. L. B Y R,PARQUE AL FRENTE DEL COLEGIO J. BASADRE,,NA,NA,,20-Mar-18,20-Mar-18,NA,,,,,,,
Y,97,2017,97_2017,,NA,UCHUMAYO,PUEBLO LIBRE VARIANTE DE UCHUMAYO LADO DE PICANTERIA MARILU,,NA,NA,,2-Mar-17,3-Mar-17,NA,,,,,,,
