taxon	lon	lat	district	ID_MUESTRA	year	case_regional	case_local	locality	dog_status	contain_date	infectious_period	noncontained_period	best_date	species	lon	lat			
563_2016_7-Dec-16	-71.581241	-16.337493	ccolorado	563	2016	NA	30	SANTA ISABEL ZONA II	NA	11/12/16	2	4	7-Dec-16	DOG	-71.581241	-16.337493			
57_2017_28-Jan-17	-71.573864	-16.322582	ccolorado	57	2017	Caso006	4	VILLA MAJISTERIAL	CON DUENHO	3/2/17	4	6	28-Jan-17	DOG	-71.573864	-16.322582			
571_2016_16-Dec-16	-71.670491	-16.424048	uchumayo	571	2016		NA			NA	NA	NA	16-Dec-16	DOG	-71.670491	-16.424048			
576_2016_19-Dec-16	-71.550669	-16.313807	ccolorado	576	2016	NA	33	CERRILLOS	NA	23/12/16	2	4	19-Dec-16	DOG	-71.550669	-16.313807			
609_2015_26-Sep-15	-71.483946	-16.392433	mmelgar	609	2015	14	NA	NUEVO MILENIUM	SIN DUENHO	28/09/15	NA	NA	26-Sep-15	DOG	-71.483946	-16.392433			
61_2021_24-Feb-21	-71.636031	-16.364363	ccolorado	61	2021	Caso018	NA	LAS LOMAS	NA	3/3/21	4	7	24-Feb-21	DOG	-71.636031	-16.364363			
653_2015_13-Oct-15	-71.493299	-16.402407	mmelgar	653	2015	15	NA	PANAMA 347	CON DUENHO	15/10/15	NA	NA	13-Oct-15	DOG	-71.493299	-16.402407			
68_2021_26-Feb-21	-72.17536	-16.307302	pedregal	68	2021	Caso019	NA	NUEVO HORIZONTE EL BOSQUE	NA	5/3/21	5	7	26-Feb-21	DOG	-72.17536	-16.307302			
69_2016_1-Mar-16	-71.513289	-16.394621	miraflores	69	2016		NA	E. MISTI LA ALAMEDA CALLE 1		NA	NA	NA	1-Mar-16	DOG	-71.513289	-16.394621			
69_2022_21-Mar-22	-71.556724	-16.462865	hunter	69	2022	Caso007	NA	UPIS PAISAJISTA	CON DUENHO	24/03/22	1	3	21-Mar-22	DOG	-71.556724	-16.462865			
696_2015_10-Nov-15	-71.503795	-16.402883	mmelgar	696	2015	16	NA	SANTA ROSA	CON DUENHO	NA	3	NA	10-Nov-15	DOG	-71.503795	-16.402883			
699_2015_13-Nov-15	-71.495717	-16.394229	mmelgar	699	2015	17	NA	SENHOR DE LOS MILAGROS	CON DUENHO	NA	3	NA	13-Nov-15	DOG	-71.495717	-16.394229			
704_2015_25-Nov-15	-71.49391	-16.394926	mmelgar	704	2015	18	NA	PUEBLO LIBRE	SIN DUENHO	4/12/15	NA	NA	25-Nov-15	DOG	-71.49391	-16.394926			
71_2021_5-Mar-21	-72.180824	-16.310675	pedregal	71	2021	Caso020	NA	NA	NA	8/3/21	1	3	5-Mar-21	DOG	-72.180824	-16.310675			
711_2015_2-Dec-15	-71.485484	-16.392892	mmelgar	711	2015	19	NA	NUEVO MILENIO B7	SIN DUENHO	4/12/15	NA	NA	2-Dec-15	DOG	-71.485484	-16.392892			
73_2015_22-Mar-15	-71.501509	-16.375656	miraflores	73	2015	2	NA	UPIS EL SALVADOR	SIN DUENHO	NA	0	NA	22-Mar-15	DOG	-71.501509	-16.375656			
73_2021_5-Mar-21	-72.17603	-16.333763	pedregal	73	2021	Caso021	NA	LA COLINA	NA	6/3/21	1	1	5-Mar-21	DOG	-72.17603	-16.333763			
75_2021_9-Mar-21	-71.596666	-16.323315	ccolorado	75	2021	Caso022	NA	CIUDAD MUNICIPAL	NA	11/3/21	NA	NA	9-Mar-21	DOG	-71.596666	-16.323315			
88_2019_16-Mar-19	-71.614346	-16.356159	ccolorado	88	2019	Caso008	NA	NA	CON DUENHO	19/03/19	2	3	16-Mar-19	DOG	-71.614346	-16.356159			
89_2018_10-Mar-18	-71.54373	-16.3241	ccolorado	89	2018	Caso012	5	JORGE CHAVEZ	CON DUENHO	16/03/18	1	6	10-Mar-18	DOG	-71.54373	-16.3241			
9_2019_17-Jan-19	-71.507675	-16.393171	miraflores	9	2019	Caso002	NA	NA	NA	17/01/19	NA	NA	17-Jan-19	DOG	-71.507675	-16.393171			
90_2021_12-Mar-21	-71.604779	-16.312455	yura	90	2021	Caso024	NA	ASOC. CAMINEROS EMPLEADOS	NA	15/03/21	0	3	12-Mar-21	DOG	-71.604779	-16.312455			
91_2017_17-Mar-17	-71.594764	-16.323827	ccolorado	91	2017	Caso009	8	CIUDAD MUNICIPAL	CON DUENHO	NA	4	NA	17-Mar-17	DOG	-71.594764	-16.323827			
92_2018_17-Mar-18	-71.52698	-16.414707	jlbyr	92	2018	Caso013	NA	DOLORES S/N DETRÁS DEL HOTEL		NA	NA	NA	17-Mar-18	DOG	-71.52698	-16.414707			
93_2018_20-Mar-18	-71.526474	-16.4332	jlbyr	93	2018	Caso014	NA	PARQUE AL FRENTE DEL COLEGIO J. BASADRE		NA	NA	NA	20-Mar-18	DOG	-71.526474	-16.4332			
97_2017_2-Mar-17	-71.663105	-16.4249	uchumayo	97	2017	Caso012	NA	PUEBLO LIBRE VARIANTE DE UCHUMAYO LADO DE PICANTERIA MARILU		NA	NA	NA	2-Mar-17	DOG	-71.663105	-16.4249			
