Taxon	ID	district	sequenced.	ID_MUESTRA	year	country	case_regional	case_local	locality	dog_status	complaint_date	symptom_date	kill_date	sample_date	ship_date	contain_date	infectious_period	noncontained_period	lon	lat	x_utm	y_utm	X.1	best_date	species
468_2016_26-Sep-16	468_2016	jlbyr	Y	468	2016	Peru	NA	NA	BENIGNO BALLON FARFAN	NA	10/1/16	26/09/16	1/10/16	1/10/16	3/10/16	3/10/16	5	7	-71.50911405	-16.44365555	872919.95	8178806.847	NA	26-Sep-16	DOG
183_2023_26-Apr-23	183_2023	mmelgar	Y	183	2023	Peru	Caso013	NA	AV JESUS 513	COMUNITARIO	4/30/23	26/04/23	2/5/23	2/5/23	3/5/23	5/5/23	6	9	-71.51362591	-16.40791216	872505.7655	8182775.271	NA	26-Apr-23	DOG
367_2015_13-Jul-15	367_2015	mmelgar	Y	367	2015	Peru	9	NA	SANTA ROSA	CON DUENHO	7/16/15	13/07/15	17/07/15	17/07/15	17/07/15	NA	4	NA	-71.50720846	-16.40813318	873191.6231	8182738.962	NA	13-Jul-15	DOG
696_2015_10-Nov-15	696_2015	mmelgar	Y	696	2015	Peru	16	NA	SANTA ROSA	CON DUENHO	11/13/15	10/11/15	13/11/15	13/11/15	13/11/15	NA	3	NA	-71.50379518	-16.40288251	873566.6786	8183314.405	NA	10-Nov-15	DOG
273_2023_21-Jun-23	273_2023	mmelgar	Y	273	2023	Peru	Caso020	NA	: Ampliaci√≥n ATALAYA mz Q - lote 2	 Referencia: Cerca al cruce de Atalaya	CON DUENHO	21/06/23	18/06/23	21/06/23	21/06/23	21/06/23	6/23/23	3	-71.4966804	-16.39621416	874340.3275	8184040.078	NA	21-Jun-23	DOG
560_2015_7-Sep-15	560_2015	mmelgar	Y	560	2015	Peru	13	NA	PSJE SR. DE HUANCA MZ2 L6	CON DUENHO	NA	7/9/15	7/9/15	7/9/15	7/9/15	8/9/15	0	1	-71.49618517	-16.40255789	874381.1417	8183336.315	NA	7-Sep-15	DOG
699_2015_13-Nov-15	699_2015	mmelgar	Y	699	2015	Peru	17	NA	SENHOR DE LOS MILAGROS	CON DUENHO	11/17/15	13/11/15	16/11/15	18/11/15	18/11/15	NA	3	NA	-71.49571685	-16.39422949	874447.1781	8184258.186	NA	13-Nov-15	DOG
704_2015_25-Nov-15	704_2015	mmelgar	Y	704	2015	Peru	18	NA	PUEBLO LIBRE	SIN DUENHO	NA	NA	25/11/15	26/11/15	26/11/15	4/12/15	NA	NA	-71.49390975	-16.39492615	874639.1109	8184177.659	NA	25-Nov-15	DOG
653_2015_13-Oct-15	653_2015	mmelgar	Y	653	2015	Peru	15	NA	PANAMA 347	CON DUENHO	NA	NA	13/10/15	13/10/15	14/10/15	15/10/15	NA	NA	-71.49329888	-16.40240654	874690.1038	8183347.744	NA	13-Oct-15	DOG
711_2015_2-Dec-15	711_2015	mmelgar	Y	711	2015	Peru	19	NA	NUEVO MILENIO B7	SIN DUENHO	NA	NA	2/12/15	3/12/15	3/12/15	4/12/15	NA	NA	-71.48548371	-16.39289249	875544.1725	8184387.375	NA	2-Dec-15	DOG
609_2015_26-Sep-15	609_2015	mmelgar	Y	609	2015	Peru	14	NA	NUEVO MILENIUM	SIN DUENHO	NA	NA	26/09/15	28/09/15	28/09/15	28/09/15	NA	NA	-71.4839463	-16.3924328	875709.4818	8184435.456	NA	26-Sep-15	DOG
41_2024_2-Feb-24	41_2024	mmelgar	Y	41	2024	Peru	Caso001	NA	SAN GERONIMO	SIN DUEHO	2/2/24	NA	NA	2/2/24	2/2/24	6/2/24	NA	NA	-71.48109962	-16.40224446	875995.066	8183343.087	NA	2-Feb-24	DOG
183_2019_13-Jun-19	183_2019	mmelgar	Y	183	2019	Peru	Caso016	NA	NA	NS	NA	NA	13/06/19	13/06/19	13/06/19	18/06/19	NA	NA	-71.47797	-16.396154	876341.4918	8184012.07	NA	13-Jun-19	DOG
386_2016_21-Jul-16	386_2016	mmelgar	Y	386	2016	Peru		NA	PPJJ ARTURO VILLEGAS MZ A LT 5		NA	NA	NA	21/07/16	22/07/16	NA	NA	NA	-71.49612593	-16.40575491	NA	NA	NA	21-Jul-16	DOG
481_2016_11-Oct-16	481_2016	mmelgar	Y	481	2016	Peru		NA	CALLE ICA 508		NA	NA	NA	11/10/16	11/10/16	NA	NA	NA	-71.51231033	-16.40285378	NA	NA	NA	11-Oct-16	DOG
159_2017_28-Apr-17	159_2017	mmelgar	Y	159	2017	Peru	Caso020	NA	AAHH MIRADOR MZ C LT 12		NA	NA	NA	28/04/17	2/5/17	NA	NA	NA	-71.4906797	-16.39438124	NA	NA	NA	28-Apr-17	DOG
319_2017_4-Oct-17	319_2017	mmelgar	Y	319	2017	Peru	Caso041	NA	HEROES DEL CENEPA ZN C W-6		NA	NA	NA	4/10/17	4/10/17	NA	NA	NA	-71.48023315	-16.39120303	NA	NA	NA	4-Oct-17	DOG
375_2017_23-Nov-17	375_2017	mmelgar	Y	375	2017	Peru	Caso046	NA	ASC LOS ROSALES MZ E LT 2		NA	NA	NA	23/11/17	23/11/17	NA	NA	NA	-71.49501346	-16.39657603	NA	NA	NA	23-Nov-17	DOG
219_2024_7-Aug-24	219_2024	miraflores	Y	219	2024	Peru	Caso005	NA	Calle Jorge Polar 312	CON DUENHO	8/13/24	7/8/24	12/8/24	12/8/24	12/8/24	13/08/24		NA	-71.516342	-16.391328	NA	NA	NA	7-Aug-24	DOG
9_2019_17-Jan-19	9_2019	miraflores	Y	9	2019	Peru	Caso002	NA	NA	NA	NA	NA	NA	17/01/19	17/01/19	17/01/19	NA	NA	-71.507675	-16.393171	873170.2962	8184397.526	NA	17-Jan-19	DOG
225_2019_23-Jul-19	225_2019	miraflores	Y	225	2019	Peru	Caso018	NA	NA	NS	NA	NA	23/07/19	23/07/19	23/07/19	25/07/19	NA	NA	-71.50570585	-16.37430758	873416.8898	8186483.833	NA	23-Jul-19	DOG
272_2019_21-Aug-19	272_2019	miraflores	Y	272	2019	Peru	Caso026	NA	NA	NS	8/29/19	21/08/19	28/08/19	3/9/19	3/9/19	30/08/19	7	9	-71.50561413	-16.37646654	873422.5829	8186244.466	NA	21-Aug-19	DOG
289_2019_14-Sep-19	289_2019	miraflores	Y	289	2019	Peru	Caso029	NA	NA	NA	9/16/19	14/09/19	16/09/19	16/09/19	16/09/19	18/09/19	2	4	-71.5039008	-16.37467462	873609.2555	8186439.843	NA	14-Sep-19	DOG
73_2015_22-Mar-15	73_2015	miraflores	Y	73	2015	Peru	2	NA	UPIS EL SALVADOR	SIN DUENHO	3/22/15	22/03/15	22/03/15	23/03/15	25/03/15	NA	0	NA	-71.50150904	-16.37565627	873863.2013	8186326.674	NA	22-Mar-15	DOG
40_2025_8-Mar-25	40_2025	miraflores	Y	40	2025	Peru	Caso002	NA	Galaxias	CON DUENHO	9/3/25	8/3/25	11/3/25	11/3/25	11/3/25	NA	NA	NA	-71.49377435	-16.37627058	NA	NA	NA	8-Mar-25	DOG
69_2016_1-Mar-16	69_2016	miraflores	Y	69	2016	Peru		NA	E. MISTI LA ALAMEDA CALLE 1		NA	NA	NA	1/3/16	1/3/16	NA	NA	NA	-71.51328883	-16.394621	NA	NA	NA	1-Mar-16	DOG
103_2022_15-Apr-22	103_2022	mollebaya	Y	103	2022	Peru	Caso010	NA	ASOC HUERTO DEL EDEN	CON DUENHO	4/15/22	15/04/22	16/04/22	16/04/22	18/04/22	19/04/22	1	4	-71.5132039	-16.49196629	872390.2118	8173461.911	NA	15-Apr-22	DOG
232_2023_24-May-23	232_2023	mollebaya	Y	232	2023	Peru	Caso016	NA	Amigos de San Miguel mz J lote 9 Alto Pajonal	CON DUENHO	5/29/23	24/05/23	28/05/23	29/05/23	29/05/23	31/05/23	NA	NA	-71.48877308	-16.51092123	NA	NA	NA	24-May-23	DOG
435_2018_14-Nov-18	435_2018	paucarpata	Y	435	2018	Peru	Caso045	NA	NA	NS	NA	NA	14/11/18	14/11/18	14/11/18	NA	NA	NA	-71.51325918	-16.41191557	872537.3483	8182331.049	NA	14-Nov-18	DOG
162_2024_27-Apr-24	162_2024	paucarpata	Y	162	2024	Peru	Caso004	NA	Villa Maria el Triunfo	SIN DUENHO	4/29/24	27/04/24	29/04/24	29/04/24	29/04/24	3/5/24	2	6	-71.51037962	-16.4198272	872830.1747	8181449.194	NA	27-Apr-24	DOG
175_2023_20-Apr-23	175_2023	paucarpata	Y	175	2023	Peru	Caso012	NA	Calle Bolivar s/n	CON DUENHO	4/22/23	20/04/23	22/04/23	22/04/23	24/04/23	25/04/23	2	5	-71.502463	-16.43881	873640.3707	8179331.412	NA	20-Apr-23	DOG
42_2020_6-Feb-20	42_2020	paucarpata	Y	42	2020	Peru	Caso006	NA	NA	NA	2/13/20	6/2/20	9/2/20	13/02/20	13/02/20	15/02/20	3	9	-71.49382107	-16.42870613	874583.8044	8180434.863	NA	6-Feb-20	DOG
202_2021_10-Jun-21	202_2021	pedregal	Y	202	2021	Peru	Caso041	NA	LOS MOLLES	CON DUENHO	6/14/21	10/6/21	14/06/21	14/06/21	15/06/21	17/06/21	4	7	-72.20092481	-16.3489947	799117.5441	8190438.856	NA	10-Jun-21	LIVESTOCK
250_2021_9-Aug-21	250_2021	pedregal	Y	250	2021	Peru	Caso048	NA	PEDREGAL SUR II ETAPA	SIN DUENHO	8/9/21	9/8/21	10/8/21	10/8/21	11/8/21	12/8/21	1	3	-72.19833388	-16.38321775	799342.2911	8186645.505	NA	9-Aug-21	LIVESTOCK
236_2022_4-Sep-22	236_2022	pedregal	Y	236	2022	Peru	Caso028	NA	NA	CON DUENHO	9/7/22	4/9/22	7/9/22	7/9/22	7/9/22	8/9/22	3	4	-72.19504	-16.335434	799767.4034	8191931.773	NA	4-Sep-22	DOG
147_2021_12-Apr-21	147_2021	pedregal	Y	147	2021	Peru	Caso035	NA	CIUDAD MAJES	CON DUE√ëO	4/18/21	12/4/21	18/04/21	19/04/21	20/04/21	22/04/21	6	10	-72.18179114	-16.32494862	801200.0496	8193073.269	NA	12-Apr-21	DOG
71_2021_5-Mar-21	71_2021	pedregal	Y	71	2021	Peru	Caso020	NA	NA	NA	3/5/21	5/3/21	6/3/21	6/3/21	8/3/21	8/3/21	1	3	-72.180824	-16.310675	801325.33	8194652.378	NA	5-Mar-21	DOG
52_2021_22-Feb-21	52_2021	pedregal	Y	52	2021	Peru	Caso016	NA	CIUDAD MAJES MODULO B	NA	2/24/21	22/02/21	24/02/21	24/02/21	25/02/21	27/02/21	2	5	-72.18033884	-16.3277413	801351.0575	8192761.882	NA	22-Feb-21	DOG
34_2021_5-Feb-21	34_2021	pedregal	Y	34	2021	Peru	Caso014	NA	CIUDAD MAJES MODULO E SECTOR 2	NA	2/9/21	5/2/21	10/2/21	11/2/21	11/2/21	12/2/21	5	7	-72.17833375	-16.32003749	801577.2704	8193611.969	NA	5-Feb-21	DOG
73_2021_5-Mar-21	73_2021	pedregal	Y	73	2021	Peru	Caso021	NA	LA COLINA	NA	3/6/21	5/3/21	6/3/21	6/3/21	6/3/21	6/3/21	1	1	-72.17603	-16.333763	801802.5342	8192088.702	NA	5-Mar-21	DOG
107_2021_18-Mar-21	107_2021	pedregal	Y	107	2021	Peru	Caso029	NA	NA	NA	3/20/21	18/03/21	20/03/21	20/03/21	22/03/21	23/03/21	2	5	-72.17553218	-16.30828596	801894.8752	8194909.088	NA	18-Mar-21	DOG
68_2021_26-Feb-21	68_2021	pedregal	Y	68	2021	Peru	Caso019	NA	NUEVO HORIZONTE EL BOSQUE	NA	3/3/21	26/02/21	3/3/21	3/3/21	3/3/21	5/3/21	5	7	-72.17536	-16.307302	801914.797	8195017.788	NA	26-Feb-21	DOG
251_2021_9-Aug-21	251_2021	pedregal	Y	251	2021	Peru	Caso049	NA	LA GRANJA EL PARAISO	CON DUENHO	8/10/21	9/8/21	9/8/21	10/8/21	11/8/21	12/8/21	0	3	-72.17306338	-16.31916435	802142.1722	8193700.841	NA	9-Aug-21	DOG
485_2016_11-Oct-16	485_2016	sachaca	Y	485	2016	Peru		NA	IRRIGAC HUARANGUILLO N° 1		NA	NA	NA	11/10/16	12/10/16	NA	NA	NA	-71.57997204	-16.40529089	NA	NA	NA	11-Oct-16	DOG
270_2023_14-Jun-23	270_2023	socabaya	Y	270	2023	Peru	Caso019	NA	URB SAN FRANCISCO SAN PABLO D_8	NA	6/17/23	14/06/23	17/06/23	17/06/23	20/06/23	21/06/23	3	7	-71.54076937	-16.45790892	869508.372	8177285.896	NA	14-Jun-23	DOG
46_2017_25-Jan-17	46_2017	socabaya	Y	46	2017	Peru	Caso005	NA	SAN FERNANDO ASERMUL D 11		NA	NA	NA	25/01/17	25/01/17	NA	NA	NA	-71.52299188	-16.46897646	NA	NA	NA	25-Jan-17	DOG
225_2023_22-May-23	225_2023	socabaya	Y	225	2023	Peru	Caso015	NA	PAMPAS VIEJAS S/N	CON DUENHO	NA	22/05/23	27/05/23	27/05/23	29/05/23	31/05/23	NA	NA	-71.54827689	-16.45473472	NA	NA	NA	22-May-23	DOG
240_2023_22-May-23	240_2023	socabaya	Y	240	2023	Peru	Caso017	NA	LA MANSION II  M_6	CON DUENHO	6/2/23	22/05/23	26/05/23	2/6/23	2/6/23	6/6/23	NA	NA	-71.54889088	-16.46762652	NA	NA	NA	22-May-23	DOG
571_2016_16-Dec-16	571_2016	uchumayo	Y	571	2016	Peru		NA			NA	NA	NA	16/12/16	19/12/16	NA	NA	NA	-71.67049146	-16.42404763	NA	NA	NA	16-Dec-16	DOG
97_2017_2-Mar-17	97_2017	uchumayo	Y	97	2017	Peru	Caso012	NA	PUEBLO LIBRE VARIANTE DE UCHUMAYO LADO DE PICANTERIA MARILU		NA	NA	NA	2/3/17	3/3/17	NA	NA	NA	-71.66310493	-16.42489961	NA	NA	NA	2-Mar-17	DOG
16_2021_18-Jan-21	16_2021	yura	Y	16	2021	Peru	Caso007	NA	CIUDAD DE DIOS	CON DUENHO	1/24/21	18/01/21	24/01/21	24/01/21	25/01/21	25/01/21	6	7	-71.65079812	-16.30894284	858018.2404	8193986.409	NA	18-Jan-21	DOG
321_2023_24-Aug-23	321_2023	yura	Y	321	2023	Peru	Caso024	NA	Asociaci√≥n Bellavista - Las Ardillas Zona 1 J -9	CON DUENHO	8/25/23	24/08/23	26/08/23	26/08/23	28/08/23	26/08/23	2	2	-71.64627	-16.309694	858501.2939	8193895.231	NA	24-Aug-23	DOG
147_2022_9-Jun-22	147_2022	yura	Y	147	2022	Peru	Caso015	NA	LAS PERLAS	CON DUENHO	6/10/22	9/6/22	10/6/22	10/6/22	10/6/22	11/6/22	1	2	-71.64023135	-16.28942697	859184.3075	8196129.757	NA	9-Jun-22	DOG
225_2017_30-Jun-17	225_2017	yura	Y	225	2017	Peru	Caso029	NA	RESIDENTES PUNO	NA	7/2/17	30/06/17	3/7/17	3/7/17	3/7/17	3/7/17	3	3	-71.63782737	-16.3095575	859404.746	8193895.469	NA	30-Jun-17	DOG
25_2020_4-Feb-20	25_2020	yura	Y	25	2020	Peru	Caso003	NA	NA	CON DUENHO	2/4/20	NA	4/2/20	4/2/20	4/2/20	5/2/20	NA	NA	-71.63416176	-16.30158003	859811.4918	8194772.74	NA	4-Feb-20	DOG
30_2023_3-Feb-23	30_2023	yura	Y	30	2023	Peru	Caso003	NA	CIUDAD DE DIOS PROFAM MZ 3 LT 3	CON DUENHO	2/7/23	3/2/23	7/2/23	7/2/23	7/2/23	9/2/23	4	6	-71.62962094	-16.31970472	860264.09	8192756.855	NA	3-Feb-23	DOG
209_2018_16-May-18	209_2018	yura	Y	209	2018	Peru	Caso025	NA	NA	NS	NA	NA	16/05/18	18/05/18	18/05/18	18/05/18	NA	NA	-71.6272	-16.307352	860545.728	8194121.009	NA	16-May-18	DOG
374_2018_6-Oct-18	374_2018	yura	Y	374	2018	Peru	Caso037	NA	CIUDAD DE DIOS	NA	NA	NA	6/10/18	8/10/18	9/10/18	11/10/18	NA	NA	-71.627045	-16.293726	860587.2809	8195630.23	NA	6-Oct-18	DOG
152_2023_31-Mar-23	152_2023	yura	Y	152	2023	Peru	Caso009	NA	ASOCIACION DE VIVIENDASEL ALTIPLANO MZF LT 4	CON DUENHO	4/1/23	31/03/23	1/4/23	3/4/23	3/4/23	3/4/23	1	3	-71.62690187	-16.30825707	860575.9633	8194020.217	NA	31-Mar-23	DOG
244_2019_30-Jul-19	244_2019	yura	Y	244	2019	Peru	Caso023	NA	NA	NS	8/7/19	30/07/19	7/8/19	7/8/19	8/8/19	14/08/19	8	15	-71.62578761	-16.29681517	860716.1498	8195285.785	NA	30-Jul-19	DOG
236_2019_1-Aug-19	236_2019	yura	Y	236	2019	Peru	Caso020	NA	NA	NA	NA	NA	1/8/19	1/8/19	2/8/19	31/07/19	NA	NA	-71.62386	-16.328714	860863.8294	8191748.591	NA	1-Aug-19	DOG
227_2019_24-Jul-19	227_2019	yura	Y	227	2019	Peru	Caso019	NA	NA	CON DUENHO	7/23/19	NA	24/07/19	24/07/19	25/07/19	26/07/19	NA	NA	-71.6234298	-16.32870047	860909.8737	8191749.326	NA	24-Jul-19	DOG
30_2021_4-Feb-21	30_2021	yura	Y	30	2021	Peru	Caso013	NA	COMITE 7	NA	2/5/21	4/2/21	5/2/21	7/2/21	8/2/21	9/2/21	1	5	-71.6234	-16.293974	860976.81	8195596.305	NA	4-Feb-21	DOG
375_2018_8-Oct-18	375_2018	yura	Y	375	2018	Peru	Caso038	NA	CIUDAD DE DIOS	NA	NA	NA	8/10/18	9/10/18	9/10/18	11/10/18	NA	NA	-71.6183252	-16.30910151	861491.9763	8193911.464	NA	8-Oct-18	DOG
47_2019_16-Feb-19	47_2019	yura	Y	47	2019	Peru	Caso006	NA	NA	NS	NA	NA	16/02/19	16/02/19	18/02/19	23/02/19	NA	NA	-71.61698	-16.3038	861645.6384	8194496.384	NA	16-Feb-19	DOG
140_2020_28-Nov-20	140_2020	yura	Y	140	2020	Peru	Caso017	NA	NA	NA	11/29/20	28/11/20	30/11/20	30/11/20	30/11/20	4/12/20	2	6	-71.61608093	-16.30290222	861743.4776	8194594.245	NA	28-Nov-20	DOG
41_2020_10-Feb-20	41_2020	yura	Y	41	2020	Peru	Caso005	NA	NA	CON DUENHO	2/12/20	10/2/20	11/2/20	13/02/20	13/02/20	14/02/20	1	4	-71.60915384	-16.3177206	862457.2747	8192940.317	NA	10-Feb-20	DOG
90_2021_12-Mar-21	90_2021	yura	Y	90	2021	Peru	Caso024	NA	ASOC. CAMINEROS EMPLEADOS	NA	3/12/21	12/3/21	12/3/21	13/03/21	13/03/21	15/03/21	0	3	-71.60477884	-16.3124546	862935.0354	8193515.902	NA	12-Mar-21	DOG
291_2016_11-Jun-16	291_2016	yura	Y	291	2016	Peru		NA	KM 14 CMTE 7 MZ K LT4 C. DE DIOS		NA	NA	NA	11/6/16	13/06/16	NA	NA	NA	-71.61092203	-16.31103879	NA	NA	NA	11-Jun-16	DOG
320_2019_20-Oct-19	320_2019	yura	Y	320	2019	Peru	Caso035	NA	AVIS ALTIPLANO KM 16 ZN A SEC 1 MZ B LT 4		NA	NA	20/10/19	20/10/19	21/10/19	NA	NA	NA	-71.63004626	-16.29985957	NA	NA	NA	20-Oct-19	DOG
10_2020_15-Jan-20	10_2020	yura	Y	10	2020	Peru	Caso001	NA	J. A QUIÑONES SECTOR VILLA QUIÑONES KM 14 MZ 38 LT 3 ZN 1 1RA ETAPA	CON DUENHO	1/18/20	15/01/20	18/01/20	18/01/20	20/01/20	22/01/20	NA	NA	-71.62229	-16.31943	NA	NA	NA	15-Jan-20	DOG
29_2021_5-Feb-21	29_2021	yura	Y	29	2021	Peru	Caso011	NA	ALTIPLANO		2/7/21	5/2/21	7/2/21	7/2/21	8/2/21	9/2/21	NA	NA	-71.627144	-16.307125	NA	NA	NA	5-Feb-21	DOG
