Taxon	ID	district	sequenced.	ID_MUESTRA	year	country	case_regional	case_local	locality	dog_status	complaint_date	symptom_date	kill_date	sample_date	ship_date	contain_date	infectious_period	noncontained_period	lon	lat	x_utm	y_utm	X.1	best_date	species
88_2019_16-Mar-19	88_2019	ccolorado	Y	88	2019	Peru	Caso008	NA	NA	CON DUENHO	3/18/19	16/03/19	18/03/19	18/03/19	18/03/19	19/03/19	2	3	-71.61434554	-16.35615896	861831.0081	8188691.278	NA	16-Mar-19	DOG
140_2018_6-Apr-18	140_2018	ccolorado	Y	140	2018	Peru	Caso018	7	JLBYR SECTOR 9	SIN DUENHO	4/14/18	6/4/18	14/04/18	14/04/18	14/04/18	17/04/18	8	11	-71.61238	-16.345425	862061.0546	8189876.907	NA	6-Apr-18	DOG
447_2018_25-Nov-18	447_2018	ccolorado	Y	447	2018	Peru	Caso047	NA	NA	NA	NA	NA	25/11/18	26/11/18	27/11/18	27/11/18	NA	NA	-71.612175	-16.35057	862073.4852	8189306.567	NA	25-Nov-18	DOG
56_2023_15-Feb-23	56_2023	ccolorado	Y	56	2023	Peru	Caso004	NA	APIPA 3 MZ F LOTE 21	CON DUENHO	2/17/23	15/02/23	17/02/23	17/02/23	17/02/23	18/02/23	2	3	-71.61011813	-16.33019529	862331.107	8191560.06	NA	15-Feb-23	DOG
145_2022_6-Jun-22	145_2022	ccolorado	Y	145	2022	Peru	Caso014	NA	JLByR SECTOR 5	SIN DUENHO	6/8/22	6/6/22	8/6/22	9/6/22	10/6/22	11/6/22	2	5	-71.60647222	-16.33964061	862703.6705	8190507.182	NA	6-Jun-22	DOG
35_2018_28-Jan-18	35_2018	ccolorado	Y	35	2018	Peru	Caso005	2	JLBYR SECTOR 6	CON DUENHO	1/28/18	28/01/18	30/01/18	31/01/18	1/2/18	2/2/18	2	5	-71.60505	-16.341963	862851.5085	8190247.362	NA	28-Jan-18	DOG
231_2021_14-Jul-21	231_2021	ccolorado	Y	231	2021	Peru	Caso044	NA	J.L.B Y RIVERO SECTOR V	CON DUENHO	7/15/21	14/07/21	15/07/21	16/07/21	16/07/21	17/07/21	1	3	-71.6040233	-16.33422596	862975.639	8191102.661	NA	14-Jul-21	DOG
52_2018_10-Feb-18	52_2018	ccolorado	Y	52	2018	Peru	Caso009	4	PERUARBO SECTOR PERU 3	CON DUENHO	2/14/18	10/2/18	14/02/18	14/02/18	14/02/18	15/02/18	4	5	-71.59883	-16.352282	863497.7226	8189093.071	NA	10-Feb-18	DOG
266_2022_26-Sep-22	266_2022	ccolorado	Y	266	2022	Peru	Caso031	NA	PERUARBO SECTOR III	CON DUENHO	9/27/22	26/09/22	27/09/22	27/09/22	27/09/22	28/09/22	1	2	-71.597638	-16.352273	863625.238	8189091.934	NA	26-Sep-22	DOG
75_2021_9-Mar-21	75_2021	ccolorado	Y	75	2021	Peru	Caso022	NA	CIUDAD MUNICIPAL	NA	3/9/21	NA	NA	9/3/21	9/3/21	11/3/21	NA	NA	-71.596666	-16.323315	863782.8719	8192298.268	NA	9-Mar-21	DOG
