null_raster,acc_50k_R
1,32.734607606718
1,32.9493320110308
1,32.9269095036764
1,33.7014881710144
1,33.0982304156437
1,33.0140735264931
1,33.5128401163902
1,33.1271736409566
1,32.9791256543312
1,32.7397542683338
1,33.6382587696505
1,33.8740763843263
1,32.4133577525819
1,33.0905368189763
1,32.7177287336096
1,32.8752072111438
1,32.8901925257855
1,32.3910604987942
1,32.764272533586
1,32.9786211069126
1,32.8245103318537
1,32.5161855831081
1,31.6844542522886
1,33.163033369865
1,33.5071458865351
1,33.6200137924902
1,33.2392351790093
1,33.1304704890723
1,32.6793075681953
1,32.9432352199489
1,33.6225868085138
1,32.6557517246988
1,33.8966108198459
1,32.4050644868063
1,33.1233925443806
1,32.7626709390993
1,32.3772433560863
1,33.6370385222061
1,32.4616383741333
1,32.9660940414403
1,32.7480748212378
1,33.4830808525216
1,33.1124043586718
1,33.3740913225115
1,32.9766151235528
1,33.2373546512461
1,32.597427685513
1,33.0467772090558
1,32.4349327689552
1,33.0073081511279
1,32.8101738467558
1,33.1841421862171
1,33.2926378852271
1,33.8234199857059
1,32.0957672994698
1,32.8400735155307
1,33.1430579864815
1,33.2393757450703
1,32.5906657375166
1,33.3043423659159
1,33.751912561293
1,32.9105522038587
1,32.4678406487553
1,33.4751786225485
1,32.3940713983347
1,33.3939293627039
1,33.5230660698927
1,32.9854034693982
1,33.3649027176684
1,32.8503798066753
1,32.648985919692
1,32.5693683054667
1,32.8556091142596
1,32.1529269657851
1,33.1964662842555
1,32.6500635783966
1,33.0811885908602
1,32.8648144897747
1,32.6405230951798
1,32.0100785880365
1,33.5875182479518
1,33.0270442165205
1,33.1797299710557
1,32.3603822883892
1,32.8907237353992
1,32.2259075291734
1,34.4096880186947
1,33.5282545854614
1,33.5426583322649
1,32.3649496421879
1,33.7316654363183
1,32.9528504378153
1,33.0021308811045
1,32.4910968228819
1,32.5014805411316
1,32.6897086006789
1,32.7249526326567
1,32.4209510474482
1,32.8944662325211
1,33.316492430586
