null_raster,acc_50k_R
1,318.346076913076
1,320.493319879213
1,320.26909572354
1,328.014882097472
1,321.982304088085
1,321.140735430929
1,326.128402423533
1,322.271737764959
1,320.79125729844
1,318.397543643522
1,327.382587393803
1,329.740765594378
1,315.133577887109
1,321.905369026262
1,318.177287912206
1,319.752072468656
1,319.901926418213
1,314.91060562915
1,318.642726650824
1,320.786211638727
1,319.245104727891
1,316.161856459269
1,307.844542962292
1,322.630334326839
1,326.07145854963
1,327.200138786814
1,323.392352231126
1,322.30470507625
1,317.793076290612
1,320.432352189725
1,327.225870099898
1,317.55751803141
1,329.966109292092
1,315.050646186282
1,322.233926472598
1,318.62671006869
1,314.772433492511
1,327.370385153709
1,315.616384441128
1,320.660940437187
1,318.480748251437
1,325.830809371112
1,322.124044620136
1,324.740913599424
1,320.766152212065
1,323.373546977906
1,316.974276467802
1,321.467772519875
1,315.349328988241
1,321.073082992241
1,319.101738711673
1,322.841422681939
1,323.926379838494
1,329.234200751945
1,311.957673876766
1,319.400736994304
1,322.430579799495
1,323.393757615073
1,316.906657690888
1,324.043423896763
1,328.519125616184
1,320.10552384829
1,315.67840785134
1,325.751786144113
1,314.940714813337
1,324.939293389434
1,326.230661411741
1,320.854035569539
1,324.649027489151
1,319.503798105945
1,317.489860352396
1,316.693683064431
1,319.55609162757
1,312.529270653839
1,322.964663570874
1,317.500635839488
1,321.811886706043
1,319.648146450316
1,317.405231827355
1,311.100787432934
1,326.875182948162
1,321.270443001705
1,322.797299433894
1,314.603823248437
1,319.907238234432
1,313.259075490281
1,335.096881540969
1,326.282546658565
1,326.426583768565
1,314.649496247744
1,328.316654882333
1,320.52850595025
1,321.021308547401
1,315.91096989368
1,316.014806734417
1,317.897086654507
1,318.249527381142
1,315.209511193806
1,319.944663064065
1,324.164925064243
