LR1_coefficients_null_raster	LR1_coefficients_acc_50k_C	LR1_R2_null_raster	LR1_R2_acc_50k_C	LR1_Q_acc_50k_C	LR2_coefficients_null_raster	LR2_coefficients_acc_50k_C	LR2_R2_null_raster	LR2_R2_acc_50k_C	LR2_Q_acc_50k_C
0.00863004999481997	0.294928915226118	0.0793160921171516	0.0857639242330628	0.00644783211591121	0.000241644107913695	0.314194689610311	0.0305711388789976	0.0402241173909366	0.00965297851193909
0.00709261107629482	0.212226863311399	0.0449666710408697	0.0404854241204613	-0.00448124692040837	0.000224017770843076	0.211710670430123	0.0165605544880432	0.0160349354162024	-0.000525619071840816
0.00769847013371499	0.239998804785313	0.0335535666281145	0.0331126498019109	-0.000440916826203661	0.000196993991523941	0.207883358237244	0.00738478822588077	0.00823238156189397	0.000847593336013199
0.0079298758932325	0.229261949584003	0.055084576564951	0.0441117051046571	-0.0109728714602939	0.000188869855617948	0.198642645471975	0.012215939462694	0.0112801974043611	-0.000935742058332875
0.0101198371814072	0.35352305179166	0.06595186519419	0.0741115466741224	0.00815968147993239	0.000253950686140568	0.324980278952446	0.0153472086003539	0.0208529055580481	0.00550569695769423
0.0103815247285852	0.35208456766135	0.102746853337434	0.112860124695902	0.0101132713584677	0.000359120810372496	0.471882116750305	0.0473112432349294	0.0649619691811497	0.0176507259462203
0.00913742416651822	0.276092697069374	0.0841101821855359	0.0725482895507594	-0.0115618926347765	0.000246866085276892	0.28038259383452	0.0239262214007748	0.0249357763626095	0.00100955496183468
0.00542224878980232	0.169637995315699	0.0253448912093719	0.0242822338511751	-0.00106265735819675	0.00015574062745962	0.151518909421923	0.00805667048913206	0.00733134812327344	-0.000725322365858624
0.01539722801696	0.496267822654748	0.165467990766538	0.162994939076375	-0.00247305169016301	0.000652824867390547	0.794760913046581	0.0927988747130182	0.115914848488432	0.023115973775414
0.010737504343198	0.342423028121775	0.0585023553875123	0.0573340225594561	-0.00116833282805617	0.000323571059226193	0.397586781606515	0.0190144301448975	0.0243309406580901	0.00531651051319259
0.00549878992216957	0.173836016450366	0.0245849513592039	0.0221331026604412	-0.0024518486987627	9.87359729298432e-05	0.134549485400797	0.00381890307275877	0.00546218487979622	0.00164328180703744
0.0115261337160456	0.378501877338766	0.122926690580589	0.118676991811219	-0.00424969876936965	0.000367525632975245	0.40162507442645	0.055723259915491	0.0529966390539292	-0.00272662086156177
0.0127863386901262	0.398133537215113	0.0995359562127789	0.0968030353718606	-0.00273292084091833	0.000457433698441386	0.517839948134763	0.0457991643310933	0.0544880355340755	0.00868887120298223
0.0100008336131982	0.307394805987754	0.0844613490272275	0.079041219099202	-0.0054201299280255	0.000288374849994646	0.289071878118074	0.0317780312418189	0.0302297623156867	-0.00154826892613219
0.0111541222942896	0.367732983081906	0.0743417296413102	0.0769402316929987	0.0025985020516885	0.000322477723366209	0.399956319977809	0.0241370622302761	0.0307186198877317	0.00658155765745566
