LR1_coefficients_null_raster	LR1_coefficients_acc_50k_R	LR1_R2_null_raster	LR1_R2_acc_50k_R	LR1_Q_acc_50k_R	LR2_coefficients_null_raster	LR2_coefficients_acc_50k_R	LR2_R2_null_raster	LR2_R2_acc_50k_R	LR2_Q_acc_50k_R
0.00863004999481997	0.000282683884732345	0.0793160921171516	0.0714899942233346	-0.00782609789381697	0.000241644107913695	2.90019683125565e-07	0.0305711388789976	0.0259684205423422	-0.00460271833665538
0.00709261107629482	0.000244027666217028	0.0449666710408697	0.0473841503209387	0.002417479280069	0.000224017770843076	2.39622974505453e-07	0.0165605544880432	0.0132209953127945	-0.00333955917524875
0.00769847013371499	0.000245581505748416	0.0335535666281145	0.0320529926134217	-0.00150057401469287	0.000196993991523941	1.93730106774917e-07	0.00738478822588077	0.00669454772872619	-0.000690240497154583
0.0079298758932325	0.000271220669557948	0.055084576564951	0.0608425856284622	0.00575800906351121	0.000188869855617948	1.7036129645242e-07	0.012215939462694	0.0100689012252499	-0.00214703823744404
0.0101198371814072	0.000303230312609537	0.06595186519419	0.0552707672950721	-0.010681097899118	0.000253950686140568	1.92578971080381e-07	0.0153472086003539	0.0081396434032434	-0.00720756519711046
0.0103815247285852	0.000317853196468988	0.102746853337434	0.0864153734103427	-0.0163314799270913	0.000359120810372496	3.39559392942489e-07	0.0473112432349294	0.0322812108503301	-0.0150300323845993
0.00913742416651822	0.000320042949938089	0.0841101821855359	0.0984151349775548	0.0143049527920189	0.000246866085276892	3.4156889954919e-07	0.0239262214007748	0.0342157291045194	0.0102895077037445
0.00542224878980232	0.000185714807941441	0.0253448912093719	0.0272039647595125	0.00185907355014068	0.00015574062745962	1.70452729354661e-07	0.00805667048913206	0.00788791911413089	-0.000168751375001169
0.01539722801696	0.000438663181492271	0.165467990766538	0.138712243668448	-0.02675574709809	0.000652824867390547	4.71869831703554e-07	0.0927988747130182	0.0586346338458355	-0.0341642408671827
0.010737504343198	0.000349528397299801	0.0585023553875123	0.0583674016414323	-0.000134953746080003	0.000323571059226193	3.33799489718912e-07	0.0190144301448975	0.0174603452829658	-0.00155408486193171
0.00549878992216957	0.000199020254985778	0.0245849513592039	0.0290562530280564	0.00447130166885254	9.87359729298432e-05	1.28552162922749e-07	0.00381890307275877	0.00484490845153129	0.00102600537877252
0.0115261337160456	0.000370254639126261	0.122926690580589	0.116530768409054	-0.0063959221715347	0.000367525632975245	4.57734261514597e-07	0.055723259915491	0.062729438896372	0.00700617898088096
0.0127863386901262	0.000414789308619797	0.0995359562127789	0.0924390588760911	-0.00709689733668784	0.000457433698441386	4.61292155726479e-07	0.0457991643310933	0.0352347415168795	-0.0105644228142138
0.0100008336131982	0.000347518318419898	0.0844613490272275	0.087922290016699	0.00346094098947149	0.000288374849994646	3.70780087404825e-07	0.0317780312418189	0.0357807760844877	0.00400274484266872
