null_raster,acc_50k_C
1,4.17346075667094
1,4.19493319841782
1,4.19269094735689
1,4.2701488192171
1,4.2098230371703
1,4.20140735118462
1,4.25128401505662
1,4.21271737144418
1,4.19791256242238
1,4.17397542496183
1,4.26382587305922
1,4.28740764315218
1,4.14133577908265
1,4.20905367994471
1,4.17177287669719
1,4.18752071619853
1,4.18901925200895
1,4.13910605232057
1,4.1764272650761
1,4.1978621100403
1,4.18245103578925
1,4.15161856408819
1,4.06844542742589
1,4.21630333308067
1,4.25071457547133
1,4.26200137597179
1,4.22392351676173
1,4.21304704060733
1,4.16793076170182
1,4.19432352061158
1,4.26225869321986
1,4.16557516823857
1,4.28966108808745
1,4.14050644331011
1,4.21233926121503
1,4.17626708705131
1,4.13772433324885
1,4.26370384872163
1,4.14616383871528
1,4.1966093953559
1,4.17480747528857
1,4.24830809929599
1,4.21124044579451
1,4.23740913111195
1,4.19766152394961
1,4.22373547326176
1,4.15974276464547
1,4.20467772270806
1,4.14349328373072
1,4.20073082097155
1,4.18101738418735
1,4.2184142335637
1,4.22926380325096
1,4.28234200771541
1,4.10957672734309
1,4.18400735700497
1,4.2143057972601
1,4.22393758020303
1,4.15906657293795
1,4.23043424155525
1,4.27519124970094
1,4.19105522421033
1,4.14678408017337
1,4.24751786201074
1,4.13940714162364
1,4.23939293561942
1,4.25230660454812
1,4.19854035515834
1,4.2364902716041
1,4.18503797544192
1,4.16489859449172
1,4.15693682940747
1,4.18556091606414
1,4.11529270129806
1,4.2196466298136
1,4.16500635996257
1,4.20811885819093
1,4.18648146159006
1,4.16405231594633
1,4.10100787043978
1,4.2587518208625
1,4.20270442189617
1,4.21797299181642
1,4.13603822647915
1,4.18907238070062
1,4.12259075177814
1,4.34096880333416
1,4.25282546847347
1,4.25426582508933
1,4.13649496812462
1,4.27316654704943
1,4.19528505094222
1,4.20021308607616
1,4.1491096959586
1,4.15014805932094
1,4.16897085909144
1,4.17249526424213
1,4.14209509953704
1,4.18944662504229
1,4.23164923931551
