null_raster,layer_C
1,24.8907849829351
1,7.82593856655292
1,11.2389078498294
1,14.6518771331058
1,14.6518771331058
1,7.82593856655292
1,7.82593856655292
1,14.6518771331058
1,18.0648464163822
1,11.2389078498294
1,14.6518771331058
1,24.8907849829351
1,14.6518771331058
1,11.2389078498294
1,11.2389078498294
1,7.84931506849315
1,11.2389078498294
1,21.4778156996587
1,14.6518771331058
1,14.6518771331058
1,11.2389078498294
1,7.82593856655292
1,11.2389078498294
1,18.0648464163822
1,11.2389078498294
1,7.84931506849316
1,14.6518771331058
1,18.0648464163822
1,28.3037542662117
1,21.4778156996587
1,7.82593856655293
1,14.6518771331059
1,7.82593856655292
1,14.6518771331058
1,11.2389078498294
1,18.0648464163822
1,14.6518771331059
1,28.3037542662116
1,18.0648464163822
1,11.2389078498294
1,18.0648464163822
1,14.6986301369863
1,14.6518771331058
1,7.82593856655293
1,11.2739726027397
1,7.82593856655293
1,11.2389078498294
1,18.1821305841924
1,14.6518771331058
1,11.2389078498294
1,7.82593856655292
1,11.2739726027397
1,7.82593856655292
1,7.84931506849315
1,7.82593856655293
1,11.2389078498294
1,21.5479452054794
1,7.82593856655292
1,11.2389078498293
1,18.0648464163822
1,11.2389078498294
1,14.6518771331058
1,7.82593856655292
1,14.6518771331058
1,11.2389078498294
1,11.2389078498294
1,14.6518771331058
1,18.0648464163822
1,14.6518771331058
1,14.6986301369863
1,11.2389078498293
1,14.6518771331058
1,11.2389078498293
1,18.0648464163822
1,7.84931506849316
1,18.1232876712329
1,28.3037542662117
1,14.6518771331058
1,24.8907849829351
1,24.8907849829351
1,14.7457044673539
1,11.2389078498293
1,11.2389078498294
1,18.0648464163822
1,11.2389078498294
1,14.6518771331059
1,7.82593856655293
1,11.2389078498294
1,11.2389078498294
1,14.6518771331058
1,21.4778156996587
1,7.82593856655293
1,11.2389078498294
1,14.6518771331058
1,11.2389078498294
1,7.82593856655293
1,21.4778156996587
1,14.6518771331058
1,14.6518771331059
1,11.2389078498293
