LR1_coefficients_null_raster	LR1_coefficients_layer_R	LR1_R2_null_raster	LR1_R2_layer_R	LR1_Q_layer_R	LR2_coefficients_null_raster	LR2_coefficients_layer_R	LR2_R2_null_raster	LR2_R2_layer_R	LR2_Q_layer_R
0.00900567904249643	0.00245616818661469	0.0852539411500502	0.0504583700947106	-0.0347955710553397	0.000249312213201075	2.63786086283475e-05	0.0318336213661083	0.0208273977206274	-0.0110062236454808
0.00709261107629482	0.00150747185192164	0.0449666710408697	0.0144264807588382	-0.0305401902820315	0.000224017770843076	1.72767425726268e-05	0.0165605544880432	0.0053928053969769	-0.0111677490910663
0.00769847013371499	0.00160150308854083	0.0335535666281145	0.0104369768563857	-0.0231165897717289	0.000196993991523941	1.94132057732357e-05	0.00738478822588077	0.00336257531967965	-0.00402221290620112
0.0079298758932325	0.00173268481707141	0.055084576564951	0.0213336206469009	-0.03375095591805	0.000188869855617948	2.59658022557588e-05	0.012215939462694	0.0109027170542868	-0.00131322240840711
0.0101198371814072	0.00209086345050024	0.06595186519419	0.0202291016203403	-0.0457227635738497	0.000253950686140568	2.55511321609461e-05	0.0153472086003539	0.00709516266845055	-0.00825204593190331
0.0103815247285852	0.00330530996017195	0.102746853337434	0.0743975703671756	-0.0283492829702584	0.000359120810372496	5.4784986831096e-05	0.0473112432349294	0.0505872374767747	0.00327599424184528
0.00913742416651822	0.00236563307461029	0.0841101821855359	0.0408068597741309	-0.043303322411405	0.000246866085276892	3.19523665664174e-05	0.0239262214007748	0.0165459954329588	-0.00738022596781603
0.00542119302342565	0.00176866717871237	0.0269398561823459	0.0202604670675401	-0.00667938911480587	0.00017305460116603	2.50826473732025e-05	0.0112881689540197	0.013678134383934	0.00238996542991433
0.01539722801696	0.0046815721011369	0.165467990766538	0.110374374346275	-0.055093616420263	0.000652824867390547	0.00010092642051897	0.0927988747130182	0.0809604924538563	-0.0118383822591619
0.010737504343198	0.00273615668610979	0.0585023553875123	0.0321487543971042	-0.0263536009904081	0.000323571059226193	4.08013710415142e-05	0.0190144301448975	0.0167329672680757	-0.00228146287682182
0.00549878992216957	0.0015025332963179	0.0245849513592039	0.0136430015877924	-0.0109419497714115	9.87359729298432e-05	1.03828366384121e-05	0.00381890307275877	0.00222720751483232	-0.00159169555792646
0.0115261337160456	0.00329101541699276	0.122926690580589	0.0702901288748278	-0.0526365617057614	0.000367525632975245	3.27727891663871e-05	0.055723259915491	0.0224299791186677	-0.0332932807968233
0.0127863386901262	0.00315967431903638	0.0995359562127789	0.0484859351506683	-0.0510500210621107	0.000457433698441386	5.1998313758492e-05	0.0457991643310933	0.037262337042526	-0.00853682728856724
0.0100008336131982	0.00262870796011795	0.0844613490272275	0.0431340911977077	-0.0413272578295198	0.000288374849994646	3.0397970670844e-05	0.0317780312418189	0.0168179908120156	-0.0149600404298034
0.0111541222942896	0.00350390712810328	0.0743417296413102	0.0552193344887626	-0.0191223951525476	0.000322477723366209	5.39870809937041e-05	0.0241370622302761	0.0325436468775157	0.0084065846472396
0.000783351558969244	0.000296800694996331	0.00116282351688106	0.00173479230781746	0.000571968790936395	2.18234724131565e-05	6.28281473862356e-06	0.000695173986111855	0.0039762586055743	0.00328108461946244
0.00877267361114184	0.00201092797389564	0.0556724246546388	0.0195315818073616	-0.0361408428472772	0.00025601475533184	2.45767197818025e-05	0.0159534394381643	0.00655719673883087	-0.00939624269933346
0.0115574832127823	0.00142083917565766	0.0953785462426279	0.011046293779018	-0.08433225246361	0.00039216720633382	1.71321285666671e-05	0.0410470455932175	0.00367422898248837	-0.0373728166107291
0.00874457227931466	0.00166695190829741	0.0616370359087082	0.0174717306526102	-0.044165305256098	0.000220282374965409	2.13755340252651e-05	0.0155137885765447	0.0088716592459447	-0.00664212933059995
