LR1_coefficients_null_raster	LR1_coefficients_layer_C	LR1_R2_null_raster	LR1_R2_layer_C	LR1_Q_layer_C	LR2_coefficients_null_raster	LR2_coefficients_layer_C	LR2_R2_null_raster	LR2_R2_layer_C	LR2_Q_layer_C
0.00900567904249643	0.0121596215107374	0.0852539411500502	0.0779430255226861	-0.00731091562736418	0.000249312213201075	0.000530265283598615	0.0318336213661083	0.0311506458581326	-0.000682975507975702
0.00709261107629482	0.0111774141269988	0.0449666710408697	0.0536305097290789	0.00866383868820923	0.000224017770843076	0.000540920475223927	0.0165605544880432	0.0196766134496976	0.00311605896165437
0.00769847013371499	0.0117770527564152	0.0335535666281145	0.0418772097525767	0.00832364312446222	0.000196993991523941	0.000483260139257205	0.00738478822588077	0.0120595761738589	0.0046747879479781
0.0079298758932325	0.013665446770879	0.055084576564951	0.0777789051595377	0.0226943285945867	0.000188869855617948	0.000515177834425099	0.012215939462694	0.0216883595361584	0.00947242007346446
0.0101198371814072	0.0167645462788447	0.06595186519419	0.0935595095556007	0.0276076443614106	0.000253950686140568	0.000641795360273125	0.0153472086003539	0.0250845954996455	0.00973738689929168
0.0103815247285852	0.0136336927256648	0.102746853337434	0.101040567160746	-0.00170628617668767	0.000359120810372496	0.000598331718739215	0.0473112432349294	0.0409838828694365	-0.00632736036549286
0.00913742416651822	0.0127766286979878	0.0841101821855359	0.0883702491890559	0.00426006700352004	0.000246866085276892	0.000475681524123802	0.0239262214007748	0.0254145707707851	0.00148834937001023
0.00542119302342565	0.00782079955541986	0.0269398561823459	0.0257870152945533	-0.0011528408877926	0.00017305460116603	0.000260582228871937	0.0112881689540197	0.00518948146247181	-0.00609868749154785
0.01539722801696	0.0184964778656483	0.165467990766538	0.136053732301386	-0.0294142584651525	0.000652824867390547	0.0009914277285265	0.0927988747130182	0.0765212613703	-0.0162776133427182
0.010737504343198	0.0142288127848607	0.0585023553875123	0.0552503127653825	-0.00325204262212981	0.000323571059226193	0.000593020198044695	0.0190144301448975	0.0188922832118135	-0.000122146933084013
0.00549878992216957	0.00963205168814233	0.0245849513592039	0.0349023647794902	0.0103174134202863	9.87359729298432e-05	0.000318118207059201	0.00381890307275877	0.00808713029535772	0.00426822722259894
0.0115261337160456	0.01592251846128	0.122926690580589	0.120204208553055	-0.00272248202753392	0.000367525632975245	0.000806074522016784	0.055723259915491	0.0683801277979941	0.0126568678825032
0.0127863386901262	0.017536543896804	0.0995359562127789	0.0973093437196589	-0.00222661249312002	0.000457433698441386	0.000757703363994581	0.0457991643310933	0.0345556326171798	-0.0112435317139135
0.0100008336131982	0.0157389866895378	0.0844613490272275	0.103830271821043	0.0193689227938153	0.000288374849994646	0.000700310289894897	0.0317780312418189	0.0456675327210173	0.0138895014791984
0.0111541222942896	0.016254156270412	0.0743417296413102	0.0840270098208947	0.00968528017958452	0.000322477723366209	0.000626495561907313	0.0241370622302761	0.026167619582269	0.00203055735199297
0.000783351558969244	-0.000223919899647425	0.00116282351688106	3.81898634985782e-05	-0.00112463365338249	2.18234724131565e-05	-9.00055545676989e-05	0.000695173986111855	0.00237161138624061	0.00167643740012876
0.00877267361114184	0.0126239439445897	0.0556724246546388	0.0640701726955306	0.00839774804089175	0.00025601475533184	0.000533803921340695	0.0159534394381643	0.0204928938623968	0.00453945442423251
0.0115574832127823	0.0172040735481948	0.0953785462426279	0.111225002403517	0.0158464561608889	0.00039216720633382	0.000868944137348707	0.0410470455932175	0.056503023205629	0.0154559776124115
0.00874457227931466	0.0130416730141221	0.0616370359087082	0.070019681922078	0.00838264601336983	0.000220282374965409	0.000442443290443957	0.0155137885765447	0.0167541770699199	0.00124038849337527
0.0138010025868565	0.018809893344253	0.120164968680673	0.12373503563521	0.00357006695453693	0.000457240538488876	0.000823428429572696	0.04707667355608	0.0471863660895125	0.000109692533432452
0.00732603451696526	0.0119056975310207	0.0340578194716023	0.0467232607939644	0.0126654413223621	0.000175454073976617	0.000369738055093683	0.00651692443953273	0.00845766138056713	0.0019407369410344
0.00923983757470773	0.0131235251056416	0.0731552822760087	0.0782052395057146	0.00504995722970585	0.000233236234231444	0.00049245898784168	0.019593422121112	0.0227204017550424	0.00312697963393035
0.0115298829587093	0.0176559406131181	0.0967952936282223	0.112327400835408	0.0155321072071854	0.000384205908874961	0.000897140070240343	0.0463471263200099	0.0572073385951264	0.0108602122751165
0.00950378985738997	0.0143792687498375	0.0647233213387936	0.0766712293796511	0.0119479080408574	0.000274852080694606	0.000706338484155377	0.0200303267275124	0.0329204758716191	0.0128901491441067
0.00808775639550999	0.0143827862779144	0.0471747793510105	0.0704045824245805	0.02322980307357	0.000191334587806279	0.000654472733768752	0.0106573660685388	0.0252594262886922	0.0146020602201533
0.000172055566317573	-0.000420886209152982	6.44512320803755e-05	0.00013634793644149	7.18967043611146e-05	1.4544014468291e-05	-1.49919826467902e-05	0.000322030739924693	5.28066275561655e-05	-0.000269224112368527
0.0122532806180355	0.0167254623197958	0.0869044944489116	0.0859407980381093	-0.00096369641080224	0.000435726434191198	0.000790524331352696	0.0347461497206748	0.0312469179411901	-0.00349923177948476
0.00781442047339453	0.0112211394828379	0.053647509824598	0.0609156416633654	0.00726813183876734	0.00025341847669129	0.000495753970200383	0.0177349223897723	0.0212524434196961	0.00351752102992388
0.0111382179985864	0.0144203099638601	0.0855927492099293	0.0709253038373338	-0.0146674453725954	0.000398066197785136	0.000831428435500218	0.0389847628601244	0.0422492006945266	0.00326443783440221
0.0096871422586595	0.0162946032127348	0.0769642420850322	0.103180082119995	0.0262158400349626	0.000292557275413538	0.000793108428974702	0.0298198109218206	0.0477625207235645	0.017942709801744
0.00967355187011707	0.0146355716166127	0.0628763232484028	0.0714281214028952	0.00855179815449235	0.000310857428258632	0.000616646545486603	0.0232677252495418	0.0237433644532037	0.000475639203661844
0.00907980251524384	0.0129427070105471	0.0517536296777454	0.0539702166704846	0.00221658699273914	0.000214756229448185	0.000394162299733685	0.0113994995185511	0.00964768836884194	-0.00175181114970912
0.0113843060549225	0.0158547908186329	0.0933118304352608	0.0954395626373995	0.00212773220213863	0.000424943661941255	0.00077537461819807	0.0477283033619184	0.0399785626145648	-0.00774974074735357
0.00978050094496967	0.0158610312916326	0.0695302223449934	0.0861570730778096	0.0166268507328161	0.000239373227480533	0.00069577596513203	0.017515453111449	0.0296936066800785	0.0121781535686296
0.00678519885948498	0.00949450357238001	0.0372620822555771	0.0387637248499052	0.0015016425943281	0.000152564892776077	0.00025509157247094	0.00795040119972657	0.00618943541360916	-0.00176096578611741
0.0127286359851017	0.0163081444054473	0.133783123697302	0.123800730023809	-0.00998239367349316	0.000502926505743407	0.00080672297400789	0.0697977744779401	0.055356885365572	-0.0144408891123682
0.0112602270594974	0.0130984904705369	0.086547636544227	0.0653581022500797	-0.0211895342941473	0.00037216666430003	0.000556108177758259	0.0333561130844231	0.0244790539518947	-0.0088770591325284
0.00856683643327433	0.0113410725924441	0.0538787002476506	0.0471860422032542	-0.00669265804439637	0.000245326010949206	0.000447007913018571	0.0189437792232228	0.0155204674698992	-0.00342331175332361
0.0136006381239392	0.0198809091270345	0.10018124424252	0.10688953557547	0.00670829133295006	0.00042308037735539	0.000922247802848918	0.0369190169278085	0.0405809057167347	0.00366188878892625
0.0122864417672659	0.0152003621809413	0.094712685802353	0.0763221597283465	-0.0183905260740064	0.000500757267812108	0.000763682656930901	0.0506886843828041	0.0332326049344453	-0.0174560794483588
0.010898687134436	0.0176204502736299	0.0995825312907245	0.120929813229078	0.0213472819383539	0.000348666586329737	0.00116310382057877	0.0463574759402492	0.0821994946936497	0.0358420187534006
-0.000533065071626186	0.000385016238795979	0.000477026870193344	0.000112686286490856	-0.000364340583702489	-3.15358285608135e-05	8.80788133748964e-06	0.00119088848766585	2.11185759041465e-05	-0.00116976991176171
0.00946293148923709	0.0142077030819057	0.0633454303610236	0.0706273277851018	0.0072818974240782	0.000340765876440199	0.000740966566553627	0.0295064694750335	0.0334671431582793	0.00396067368324577
0.0100492005824731	0.0147308441289716	0.0681280239122392	0.0775742037628147	0.0094461798505755	0.000386023889704748	0.000848663827919297	0.0339833893386279	0.047026608792102	0.0130432194534741
-0.00197102728477867	-0.00138314061209268	0.00822042065503412	0.00159958811103588	-0.00662083254399824	-8.51260250892255e-05	-8.1364121138289e-05	0.0112103974736272	0.00218961292863313	-0.0090207845449941
0.0135670651978163	0.0197041403698404	0.117961124199371	0.133552484751723	0.0155913605523513	0.000486468128671655	0.00098348938716273	0.0491684230916519	0.0562171970667406	0.00704877397508864
0.0112430934604722	0.0159304264536405	0.0872885800098165	0.0843447744495852	-0.00294380556023131	0.000302239388248344	0.000658718974443481	0.0270583639543293	0.025924035351459	-0.00113432860287023
-0.00216576252817825	-0.00243748362909091	0.00817952313914375	0.00494643914432874	-0.00323308399481501	-8.80239484732593e-05	-0.000115168410999908	0.00927595582557812	0.00424335813884584	-0.00503259768673227
0.00775422200172493	0.0146156989139556	0.0543487694729445	0.090481320712442	0.0361325512394975	0.000193444000632052	0.000745556305542554	0.0146810390823555	0.0404365760416301	0.0257555369592746
0.0116219757620537	0.018451157306494	0.0844004294624659	0.107010277325704	0.0226098478632382	0.000323274684712628	0.000843220149930227	0.0240845405256576	0.0385189033251468	0.0144343627994892
0.0084593401870678	0.0131984358857904	0.0460409353771091	0.0552466493988371	0.009205714021728	0.000208135311045554	0.00051030168064442	0.0114565359884936	0.0147748185760843	0.00331828258759064
-4.35861404800432e-05	-2.12054702473406e-05	4.26166840343076e-06	4.38467055025049e-07	-3.82320134840571e-06	1.47725903942945e-05	1.44023243434598e-05	0.000336293469163889	7.61389264243777e-05	-0.000260154542739511
0.00982171171265964	0.0145343302156266	0.07880811650395	0.0916910559457511	0.0128829394418012	0.000261062790642795	0.0006508737650356	0.0241705229799365	0.0365516326054483	0.0123811096255118
-0.00163364391984651	-0.00101750231351734	0.00490303054087387	0.00091587001326613	-0.00398716052760774	-4.56264716292817e-05	-1.16603794041767e-05	0.00301483572468682	5.45712523304783e-05	-0.00296026447235634
0.0117048524787198	0.0177417474051943	0.09540810379438	0.126766291170492	0.031358187376112	0.000373174415687887	0.000938543307601571	0.0356751825341114	0.0670079606335949	0.0313327780994835
0.00689569550109653	0.0098231354810611	0.0488588018341763	0.0467469367670917	-0.00211186506708454	0.000191880076784807	0.000360157139868922	0.0165584357286513	0.0125344787527999	-0.0040239569758514
-0.000673382319759763	-0.000200177106896048	0.000944978741994723	3.59360147332662e-05	-0.000909042727261456	-2.91315011061923e-05	3.91765060662047e-06	0.0013804974413025	5.18520089414822e-06	-0.00137531224040835
0.00852478298317885	0.0118076039727173	0.0587776932428248	0.0634267581807505	0.00464906493792568	0.000213048441929108	0.00042067889377518	0.0168122602124338	0.01837846120592	0.00156620099348616
0.0102723898713271	0.013688311569637	0.0867860237934003	0.0764748060263997	-0.0103112177670005	0.000326765645925349	0.000610646348225586	0.034655377016708	0.0271281596194574	-0.00752721739725055
0.0075958867873294	0.0105702207468928	0.0368960110609676	0.0370825549420901	0.000186543881122533	0.000167150317034703	0.000349450412355522	0.00757998803163474	0.00720810811615476	-0.000371879915479979
0.00757641189795046	0.0106541513706093	0.0576792046257643	0.056689484681135	-0.000989719944629305	0.000197152529062449	0.000418486906343557	0.0169444898447681	0.0188586349096834	0.00191414506491529
0.0120022102160223	0.0179161910594603	0.13647168159863	0.155380109142843	0.0189084275442136	0.000431928691262112	0.000993408339988295	0.068651891756655	0.0890357530807496	0.0203838613240945
0.00860093165090527	0.0143761067905544	0.0550784429202031	0.0767574236823323	0.0216789807621293	0.000227958815712676	0.000679833206418211	0.0139319492248791	0.0266761460108956	0.0127441967860165
0.0107931362920628	0.016642983583739	0.0775319511985372	0.101850564787256	0.024318613588719	0.000402435646075989	0.000867391312364955	0.0386282855468616	0.057628119675586	0.0189998341287244
0.00866971465400798	0.013090606983697	0.0654148682882418	0.0751322009288579	0.00971733264061617	0.000247706955476418	0.000534832425909689	0.0222113172713078	0.0256165870344088	0.00340526976310104
0.0113523767380482	0.0149752259080032	0.104590163212359	0.102235098994887	-0.00235506421747229	0.000381898623327539	0.000645126095144015	0.0440358515269514	0.0401952604619881	-0.00384059106496332
0.0133067999295546	0.0190289251883282	0.104153225279824	0.116529368510969	0.0123761432311456	0.0003699176493341	0.000824375681595759	0.0295193985109679	0.0394635371522792	0.00994413864131129
0.0127603575871535	0.0196183515620296	0.101462128572555	0.119547998238045	0.0180858696654905	0.000419037646606194	0.000975480805453636	0.034451176777464	0.0443682692942257	0.00991709251676163
0.00907263960735413	0.0125813372853265	0.0667887849248546	0.0645387121423202	-0.00225007278253443	0.000242134026821809	0.00058789782350659	0.0200018973633534	0.0268540217571652	0.00685212439381184
-0.000269567094868039	-0.000497945037401851	0.000140622027643172	0.000191391492055374	5.07694644122018e-05	-1.20324141059015e-05	-6.80520861148175e-05	0.000189488937714282	0.00125092983643293	0.00106144089871864
0.00767730044764493	0.012964006543414	0.040817999113225	0.0542620030988827	0.0134440039856577	0.000229782367820772	0.000569135819025215	0.0139348017466904	0.0188510144576318	0.00491621271094142
0.00838864604696551	0.0148329866211916	0.0516980795088798	0.0790417442366211	0.0273436647277414	0.000225339455947249	0.000619657791487628	0.0155519768294338	0.0299052153618496	0.0143532385324157
0.00783661968240131	0.0145104078095439	0.0370335234354283	0.0602819256612859	0.0232484022258576	0.000210294893049397	0.000727215884884382	0.00967467377441859	0.0239109124905337	0.0142362387161151
0.00944607659284269	0.0125390635423996	0.0717656466312162	0.067941303638442	-0.00382434299277426	0.000306570545318374	0.000553038388192154	0.027957903821436	0.0240678917312228	-0.00389001209021322
0.000275915141015641	0.000849230188475449	0.00014944288882786	0.000671258592220348	0.000521815703392488	1.94855155508221e-05	6.60448887223366e-05	0.000480683688712799	0.00158328461999987	0.00110260093128708
-0.00110284783910649	0.000458623071958843	0.00242190246631206	0.000159370704587287	-0.00226253176172477	-4.68115002795294e-05	3.1895200627331e-05	0.00362439181281339	0.000325835099967128	-0.00329855671284626
0.00787494470623397	0.0137581371382768	0.048649645096	0.0663179359553322	0.0176682908593321	0.000198835594392912	0.000538964795681084	0.0138711841526055	0.020755143319521	0.00688395916691552
0.00789561545858381	0.0117914370026482	0.047554420037801	0.0505337344318149	0.00297931439401387	0.00019757824396066	0.000441688893145856	0.013858046128644	0.0144675947512484	0.000609548622604384
0.00948077202484212	0.0128207234758835	0.0809392500419913	0.080376696343918	-0.000562553698073301	0.0002913782064242	0.000544787108532722	0.0281527678605169	0.0274650408312581	-0.00068772702925883
0.0119169330673675	0.0161935916300619	0.0968359410132294	0.0926917301775206	-0.0041442108357088	0.00040334920682633	0.000800813909733662	0.0452267266285882	0.0460904468857117	0.000863720257123536
-0.000670543463407817	-7.91660332183572e-05	0.000851069012499212	5.37867828493773e-06	-0.000845690334214275	-2.83023951241113e-05	-8.59983151610423e-06	0.001170506241828	2.64152596467524e-05	-0.00114409098218124
0.00947557337378871	0.0138988503132803	0.0655800291014712	0.0687413507260182	0.00316132162454701	0.000350140039873847	0.000627339928004904	0.0322432213184287	0.0264542704120714	-0.00578895090635721
0.00887105978544786	0.0152749151090529	0.0545612294157027	0.0779653868814933	0.0234041574657906	0.000220059065623207	0.000738570447913458	0.013946289157774	0.0302910739000883	0.0163447847423143
0.0104274113438242	0.0125964621046712	0.0824163977214882	0.0702265030304172	-0.012189894691071	0.000460494844534171	0.000609824913323327	0.0477996908307128	0.0286432285258424	-0.0191564623048704
