id,type,length,start_time,end_time,start_name,start_lat,start_lon,end_name,end_lat,end_lon
125,External,0.8958628717562487,2021-08-14 11:14:28,2022-07-07 11:00:00,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
126,Internal,0.3014390034089023,2021-08-14 12:14:28,2021-12-02 12:50:48,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
127,External,1.7259307176626957,2021-12-02 11:50:48,2023-08-24 10:59:59,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
128,External,1.2053827724572819,2021-12-02 12:50:48,2023-02-15 12:00:00,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
129,Internal,0.390760239850934,2014-07-13 03:13:03,2014-12-02 18:16:38,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
130,Internal,0.6718328133614921,2014-12-02 18:16:38,2015-08-04 23:31:58,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
131,External,1.4752816438865501,2015-08-05 00:31:58,2017-01-25 11:59:59,north,-16.37212402,-71.53682922,south,-16.43125021,-71.53979485
132,Internal,0.24591179237410898,2015-08-04 23:31:58,2015-11-02 17:43:12,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
133,External,0.4668951153782004,2015-11-02 17:41:24,2016-04-21 11:00:00,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
134,Internal,0.42282281895979423,2015-11-02 17:43:12,2016-04-05 07:53:56,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
135,Internal,0.25937341586671003,2016-04-05 08:54:06,2016-07-09 07:14:16,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
136,External,0.21092838874752928,2016-07-09 06:12:18,2016-09-24 11:00:00,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
137,External,1.6951188221639866,2016-07-09 07:14:16,2018-03-20 12:00:00,north,-16.37212402,-71.53682922,south,-16.43125021,-71.53979485
138,Internal,1.193569685672573,2016-04-05 07:53:56,2017-06-15 17:19:06,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
139,Internal,0.5534888007295464,2017-06-15 18:19:06,2018-01-03 18:52:49,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
140,External,0.7608584091623962,2018-01-03 17:52:49,2018-10-08 10:59:59,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
141,External,1.1115433406707798,2018-01-03 18:52:49,2019-02-13 12:00:00,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
142,Internal,0.5535816033129564,2017-06-15 17:19:06,2018-01-03 18:41:35,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
143,External,1.4347382093190424,2018-01-03 18:41:35,2019-06-11 10:59:59,north,-16.37212402,-71.53682922,south,-16.43125021,-71.53979485
144,Internal,0.6339320664595052,2018-01-03 18:41:35,2018-08-23 03:56:17,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
145,External,0.9953266908057925,2018-08-23 03:56:17,2019-08-21 11:00:00,north,-16.37212402,-71.53682922,south,-16.43125021,-71.53979485
146,External,1.159710252447967,2018-08-23 03:56:17,2019-10-20 10:59:59,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
147,Internal,0.3216990236817754,2014-12-02 18:16:38,2015-03-30 04:21:38,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
148,Internal,0.424225765215283,2015-03-30 04:21:38,2015-09-01 00:34:42,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
149,External,1.1223214895936646,2015-09-01 00:32:54,2016-10-15 11:00:00,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
150,Internal,1.4448276083361193,2015-09-01 00:34:42,2017-02-10 09:16:06,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
151,External,0.9536223339874059,2017-02-10 10:16:06,2018-01-24 11:59:59,north,-16.37212402,-71.53682922,south,-16.43125021,-71.53979485
152,External,4.422115484670775,2017-02-10 09:16:06,2021-07-14 10:59:59,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
153,Internal,0.405457787959973,2015-03-30 04:21:38,2015-08-25 04:10:15,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
154,External,1.1192315433507822,2015-08-25 04:08:27,2016-10-07 11:00:00,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
155,Internal,0.8898155448573153,2015-08-25 04:10:15,2016-07-15 11:50:24,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
156,External,4.371492501227479,2016-07-15 12:48:35,2020-11-28 11:59:59,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
157,Internal,0.4491918327169415,2016-07-15 11:50:24,2016-12-26 21:32:27,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
158,External,0.4590324598110387,2016-12-26 21:32:27,2017-06-12 10:59:59,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
159,Internal,0.48858783707127973,2016-12-26 21:32:27,2017-06-23 05:54:18,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
160,External,0.6361980473988114,2017-06-23 06:54:18,2018-02-10 11:59:59,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
161,Internal,0.30520163863053096,2017-06-23 05:54:18,2017-10-12 15:28:17,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
162,External,1.3474347649325509,2017-10-12 16:28:17,2019-02-16 11:59:59,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
163,Internal,0.5915278175575454,2017-10-12 15:28:17,2018-05-16 13:15:18,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
164,Internal,0.409097055709851,2018-05-16 14:13:20,2018-10-12 21:54:45,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
165,External,2.2673578368696026,2018-10-12 21:56:43,2021-01-18 12:00:00,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
166,Internal,0.542631934500462,2018-10-12 21:54:45,2019-04-28 23:22:05,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
167,External,0.7164019260235959,2019-04-28 23:22:05,2020-01-15 12:00:00,north,-16.37212402,-71.53682922,north,-16.37212402,-71.53682922
168,External,0.7765112156412313,2019-04-28 23:22:05,2020-02-06 11:59:59,north,-16.37212402,-71.53682922,south,-16.43125021,-71.53979485
