"from","to","n_transitions","mean_time","sd_time","min_time","max_time","bayes_factor","posterior_probability","bf_category","supported","avg_jumps","origin_reward","reward_percent","trait"
"external","north",56,5.30107324152325,3.26477631989119,0.904591895268354,11.8737131187155,0.549276914455979,0.309076769247861,"Negative",FALSE,0.00622222222222222,0.383,0.228543468,"river"
"external","south",39,5.21574911124751,3.55468582949902,0.209209951710041,13.4526224030669,0.536510005914673,0.304077324741695,"Negative",FALSE,0.00433333333333333,0.383,0.228543468,"river"
"north","external",127,3.10076247143447,1.28877702674585,2.50973072519223,10.2026676116648,0.178782106038042,0.12709698922342,"Negative",FALSE,0.0141111111111111,106.143,63.33757004,"river"
"north","south",107443,7.13062204055272,2.39736551506247,0.0022191405978973,16.1653052458196,11050.8907904422,1,"Decisive",TRUE,11.9381111111111,106.143,63.33757004,"river"
"south","external",8955,2.91252530971231,0.445346774100403,1.34521327520083,12.0981899458,104.030396266445,0.988334629485613,"Decisive",TRUE,0.995,61.664,36.79609507,"river"
"south","north",51312,6.41589271418177,2.98866634421833,0.254542421134857,16.0926981695748,20.5711738711445,0.94367292523053,"Strong",TRUE,5.70133333333333,61.664,36.79609507,"river"
