null_raster,SES_affluence_C
1,6.04089979013782
1,6.02032520131367
1,6.13374485204249
1,5.91477273269133
1,5.93939394228386
1,6.33718687674903
1,6.26819921224967
1,6.03831416985084
1,6.16771487469943
1,6.02008032942393
1,6.1091269779773
1,6.08130079943959
1,6.42462842783351
1,6.06756756112382
1,6.12658226640919
1,5.9806201527285
1,6.01022494058668
1,6.16161615776293
1,6.12048191765705
1,6.13071894022374
1,5.99001995674864
1,6.10721245983191
1,6.11627905867821
1,6.24096384536789
1,5.98971193513753
1,6.00980391782873
1,6.24999998062849
1,6.17441859078962
1,6.17094015463805
1,6.1793248849579
1,6.0306748422377
1,6.12269937772692
1,6.08492568951503
1,6.08032128035304
1,6.1414141365976
1,6.01048217479538
1,6.35645469626939
1,6.09803920010336
1,5.99019608637866
1,6.1434878560881
1,6.21084335338638
1,6.45548651677481
1,5.89775051514795
1,5.90476190975734
1,6.03787878291173
1,6.26709399773524
1,6.12380951200213
1,6.1206140282907
1,6.00000000294344
1,6.15337423166614
1,6.00000000292538
1,6.07070705962903
1,6.15250543675391
1,6.09316769149733
1,5.99999999714469
1,5.97058823809904
1,5.98924731285341
1,6.15594541399102
1,6.20080319944635
1,6.14403291248981
1,6.21084336200392
1,6.16064256070608
1,6.04930965858098
1,6.0609755995797
1,6.17964070285866
1,6.19157087802887
1,6.25406502368974
1,6.09202453402654
1,6.04192871867486
1,6.13131311590021
1,6.14583331346512
1,6.06903353527453
1,6.02096435558871
1,6.34810124167913
1,6.05020079842533
1,6.14583331346512
1,6.17932488043097
1,6.11530397523124
1,6.15527950754817
1,6.28769839235715
1,5.97890295408949
1,6.11044175797198
1,6.05050504568851
1,5.9799196763211
1,6.14880951387542
1,6.10912697655814
1,6.03267973232892
1,5.97890295107154
1,6.11316871643066
1,6.20325201895179
1,6.15337422435269
1,6.2121211976716
1,6.05780346545181
1,6.26915111897154
1,6.27777774702935
1,6.24844719460292
1,6.20576130902326
1,6.13211380708508
1,6.04219408880306
1,6.06862744864295
